ahdpc_acc,ahdpc_ami,ahdpc_ari,ahdpc_fmi,ahdpc_n,ahdpc_nmi,ahdpc_ri,dataset,hdpc_acc,hdpc_ami,hdpc_ari,hdpc_fmi,hdpc_n,hdpc_nmi,hdpc_ri,v9_acc_mean,v9_acc_std,v9_ami_mean,v9_ami_std,v9_ari_mean,v9_ari_std,v9_fmi_mean,v9_fmi_std,v9_minus_ahdpc_acc,v9_minus_ahdpc_ami,v9_minus_ahdpc_ari,v9_minus_ahdpc_fmi,v9_minus_ahdpc_nmi,v9_minus_ahdpc_ri,v9_minus_hdpc_acc,v9_minus_hdpc_ami,v9_minus_hdpc_ari,v9_minus_hdpc_fmi,v9_minus_hdpc_nmi,v9_minus_hdpc_ri,v9_n,v9_nmi_mean,v9_nmi_std,v9_ri_mean,v9_ri_std
0.964403427818062,0.9729502961165467,0.9457401164182085,0.9492313763418658,1,0.9741047966723746,0.9942420379063663,2d_20c_no0,0.99340804218853,0.9902039935016205,0.9881112704448106,0.9887601256945578,1,0.9906361531409853,0.9987737914888954,0.7969676994067237,0.01026879494225262,0.8927661801574898,0.004361005186624057,0.7631170528133611,0.006163661846924065,0.7782338203814048,0.0062369473366493755,-0.16743572841133825,-0.08018411595905695,-0.18262306360484748,-0.17099755596046107,-0.07652930434884919,-0.020124023888744902,-0.19644034278180622,-0.09743781334413071,-0.22499421763144956,-0.21052630531315308,-0.0930606608174599,-0.02465577747127401,3,0.8975754923235254,0.004174762559944571,0.9741180140176214,0.0004958087787394495
0.7358053302433372,0.8144366031806852,0.7054817332307585,0.8069245888316954,1,0.8152243851517282,0.8706261274946028,2d_4c_no4,0.9988412514484357,0.9929674963585574,0.9958742561180184,0.9973935811705607,1,0.9930004189819934,0.9980804026315153,0.8964851293935882,0.007348898258184805,0.7555793512306289,0.01125118263442217,0.6825374068177448,0.019369274301745676,0.7976782625487012,0.012351061043940707,0.160679799150251,-0.05885725195005631,-0.022944326413013694,-0.009246326282994155,-0.05851012192514149,-0.017366889544288333,-0.10235612205484756,-0.2373881451279285,-0.3133368493002736,-0.19971531862185943,-0.23628615575540668,-0.14482116468120088,3,0.7567142632265867,0.01119998856878815,0.8532592379503144,0.008954388831329357
0.9794520547945206,0.9504333793882613,0.9616131367080729,0.9722796476447687,1,0.9506265181194327,0.9846418786692759,2d_4c_no9,0.9794520547945206,0.9504333793882613,0.9616131367080729,0.9722796476447687,1,0.9506265181194327,0.9846418786692759,0.8420852359208523,0.002847532257818844,0.8443795517091178,0.0059884676381897085,0.8075788088540458,0.004603579393617662,0.8609688247918418,0.0033975219392917404,-0.1373668188736683,-0.10605382767914351,-0.15403432785402715,-0.11131082285292693,-0.1056393322690633,-0.06177603826918887,-0.1373668188736683,-0.10605382767914351,-0.15403432785402715,-0.11131082285292693,-0.1056393322690633,-0.06177603826918887,3,0.8449871858503694,0.0059654300001449265,0.922865840400087,0.0017771479028105056
1.0,1.0,1.0,1.0,1,1.0,1.0,aggregation,0.8477157360406091,0.9019700230847433,0.7689220313274784,0.818821257703613,1,0.9032997431961352,0.9276311121717762,0.7233502538071065,0.007471878905522711,0.7528420221411024,0.0038226714594659073,0.5796844844981669,0.0064809071567973105,0.6645713585843356,0.005269002773396643,-0.2766497461928935,-0.2471579778588976,-0.4203155155018331,-0.3354286414156644,-0.24382886796788705,-0.13147337121627467,-0.12436548223350263,-0.14912800094364087,-0.1892375468293115,-0.15424989911927744,-0.1471286111640222,-0.059104483388050855,3,0.756171132032113,0.003772324356296077,0.8685266287837253,0.0021551381493805683
0.989,0.9659663478760001,0.9723361309992419,0.9778659669159774,1,0.9661367379392525,0.9911511511511512,asymmetric,0.988,0.9636135849660988,0.9699709839045707,0.9759737837522107,1,0.9637957560143088,0.9903943943943944,0.64,0.09188035698668132,0.6532665607714446,0.03598102609659825,0.5323813073087422,0.056145981474437875,0.6315976073104247,0.04165167780213778,-0.349,-0.3126997871045555,-0.43995482369049965,-0.3462683596055527,-0.31110765891406345,-0.14668802135468795,-0.348,-0.3103470241946542,-0.4375896765958285,-0.344376176441786,-0.30876667698911975,-0.14593126459793115,3,0.655029079025189,0.03579518882299356,0.8444631297964632,0.022232305956341993
0.5328,0.044389632901436736,0.015174479597886016,0.5891113721449802,1,0.04898488546180592,0.46781538461538463,balance_scale,0.624,0.2631612358548707,0.33893150550971274,0.6029894020665526,1,0.265589725568104,0.6816717948717949,0.5461333333333332,0.0513054469709493,0.17458497991049526,0.07957426254487913,0.1908439302387874,0.073938381484029,0.4992677814373609,0.046609720939693476,0.013333333333333197,0.13019534700905852,0.1756694506409014,-0.08984359070761933,0.1282536396632029,0.14635726495726487,-0.07786666666666675,-0.08857625594437546,-0.14808757527092534,-0.10372162062919171,-0.08835120044309516,-0.06749914529914536,3,0.17723852512500884,0.07931933772432317,0.6141726495726495,0.0352162889246575
0.9905247813411079,0.9316397655826222,0.9624275145419924,0.9813964155745356,1,0.931676018604076,0.9812154308425465,banknote,0.8950437317784257,0.6091585973817567,0.6239245668637312,0.8139047466495641,1,0.6093659753109124,0.8119820607205057,0.5541788143828961,0.012402574361613442,0.0096035747704877,0.004711105990214796,0.01160914633237149,0.0056018482897161985,0.5092413854031662,0.0031404542502611564,-0.4363459669582118,-0.9220361908121345,-0.9508183682096208,-0.4721550301713694,-0.9215482344813561,-0.47539728614171517,-0.3408649173955296,-0.599555022611269,-0.6123154205313597,-0.3046633612463979,-0.5992381911881925,-0.3061639160196744,3,0.010127784122719818,0.004708889041357552,0.5058181447008313,0.00280849625552958
1.0,1.0,1.0,1.0,1,1.0,1.0,dim064,1.0,1.0,1.0,1.0,1,1.0,1.0,0.9983723958333334,0.0012179874305904756,0.9974117007616655,0.0018941020979409107,0.9965480363630581,0.0025779139652711935,0.9967606475284057,0.0024191328753036963,-0.0016276041666666297,-0.0025882992383344794,-0.0034519636369418905,-0.003239352471594348,-0.002478605882727636,-0.00039902553763437876,-0.0016276041666666297,-0.0025882992383344794,-0.0034519636369418905,-0.003239352471594348,-0.002478605882727636,-0.00039902553763437876,3,0.9975213941172724,0.0018138286320309185,0.9996009744623656,0.00029799630202106167
1.0,1.0,1.0,1.0,1,1.0,1.0,dim512,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,0.0,1.0,0.0
0.9916666666666667,0.9352559576911484,0.9666114931403132,0.9845920491740029,1,0.9354643343418292,0.9834030683403069,flame,0.9375,0.7009472567287504,0.7619715369746841,0.8950233927549399,1,0.7019404283069313,0.8823221757322176,0.6847222222222222,0.0019641855032959585,0.1358563471799443,0.007519783818542905,0.13242592070039383,0.0028510238488306215,0.5832463533614756,0.0018541988027249744,-0.30694444444444446,-0.7993996105112041,-0.8341855724399194,-0.4013456958125273,-0.7969062602364672,-0.416957229195723,-0.25277777777777777,-0.565090909548806,-0.6295456162742903,-0.31177703939346435,-0.5633823542015692,-0.3158763365876337,3,0.13855807410536208,0.007500409065922764,0.5664458391445839,0.0014628661907392668
