dataset,role,old_b1_arm,seed,status,labels_used_for_structure,b1_metric_provenance,b1_ARI_after_fit,b1_L_rec_after_fit,b1_requested_change_ratio,b1_effective_changed_coordinate_rate,b1_support_change_ratio,b1_value_change_ratio,b1_total_absolute_change,support_p_zero_to_nonzero,support_p_nonzero_to_zero,support_change_rate,cell_nnz_before_mean,cell_nnz_before_std,cell_nnz_after_mean,cell_nnz_after_std,gene_prevalence_abs_change_mean,gene_prevalence_abs_change_max,support_jaccard_mean,support_jaccard_q05,support_entropy_before,support_entropy_after,support_cooccurrence_relative_fro_distortion,value_overlap_count,value_mean_before,value_std_before,value_mean_after,value_std_after,value_total_absolute_change,value_mean_absolute_change,high_expression_coordinate_distortion,value_before_q05,value_before_q25,value_before_q50,value_before_q75,value_before_q95,value_after_q05,value_after_q25,value_after_q50,value_after_q75,value_after_q95,value_rank_spearman,cosine_knn_jaccard_mean,cosine_knn_jaccard_q05,neighbor_rank_stability_mean,local_density_relative_change,local_density_change_q95,pairwise_distance_relative_distortion
Mouse_retina,corruption_presence_case,C_clean_no_corruption,42,completed_valid,False,closed_B1_post_fit_compact_summary,0.7615543925786881,0.7516445111040868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.4584530651341,22.596264862352758,67.4584530651341,22.596264862352758,0.0,0.0,1.0,1.0,0.6685731137458233,0.6685731137458233,0.0,563413.0,0.12955628609395473,1.7031472677987898,0.12955628609395473,1.7031472677987898,0.0,0.0,0.0,-0.9725462794303893,-0.42440497875213623,0.14736908674240112,0.4431968331336975,1.2459262371063233,-0.9725462794303893,-0.42440497875213623,0.14736908674240112,0.4431968331336975,1.2459262371063233,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Mouse_retina,corruption_presence_case,C_clean_no_corruption,123,completed_valid,False,closed_B1_post_fit_compact_summary,0.7113760991821355,0.7515434097512929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.4584530651341,22.596264862352758,67.4584530651341,22.596264862352758,0.0,0.0,1.0,1.0,0.6685731137458233,0.6685731137458233,0.0,563413.0,0.12955628609395473,1.7031472677987898,0.12955628609395473,1.7031472677987898,0.0,0.0,0.0,-0.9725462794303893,-0.42440497875213623,0.14736908674240112,0.4431968331336975,1.2459262371063233,-0.9725462794303893,-0.42440497875213623,0.14736908674240112,0.4431968331336975,1.2459262371063233,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Mouse_retina,corruption_presence_case,C_clean_no_corruption,7,completed_valid,False,closed_B1_post_fit_compact_summary,0.7904372441076783,0.7431944757129041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.4584530651341,22.596264862352758,67.4584530651341,22.596264862352758,0.0,0.0,1.0,1.0,0.6685731137458233,0.6685731137458233,0.0,563413.0,0.12955628609395473,1.7031472677987898,0.12955628609395473,1.7031472677987898,0.0,0.0,0.0,-0.9725462794303893,-0.42440497875213623,0.14736908674240112,0.4431968331336975,1.2459262371063233,-0.9725462794303893,-0.42440497875213623,0.14736908674240112,0.4431968331336975,1.2459262371063233,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Mouse_retina,corruption_presence_case,C0_MatchedRandom,42,completed_valid,False,closed_B1_post_fit_compact_summary,0.8223948002667691,0.848094666826314,0.2693497814894636,0.2693497814894636,0.12966954022988506,0.1398093271072797,182112.25114521198,0.058281324832375477,0.006228859853927203,0.06451018468630268,67.4584530651341,22.596264862352758,74.12116858237547,27.095650111341754,0.0520786563098659,0.06537356321839083,0.8902183176673101,0.8064516129032258,0.6685731137458233,0.6612196626905175,0.0,556754.0,0.13044797857597226,1.6920810499236867,0.1364710239693208,1.8160027136801595,182112.2511692088,0.17034865448508665,0.41446168806076844,-0.9498419165611267,-0.42069875448942184,0.14725515246391296,0.4391021355986595,1.2035847127437584,-0.9890129566192627,-0.45528149604797363,0.15381833165884018,0.45528149604797363,1.26512769460678,0.7509929627261916,0.10832605119142755,0.0,0.4950107208183119,0.2615787088871002,0.8286969661712646,0.103602334856987
Mouse_retina,corruption_presence_case,C0_MatchedRandom,123,completed_valid,False,closed_B1_post_fit_compact_summary,0.818740291400219,0.8429803117481685,0.2693497814894636,0.2693497814894636,0.12784830729166666,0.1396559207375479,180611.4649574759,0.058713481800766285,0.006181154214559387,0.06489463601532568,67.4584530651341,22.596264862352758,74.18259099616859,27.12472201936335,0.05257909782088123,0.06657088122605365,0.8896658388563679,0.8082191780821918,0.6685731137458233,0.6610496193464623,0.0,556805.0,0.13036486595809385,1.6900329949177646,0.13632192259712425,1.8190818815933376,180611.46493429138,0.16894481199702482,0.3998218053977501,-0.950503408908844,-0.42089077830314636,0.1469203233718872,0.4389759302139282,1.2042546272277825,-0.9846128225326538,-0.45528149604797363,0.1533309370279312,0.45528149604797363,1.2676368951797485,0.7534195708360701,0.11454214612294074,0.0,0.5022737780215032,0.24985279142856598,0.8001397252082825,0.09731816500425339
Mouse_retina,corruption_presence_case,C0_MatchedRandom,7,completed_valid,False,closed_B1_post_fit_compact_summary,0.8447774406089364,0.8420075388247026,0.2693497814894636,0.2693497814894636,0.1277613146551724,0.1398710638170498,180577.47295307415,0.05872002963362069,0.006174606381704981,0.06489463601532568,67.4584530651341,22.596264862352758,74.18426724137932,27.11343908670862,0.05262586805555555,0.06441570881226055,0.8894508565142208,0.8064516129032258,0.6685731137458233,0.6611039312552172,0.0,556812.0,0.1309471598071746,1.6933683347953559,0.1359879219162029,1.8104457280712252,180577.4729381446,0.16891301572428816,0.40074303525180804,-0.9489627063274383,-0.420732781291008,0.14724799990653992,0.4391384422779083,1.206175088882445,-0.9840440452098846,-0.45528149604797363,0.15064024925231934,0.45528149604797363,1.2608130574226357,0.751704609850778,0.1041646307415177,0.0,0.4866516071155679,0.2515241205692291,0.7939116954803467,0.10056369751691818
Mouse_retina,corruption_presence_case,C1_ValueOnly,42,completed_valid,False,closed_B1_post_fit_compact_summary,0.7917853984311912,0.9033861779161797,0.2693497814894636,0.2693497814894636,0.15326792983716475,0.21696244163074713,269975.5396361351,0.0,0.02005227041427203,0.02005227041427203,67.4584530651341,22.596264862352758,64.89176245210729,26.479127165332013,0.02005227041427203,0.06776819923371646,0.913390168208866,0.5384615384615384,0.6685731137458233,0.6712351001570528,0.0,541976.0,0.13402387049790765,1.631022467682472,0.1313314898658562,1.714502669975689,269975.539616555,0.25253638688390034,1.0403341438120959,-0.8875817656517029,-0.4121860936284065,0.14756400883197784,0.4304470792412758,1.095192551612854,-0.9822797775268555,-0.45528149604797363,0.16462694108486176,0.45528149604797363,1.283277988433838,0.5432447591742243,0.01508229370001609,0.0,0.19447200176366844,0.5693386197090149,1.8375561237335205,0.3388417065143585
Mouse_retina,corruption_presence_case,C1_ValueOnly,123,completed_valid,False,closed_B1_post_fit_compact_summary,0.7844947339810506,0.9054911312472318,0.2693497814894636,0.2693497814894636,0.15641369582136017,0.21403275413074713,270387.5514450222,0.0,0.020058818247126436,0.020058818247126436,67.4584530651341,22.596264862352758,64.89092432950191,26.475363629571337,0.020058818247126436,0.06693007662835249,0.9136148698145984,0.5416666666666666,0.6685731137458233,0.6712365086978513,0.0,541969.0,0.13304467241223095,1.632161426916447,0.13492080008243582,1.7573453510214085,270387.551416941,0.25292178465575327,1.0430419035570224,-0.8883382201194763,-0.4123067259788513,0.14735643565654755,0.43033358454704285,1.0937377691268915,-0.9819952964782714,-0.45528149604797363,0.16391953825950623,0.45528149604797363,1.29441237449646,0.5447666868696528,0.014226258480989951,0.0,0.18827133886760322,0.5677704215049744,1.857100486755371,0.357321560382843
Mouse_retina,corruption_presence_case,C1_ValueOnly,7,completed_valid,False,closed_B1_post_fit_compact_summary,0.7913648723560843,0.9033980319326408,0.2693497814894636,0.2693497814894636,0.1529985332854406,0.216064453125,269208.45272161067,0.0,0.020278638350095784,0.020278638350095784,67.4584530651341,22.596264862352758,64.86278735632185,26.516980106963477,0.020278638350095794,0.06800766283524906,0.9126781501291852,0.5384615384615384,0.6685731137458233,0.6712094928188737,0.0,541734.0,0.13425750781671564,1.623528844135067,0.12892513151284266,1.7120016354908214,269208.4527223483,0.25181885020274736,1.0325570838760443,-0.8870075464248657,-0.4121642932295799,0.14736276119947433,0.43020015209913254,1.09427490234375,-0.9844235181808472,-0.45528149604797363,0.15869153290987015,0.45528149604797363,1.2804539203643799,0.5435700168850686,0.015587514762523161,0.0,0.19955098674207872,0.5502820014953613,1.7359585762023926,0.3225744068622589
Mouse_retina,corruption_presence_case,C2_SupportOnly,42,completed_valid,False,closed_B1_post_fit_compact_summary,0.7971011339067874,0.8896183661574149,0.2693497814894636,0.2693497814894636,0.2693497814894636,0.0,213521.7028070651,0.1346748907447318,0.1346748907447318,0.2693497814894636,67.4584530651341,22.596264862352758,67.4584530651341,22.596264862352758,0.03411795079022989,0.25945881226053635,0.590545044740894,0.5714285714285714,0.6685731137458233,0.6880084156089119,0.0,419438.0,0.12685920084420096,1.682685553851842,0.12685920084420096,1.682685553851842,213521.70281489633,0.19972920297430288,0.5752848549410842,-0.9703350931406021,-0.4248015135526657,0.14458569884300232,0.44194352626800537,1.2391392111778254,-0.9703350931406021,-0.4248015135526657,0.14458569884300232,0.44194352626800537,1.2391392111778254,1.0,0.06244225675909562,0.0,0.3866564793851672,1.0502065420150757,4.705004692077637,0.14398826658725739
