ari,dataset,dataset_file,edge_consistency_last,edge_consistency_mean,elapsed,error,gate_evidence_last,gate_evidence_mean,gate_last,gate_mean,graph_last,graph_mean,head_ari,kmeans_ari,seed,source_path,source_sha256,status,target_gate_last,target_gate_mean,topology_cls_last,topology_cls_mean,variant
0.27077768942003044,landsat,landsat.npz,0.06181208768652545,0.04562950691252424,66.87316799163818,,0.06212427798244688,0.05100917409363635,0.025452505693667464,0.02410675853579527,0.049352640493048563,0.040660778314888506,0.27077768942003044,0.5108682584171405,42,<local_project_root>/datasets/AHDPC/processed/landsat.npz,22ab32bfc065ff8a82b79a2912a3fd7f3dc2965b89d1a8fe7f8d7748a6d4d5b3,completed,0.026736176883180935,0.019806431220796675,0.00021092858858335402,0.00043786859447395645,v14_full
0.17754615800218834,landsat,landsat.npz,0.03920971891946263,0.022925114082886562,65.94387602806091,,0.06386176662312613,0.04418985062797216,0.017294279610117275,0.016006264795111105,0.03187774194197522,0.026014735887947917,0.17754615800218834,0.5334995552438117,123,<local_project_root>/datasets/AHDPC/processed/landsat.npz,22ab32bfc065ff8a82b79a2912a3fd7f3dc2965b89d1a8fe7f8d7748a6d4d5b3,completed,0.01698856893926859,0.009922427845277337,0.001034853357042367,0.0006238929799639861,v14_full
0.42356141197447683,landsat,landsat.npz,0.07042079936299059,0.048590691472923796,67.96452617645264,,0.06406725860304302,0.050397449984748724,0.030180692051847775,0.033058799212613024,0.0568911029646794,0.05232685308804007,0.42356141197447683,0.5160459008561714,7,<local_project_root>/datasets/AHDPC/processed/landsat.npz,22ab32bfc065ff8a82b79a2912a3fd7f3dc2965b89d1a8fe7f8d7748a6d4d5b3,completed,0.030580485239624977,0.021242369168261967,0.0004856031361365846,0.000809664630047536,v14_full
0.139151581699558,landsat,landsat.npz,0.0,0.0,27.909730911254883,,0.0,0.0,0.0,0.0,0.0,0.0,0.139151581699558,0.38429319834563774,42,<local_project_root>/datasets/AHDPC/processed/landsat.npz,22ab32bfc065ff8a82b79a2912a3fd7f3dc2965b89d1a8fe7f8d7748a6d4d5b3,completed,0.0,0.0,0.0,0.0,v14_nomix
0.17775145002157186,landsat,landsat.npz,0.0,0.0,28.162120819091797,,0.0,0.0,0.0,0.0,0.0,0.0,0.17775145002157186,0.5176721925180138,123,<local_project_root>/datasets/AHDPC/processed/landsat.npz,22ab32bfc065ff8a82b79a2912a3fd7f3dc2965b89d1a8fe7f8d7748a6d4d5b3,completed,0.0,0.0,0.0,0.0,v14_nomix
0.4600478638713823,landsat,landsat.npz,0.0,0.0,28.417423009872437,,0.0,0.0,0.0,0.0,0.0,0.0,0.4600478638713823,0.5216047794279411,7,<local_project_root>/datasets/AHDPC/processed/landsat.npz,22ab32bfc065ff8a82b79a2912a3fd7f3dc2965b89d1a8fe7f8d7748a6d4d5b3,completed,0.0,0.0,0.0,0.0,v14_nomix
0.08399629366393117,vehicle,vehicle.npz,0.00967892212793231,0.001802991498081681,11.382442474365234,,0.019733436405658722,0.00605392098143718,0.0026813512085936964,0.02146416255756729,0.010079341707751155,0.023491943326125576,0.08399629366393117,0.12190466247346782,42,<local_project_root>/datasets/AHDPC_related_advantage/vehicle.npz,2e8709f54a322f2d93b142a820062d2be1f6b154682a12954cfe804224fe65ef,completed,0.004189934174064547,0.0007909966503359999,0.0001350658349110745,1.6202738307249184e-05,v14_full
0.0870068671303074,vehicle,vehicle.npz,0.006824428448453546,0.0015313263824955593,11.384031057357788,,0.015648686792701483,0.005600062049827054,0.003466956550255418,0.042065492778254505,0.006896485458128154,0.0457344288701893,0.0870068671303074,0.13161415768168855,123,<local_project_root>/datasets/AHDPC_related_advantage/vehicle.npz,2e8709f54a322f2d93b142a820062d2be1f6b154682a12954cfe804224fe65ef,completed,0.002966501226183027,0.000666309683616454,8.456455179839395e-05,1.5178086533084701e-05,v14_full
0.0823978956458138,vehicle,vehicle.npz,0.009194291196763515,0.0019653103584832106,11.382703065872192,,0.01955979922786355,0.006461166295558577,0.0061999172903597355,0.05913656700081978,0.010055493796244264,0.06863999546372465,0.0823978956458138,0.12728558805286366,7,<local_project_root>/datasets/AHDPC_related_advantage/vehicle.npz,2e8709f54a322f2d93b142a820062d2be1f6b154682a12954cfe804224fe65ef,completed,0.003992439131252468,0.0008556989187289739,0.0001534464863652829,3.07690775489187e-05,v14_full
0.07974775936412822,vehicle,vehicle.npz,0.0,0.0,6.246784925460815,,0.0,0.0,0.0,0.0,0.0,0.0,0.07974775936412822,0.12089734034506981,42,<local_project_root>/datasets/AHDPC_related_advantage/vehicle.npz,2e8709f54a322f2d93b142a820062d2be1f6b154682a12954cfe804224fe65ef,completed,0.0,0.0,0.0,0.0,v14_nomix
0.0841984089043346,vehicle,vehicle.npz,0.0,0.0,6.274960517883301,,0.0,0.0,0.0,0.0,0.0,0.0,0.0841984089043346,0.13349381201328547,123,<local_project_root>/datasets/AHDPC_related_advantage/vehicle.npz,2e8709f54a322f2d93b142a820062d2be1f6b154682a12954cfe804224fe65ef,completed,0.0,0.0,0.0,0.0,v14_nomix
0.08581826228002155,vehicle,vehicle.npz,0.0,0.0,6.172686576843262,,0.0,0.0,0.0,0.0,0.0,0.0,0.08581826228002155,0.12825502970207864,7,<local_project_root>/datasets/AHDPC_related_advantage/vehicle.npz,2e8709f54a322f2d93b142a820062d2be1f6b154682a12954cfe804224fe65ef,completed,0.0,0.0,0.0,0.0,v14_nomix
0.14975275806172392,vertebral_column,vertebral_column.npz,0.01962088607251644,0.004598424879951416,5.328895568847656,,0.030635109171271324,0.012252290222140682,0.009841108229011297,0.07881980181320922,0.02043326199054718,0.08766153756553283,0.14975275806172392,0.23195455585577784,42,<local_project_root>/datasets/AHDPC_related_advantage/vertebral_column.npz,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,0.008492073742672801,0.002063221572388539,1.7774176285456633e-05,1.1964090981619736e-05,v14_full
0.09329948865309168,vertebral_column,vertebral_column.npz,0.010588780976831913,0.0031148037568374245,5.325791597366333,,0.020885971374809742,0.009485998182624047,0.011200586333870888,0.1003138804808259,0.0140067208558321,0.11415180927384402,0.09329948865309168,0.23824579665869355,123,<local_project_root>/datasets/AHDPC_related_advantage/vertebral_column.npz,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,0.00475925300270319,0.0014010498776037643,1.5333717783505563e-05,1.0491361753815134e-05,v14_full
0.12901769532166193,vertebral_column,vertebral_column.npz,0.013920777942985296,0.0034112476566772417,5.338433504104614,,0.03013586439192295,0.010373517659994736,0.00938399787992239,0.07252670358261698,0.012480269651859999,0.07945343099728033,0.12901769532166193,0.21355055064182446,7,<local_project_root>/datasets/AHDPC_related_advantage/vertebral_column.npz,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,0.006171615095809102,0.0015405886154782476,3.781868053920334e-05,2.400868611820082e-05,v14_full
0.1605533257283607,vertebral_column,vertebral_column.npz,0.0,0.0,3.050546169281006,,0.0,0.0,0.0,0.0,0.0,0.0,0.1605533257283607,0.2014334231558699,42,<local_project_root>/datasets/AHDPC_related_advantage/vertebral_column.npz,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,0.0,0.0,0.0,0.0,v14_nomix
0.12901769532166193,vertebral_column,vertebral_column.npz,0.0,0.0,2.8702316284179688,,0.0,0.0,0.0,0.0,0.0,0.0,0.12901769532166193,0.23195455585577784,123,<local_project_root>/datasets/AHDPC_related_advantage/vertebral_column.npz,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,0.0,0.0,0.0,0.0,v14_nomix
0.12401377048211462,vertebral_column,vertebral_column.npz,0.0,0.0,3.0459744930267334,,0.0,0.0,0.0,0.0,0.0,0.0,0.12401377048211462,0.21348589789343206,7,<local_project_root>/datasets/AHDPC_related_advantage/vertebral_column.npz,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,completed,0.0,0.0,0.0,0.0,v14_nomix
