method,completed,errors,ACC_mean,ACC_median,NMI_mean,NMI_median,ARI_mean,ARI_median,AMI_mean,AMI_median,RI_mean,RI_median,FMI_mean,FMI_median
AHDPC,131,0,0.5304598416419571,0.5389,0.24011507812014102,0.054445350321056955,0.18301821357900594,0.0319515638720103,0.23378027775266583,0.04734844793388785,0.5886904962028612,0.5787998999499749,0.5693221677905095,0.5849740199280604
HDPC,131,0,0.516498980038705,0.5315,0.219994137435786,0.0424693035654889,0.16139815229060775,0.010357240782259546,0.21344131460275925,0.04129114366893502,0.5702265492473185,0.5505493799396003,0.5609350267385524,0.5776933291233063
V9,131,0,0.6059359980757241,0.5747574757475747,0.3757137357125116,0.32742693921610166,0.32266324886489517,0.24835300306874053,0.3709625295915191,0.326862317919633,0.7343148751605562,0.7391217471026588,0.5670702585899831,0.5610286050674911
