dataset,method,status,seed,n_samples,n_features,n_clusters,ACC,NMI,ARI,AMI,RI,FMI,elapsed_seconds,error_type,error
glass_identification,HDPC,completed,42,214,9,6,0.4158878504672897,0.180566175690629,0.11333890907258015,0.14773636206180912,0.6137949190469922,0.38837298964721734,0.0033995830453932285,,
glass_identification,V9,completed,42,214,9,6,0.4439252336448598,0.35945088050862917,0.20197063713156305,0.3317173019881641,0.7028651660743276,0.39911252916453654,1.6352994441986084,,
har,AHDPC,completed,42,735,561,6,0.4,0.5277655494593761,0.32298113634622116,0.5228710149213303,0.6969100446718197,0.5377902299358885,0.3040538080967963,,
har,HDPC,completed,42,735,561,6,0.4122448979591837,0.5286753854108445,0.3289309724872187,0.5238424369456063,0.7049658010343102,0.537969084311191,0.2065728991292417,,
har,V9,completed,42,735,561,6,0.5523809523809524,0.5301399761651701,0.35247079980695145,0.5254126850218652,0.8087119316391407,0.46950614375250677,4.7084879875183105,,
harbermans_survival,AHDPC,completed,42,306,3,2,0.6503267973856209,0.001266381029340804,0.014912268296270447,-0.0017703058706049308,0.5437051323261545,0.6435153019479636,0.007527911104261875,,
harbermans_survival,HDPC,completed,42,306,3,2,0.6405228758169934,0.0004602007130174026,0.007834997671990881,-0.0025422633110160804,0.5379834994106932,0.6355906613032108,0.004695763345807791,,
harbermans_survival,V9,completed,42,306,3,2,0.5718954248366013,0.009734727328445691,0.016094135553571455,0.007154610728345855,0.5087324547305261,0.5610286050674911,2.8113372325897217,,
hate_speech,AHDPC,completed,42,3221,100,3,0.7693262961813101,0.0011754217200354445,-0.004614400229869168,-0.0004134171721659102,0.6261706464371043,0.7885690354653806,1.6533409706316888,,
hate_speech,HDPC,completed,42,3221,100,3,0.6165787022663769,0.01157272606157988,-0.014958919885170225,0.010672244048489704,0.5195051496294697,0.6103103697382201,1.0250984118320048,,
hate_speech,V9,completed,42,3221,100,3,0.43744178826451413,0.05403100107741149,0.018746948659371303,0.05335429709009028,0.46971427800092946,0.4778774700894598,21.871086835861206,,
heart_attack_analysis_prediction_dataset,AHDPC,completed,42,303,13,2,0.5511551155115512,0.006321089990139329,0.0027910565160889247,0.0010368040456477522,0.5035953926518479,0.7004191925538109,0.008330820128321648,,
heart_attack_analysis_prediction_dataset,HDPC,completed,42,303,13,2,0.5577557755775577,0.012233382279483363,0.010006436815758685,0.009841254392387788,0.5050379210106442,0.5098760398337048,0.005382234696298838,,
heart_attack_analysis_prediction_dataset,V9,completed,42,303,13,2,0.8052805280528053,0.29086743892383604,0.3705823411684734,0.2891320028704439,0.6853539658601622,0.6927764615644283,3.0206055641174316,,
heart_disease,AHDPC,completed,42,297,13,5,0.5858585858585859,0.23280262738828192,0.3325169389941393,0.21324681458582254,0.6745154245154246,0.6032070058267099,0.009190117940306664,,
heart_disease,HDPC,completed,42,297,13,5,0.5353535353535354,0.24183898205021984,0.29442613633246323,0.22312874923915804,0.6711939211939212,0.5544334296522595,0.0052099633030593395,,
heart_disease,V9,completed,42,297,13,5,0.37373737373737376,0.23295092892248664,0.12880769142918963,0.21736538304729092,0.64004914004914,0.3690616960831467,2.892199754714966,,
hepatitis,AHDPC,completed,42,80,19,2,0.7625,0.03908231573028886,-0.08293671820297864,0.018293653906956153,0.6332278481012659,0.7712434791363832,0.0014531789347529411,,
hepatitis,HDPC,completed,42,80,19,2,0.7625,0.023121833298021168,0.09849672327420524,0.007736862754484603,0.6332278481012659,0.7439184332237206,0.0012596403248608112,,
hepatitis,V9,completed,42,80,19,2,0.725,0.20135235621210473,0.18569826228603717,0.1919258562295357,0.5962025316455696,0.6831275073073619,1.378624439239502,,
htru2,AHDPC,completed,42,9999,8,2,0.9083908390839084,6.252352825363948e-05,-0.00017972838737327385,-0.00013689114358083422,0.8335495081814642,0.9129711100068573,12.231882217805833,,
htru2,HDPC,completed,42,9999,8,2,0.9083908390839084,6.252352825363948e-05,-0.00017972838737327385,-0.00013689114358083422,0.8335495081814642,0.9129711100068573,9.065479908138514,,
htru2,V9,completed,42,9999,8,2,0.9644964496449645,0.5768502856675154,0.71482126870846,0.5767701206656604,0.9315070534859047,0.9607479939775351,81.80203986167908,,
human_stress_detection,AHDPC,completed,42,2001,3,3,0.7936031984007996,0.6992178246674109,0.5961913445545137,0.6989348230358478,0.8151254372813593,0.7395020528385534,0.2110470039770007,,
human_stress_detection,HDPC,completed,42,2001,3,3,0.8055972013993004,0.6489794319060868,0.569730278588372,0.648654615036874,0.8059495252373813,0.7175155865054348,0.1518376669846475,,
human_stress_detection,V9,completed,42,2001,3,3,0.8270864567716142,0.7237463217772689,0.6350037650507705,0.7234889863644928,0.8344097951024487,0.7619650837615508,13.29883885383606,,
image_segmentation,AHDPC,completed,42,210,19,7,0.6238095238095238,0.6297202318036191,0.49731221213873206,0.6102771871763937,0.8650262018683071,0.5808060217782086,0.005808460060507059,,
image_segmentation,HDPC,completed,42,210,19,7,0.6047619047619047,0.6372082697437,0.4716060263730685,0.6194664817404103,0.8538619275461381,0.5635529349415014,0.003460804931819439,,
image_segmentation,V9,completed,42,210,19,7,0.5476190476190477,0.6169148465567061,0.4142904679200884,0.5949738761697211,0.818090681248576,0.5358138699293994,1.5554893016815186,,
imdb,AHDPC,completed,42,3250,700,2,0.5003076923076923,0.0006130485461909648,0.0,5.303035089662687e-15,0.49984629590169755,0.7067803823609633,7.512729754671454,,
imdb,HDPC,completed,42,3250,700,2,0.5003076923076923,0.0006130485461909648,0.0,5.303035089662687e-15,0.49984629590169755,0.7067803823609633,4.664194641169161,,
imdb,V9,completed,42,3250,700,2,0.6095384615384616,0.0358122676794963,0.04770691834651694,0.03559669763586372,0.5238508416790966,0.5280147612531186,23.97362184524536,,
insurance_company_benchmark,AHDPC,completed,42,5822,85,2,0.9223634489866025,0.00046545911319699625,0.010357240782259546,-6.996082839098114e-05,0.856757162363187,0.9230765105731474,6.487441665958613,,
insurance_company_benchmark,HDPC,completed,42,5822,85,2,0.9223634489866025,0.00046545911319699625,0.010357240782259546,-6.996082839098114e-05,0.856757162363187,0.9230765105731474,3.1526164850220084,,
insurance_company_benchmark,V9,completed,42,5822,85,2,0.6726210924081072,0.016129319595088787,0.03787473793261524,0.015933349880896012,0.5595204253118529,0.7138490615939116,39.325597047805786,,
ionosphere,AHDPC,completed,42,351,34,2,0.6581196581196581,0.048096514117020775,0.027683341427877612,0.043869405532449945,0.5487179487179488,0.7302352998286173,0.013646097853779793,,
ionosphere,HDPC,completed,42,351,34,2,0.6381766381766382,0.003775281315138902,-0.002504743833017078,-0.0017790868528560382,0.5368660968660969,0.7309150930880562,0.009276335127651691,,
ionosphere,V9,completed,42,351,34,2,0.7150997150997151,0.13997303126406768,0.18254970338303672,0.1381358690461574,0.5913715913715913,0.6074710358348456,3.0787134170532227,,
iris,AHDPC,completed,42,150,4,3,0.8,0.6333128285088586,0.5761678749065375,0.6287037798804023,0.8120805369127517,0.716778797204159,0.0016003651544451714,,
iris,HDPC,completed,42,150,4,3,0.5533333333333333,0.6186761030930029,0.43523234463529603,0.6131538917955094,0.7157046979865772,0.6770044436356113,0.001247793436050415,,
iris,V9,completed,42,150,4,3,0.8666666666666667,0.7004099176605741,0.676454462051257,0.6966514445101949,0.8568232662192393,0.7833832560793709,1.4845483303070068,,
labeled_faces_in_the_wild,AHDPC,completed,42,2200,5828,2,0.5004545454545455,0.0009042326716572164,0.0,1.357763767804147e-15,0.49977303733101824,0.7066245715873073,28.34590855613351,,
labeled_faces_in_the_wild,HDPC,completed,42,2200,5828,2,0.5004545454545455,0.0009042326716572164,0.0,1.357763767804147e-15,0.49977303733101824,0.7066245715873073,18.246293221600354,,
labeled_faces_in_the_wild,V9,completed,42,2200,5828,2,0.525,0.0018203368326836235,0.002049150530790067,0.0014919391899595351,0.5010231923601637,0.5024289676265842,24.86303949356079,,
letter_recognition,AHDPC,completed,42,9992,16,26,0.17664131305044034,0.2877679317391717,0.0403715555474849,0.27947894707282916,0.6429722498847842,0.1815537960486586,11.451525277923793,,
letter_recognition,HDPC,completed,42,9992,16,26,0.18054443554843874,0.2816044127130197,0.02094734864940245,0.27212152181709864,0.42241121492930506,0.19225618074877276,8.940383302979171,,
letter_recognition,V9,completed,42,9992,16,26,0.26060848678943155,0.3646575972619061,0.127498500872921,0.35827260779442577,0.9273869100284732,0.16605077577084879,83.88310694694519,,
magic_gamma_telescope,AHDPC,completed,42,9999,10,2,0.6481648164816481,0.00026656103419192475,-0.00018298756290265481,6.210354403922205e-05,0.5438600071249373,0.7373449679679155,11.53563268808648,,
magic_gamma_telescope,HDPC,completed,42,9999,10,2,0.6481648164816481,0.00026656103419192475,-0.00018298756290265481,6.210354403922205e-05,0.5438600071249373,0.7373449679679155,9.308690560050309,,
magic_gamma_telescope,V9,completed,42,9999,10,2,0.5747574757475747,0.005673137823895372,0.017585105587137995,0.005597454506545148,0.511128468317926,0.5436102277151456,82.71317887306213,,
mammographic_mass,AHDPC,completed,42,830,5,2,0.7771084337349398,0.23500922032369465,0.3063202704455943,0.23434238329796475,0.6531602889240921,0.65288793047184,0.03615812212228775,,
mammographic_mass,HDPC,completed,42,830,5,2,0.7831325301204819,0.25608721148483077,0.31983970462030287,0.25543557307054315,0.6599183222637232,0.6619290486906411,0.025654071010649204,,
mammographic_mass,V9,completed,42,830,5,2,0.810843373493976,0.33913717863512854,0.38576405992374063,0.33855168523106366,0.6928771781940791,0.6994130398482613,6.402637004852295,,
mfeat-factors,AHDPC,completed,42,2000,216,10,0.543,0.6508950306377655,0.4379364443674026,0.6476127052201679,0.8559494747373687,0.5416390831358912,1.5754032931290567,,
mfeat-factors,HDPC,completed,42,2000,216,10,0.5315,0.643679319977232,0.40550641645944324,0.6402520664961916,0.851528764382191,0.5072335381296214,0.9903399972245097,,
mfeat-factors,V9,completed,42,2000,216,10,0.7685,0.792440353312963,0.7027122718849952,0.7905496158059662,0.9433401700850426,0.7358829602825651,13.422524690628052,,
mfeat-fourier,AHDPC,completed,42,2000,76,10,0.3045,0.32408052194417614,0.1355391010731943,0.3170313248995313,0.639856428214107,0.3407397200845693,0.3669547098688781,,
mfeat-fourier,HDPC,completed,42,2000,76,10,0.2735,0.2977281599384962,0.10705771904574986,0.2895958848859123,0.6041980990495248,0.32148607293762177,0.25975577905774117,,
mfeat-fourier,V9,completed,42,2000,76,10,0.565,0.5224752379775273,0.4075687960259362,0.5181405527351294,0.8894367183591796,0.469598602276923,13.892197608947754,,
mfeat-karhunen,AHDPC,completed,42,2000,64,10,0.6275,0.6723165562397297,0.48239812046455505,0.6692553778819001,0.8798939469734868,0.5644604936426566,0.5496585862711072,,
mfeat-karhunen,HDPC,completed,42,2000,64,10,0.571,0.6447324303937297,0.4386184512135147,0.6413328860296753,0.870168584292146,0.5243425477589243,0.38132175616919994,,
mfeat-karhunen,V9,completed,42,2000,64,10,0.753,0.7228215056811246,0.6385640581751023,0.7203013294706518,0.9319824912456228,0.6773972516666515,13.259979724884033,,
mfeat-morphological,AHDPC,completed,42,2000,6,10,0.6385,0.6843172075610008,0.5482127773887693,0.6814132874002138,0.9114287143571785,0.600190188196681,0.2168088871985674,,
mfeat-morphological,HDPC,completed,42,2000,6,10,0.615,0.6818583682237227,0.5271366943236755,0.6789363058770508,0.9005882941470735,0.5897068044813149,0.16352273290976882,,
mfeat-morphological,V9,completed,42,2000,6,10,0.6425,0.6568373764303087,0.5245353789941404,0.6536997478192913,0.9094587293646823,0.5761918936597099,13.380686044692993,,
micro-mass,AHDPC,completed,42,360,1300,10,0.25,0.31331557602354276,0.05217398118560169,0.27385642239864333,0.38477251624883935,0.32397631494316426,0.2580633908510208,,
micro-mass,HDPC,completed,42,360,1300,10,0.25555555555555554,0.3226437259773265,0.051761513781976576,0.27777427106616803,0.40181058495821725,0.31839081942686753,0.1433506361208856,,
micro-mass,V9,completed,42,360,1300,10,0.5666666666666667,0.73855542968921,0.4856773122791846,0.7227484319205048,0.8934540389972145,0.5517603844787764,3.380594491958618,,
microbes,AHDPC,completed,42,9995,24,10,0.20760380190095049,0.020810173194212397,0.00048061569027948515,0.01836613588363025,0.5531697207418999,0.2444143577695291,12.450362569186836,,
microbes,HDPC,completed,42,9995,24,10,0.21880940470235116,0.022389202563613556,-0.0027955445790441647,0.019744761114213416,0.4919156996949545,0.26392302374108717,4.241910432931036,,
microbes,V9,completed,42,9995,24,10,0.22111055527763882,0.1015260185622479,0.043812640832209024,0.09976160056814475,0.7778782927585466,0.17197153001116722,75.0651421546936,,
mnist64,AHDPC,completed,42,1082,64,6,0.8096118299445472,0.8429460531661173,0.7314256493407378,0.8418241522536182,0.9155946862373273,0.7907441679442136,0.09698628401383758,,
mnist64,HDPC,completed,42,1082,64,6,0.822550831792976,0.8378911770707165,0.7277859543603948,0.8367663775872971,0.9155810068379897,0.7855925493613257,0.06332277599722147,,
mnist64,V9,completed,42,1082,64,6,0.9158964879852126,0.8279881175831884,0.8167439242347633,0.8268627291796854,0.9492323292084245,0.8471845526143785,7.705224514007568,,
mobile_price_classification,AHDPC,completed,42,2000,20,4,0.26,0.0016233558973638112,-0.0005481008700941105,-0.00013990210718031298,0.5787998999499749,0.2918645902773422,0.19521764386445284,,
mobile_price_classification,HDPC,completed,42,2000,20,4,0.2615,0.0012031638604932961,-0.0003879126103614349,-0.0005119865202954369,0.5957658829414707,0.27719697807139104,0.13682563323527575,,
mobile_price_classification,V9,completed,42,2000,20,4,0.296,0.010866439202349327,0.006773986233508167,0.009237805945362453,0.6210310155077539,0.261489470458935,13.285140991210938,,
music_genre_classification,AHDPC,completed,42,1000,26,10,0.241,0.16372058549045074,0.06355398408436345,0.14871163062406995,0.6126126126126126,0.26384831100601297,0.07872740179300308,,
music_genre_classification,HDPC,completed,42,1000,26,10,0.216,0.1553658997725181,0.05709067937248766,0.14023258628876956,0.6241361361361362,0.25154462740697486,0.05482155131176114,,
music_genre_classification,V9,completed,42,1000,26,10,0.342,0.30507894178240774,0.16736730912184622,0.2917527558585641,0.8378178178178178,0.25863693074287625,6.685838222503662,,
olivetti_faces,AHDPC,completed,42,400,4096,40,0.4925,0.7646773069949903,0.27961185739688715,0.6455748186288657,0.9286591478696742,0.3682491703328399,0.5992108220234513,,
olivetti_faces,HDPC,completed,42,400,4096,40,0.4675,0.7470937286010912,0.27288519043122444,0.62133009877028,0.9303508771929825,0.35582620928310127,0.42273464193567634,,
olivetti_faces,V9,completed,42,400,4096,40,0.6875,0.8387318398141962,0.5657374188755737,0.7319939735980097,0.9786842105263158,0.5796815264258355,4.0932886600494385,,
optical_recognition_of_handwritten_digits,AHDPC,completed,42,3823,64,10,0.5273345540151714,0.6316887400038527,0.4227840799446913,0.6297828865287052,0.8486093083081238,0.5318785340190726,3.563898795284331,,
optical_recognition_of_handwritten_digits,HDPC,completed,42,3823,64,10,0.521579911064609,0.6038831541512292,0.4050139716574533,0.6019075734736113,0.8432558560356476,0.5163350811324959,2.535651178099215,,
optical_recognition_of_handwritten_digits,V9,completed,42,3823,64,10,0.7444415380591158,0.7394175816433991,0.6027551123431034,0.7381824328497548,0.9226587594735273,0.6482099524308021,27.061273097991943,,
orbit_classification_for_prediction_nasa,AHDPC,completed,42,1722,11,3,0.4645760743321719,0.007784811359457413,0.0063060849943758724,0.006291765214143944,0.4373824472037366,0.5256710433172582,0.25509240478277206,,
orbit_classification_for_prediction_nasa,HDPC,completed,42,1722,11,3,0.49361207897793263,0.004392798448190415,0.0029359713612999465,0.0028582614888112484,0.4484623571229487,0.5423265521711645,0.1861950191669166,,
orbit_classification_for_prediction_nasa,V9,completed,42,1722,11,3,0.46747967479674796,0.09569283245939576,0.01175996690793007,0.09432316024390522,0.44138438811133357,0.5299410917484166,11.689653635025024,,
paris_housing_classification,AHDPC,completed,42,10000,17,2,0.7746,0.031975544923480946,0.1199419693516206,0.031864738285617325,0.650775397539754,0.7630197185705792,12.470390474889427,,
paris_housing_classification,HDPC,completed,42,10000,17,2,0.7888,0.03873850865639114,0.13791228238178319,0.038625681576958656,0.6667775577557756,0.7762168120400494,9.814215186983347,,
paris_housing_classification,V9,completed,42,10000,17,2,0.5015,0.00023132661733175387,-9.100910091009102e-05,0.00013808582732236936,0.49995449544954496,0.6240558435737459,79.04753065109253,,
parkinsons,AHDPC,completed,42,195,22,2,0.5692307692307692,0.19264792725353524,-0.017055189582034502,0.18909679595019346,0.5070578905630452,0.5857476240793306,0.004204007796943188,,
parkinsons,HDPC,completed,42,195,22,2,0.5743589743589743,0.19595522700690837,-0.01209472543873633,0.19243031455869336,0.508538197197991,0.5858460417977375,0.00324908085167408,,
parkinsons,V9,completed,42,195,22,2,0.5743589743589743,0.11052582939992224,-0.0964872764606665,0.10596412068644241,0.508538197197991,0.6317877224970091,1.4727230072021484,,
patient_treatment_classification,AHDPC,completed,42,4412,10,2,0.5208522212148685,0.0018396526086373187,0.0014659678729078526,0.001674081531096489,0.500756474428369,0.5100613400767675,2.8854377693496644,,
patient_treatment_classification,HDPC,completed,42,4412,10,2,0.5206255666364461,0.001799332459088339,0.0014296297790087002,0.0016337568254584484,0.5007376679047457,0.5100345789820406,1.7509698439389467,,
patient_treatment_classification,V9,completed,42,4412,10,2,0.570716228467815,0.018955731892711155,0.019561990744719183,0.01879271026305582,0.5098904843717789,0.5201493321358888,32.71895456314087,,
pen_based_recognition_of_handwritten_digits,AHDPC,completed,42,7494,16,10,0.5635174806511876,0.6799784367799243,0.49522468069720965,0.6790910762941773,0.8747923112723909,0.5874928291110438,7.739320908207446,,
pen_based_recognition_of_handwritten_digits,HDPC,completed,42,7494,16,10,0.5871363757672805,0.6849247222850069,0.4889419108513409,0.684078417640677,0.8760228165627836,0.5776933291233063,5.0339774140156806,,
pen_based_recognition_of_handwritten_digits,V9,completed,42,7494,16,10,0.7284494262076328,0.6871235958536822,0.5497100858163735,0.6863790355490886,0.9161961358757365,0.5967926766518372,55.89455771446228,,
ph_recognition,AHDPC,completed,42,653,3,15,0.5987748851454824,0.6239828503056914,0.40542443043406784,0.5986108319740958,0.921020490609645,0.44929224948924157,0.01532636908814311,,
ph_recognition,HDPC,completed,42,653,3,15,0.6171516079632465,0.6211321692142616,0.4269006716917635,0.5958272654769378,0.9262488373622451,0.4670890282700248,0.010022930335253477,,
ph_recognition,V9,completed,42,653,3,15,0.5666156202143952,0.6190503659124016,0.41642958564163757,0.5937364221320077,0.9207950093480773,0.46128437106659564,4.784958124160767,,
pima_indians_diabetes_database,AHDPC,completed,42,768,8,2,0.6432291666666666,0.0030181172992366054,0.014542544445104395,0.0015481845803825922,0.540430790960452,0.6949400553909654,0.04082081187516451,,
pima_indians_diabetes_database,HDPC,completed,42,768,8,2,0.5807291666666666,0.0004514132089764328,0.005202442502176444,-0.0006148530509877644,0.5123995002172969,0.5785104428886019,0.027077438309788704,,
pima_indians_diabetes_database,V9,completed,42,768,8,2,0.6770833333333334,0.11726324671739728,0.12422308053410851,0.11640199718020809,0.5621468926553672,0.5817246084879172,5.084449768066406,,
pistachio,AHDPC,completed,42,2148,28,2,0.5754189944134078,0.0031527064322950608,0.009151350379460466,0.002694960683575451,0.5111484649231226,0.6478341366230023,0.4126567500643432,,
pistachio,HDPC,completed,42,2148,28,2,0.5754189944134078,0.004568331513321941,0.0012950345568737754,0.003755470675869127,0.5111484649231226,0.7136725199905734,0.26475883880630136,,
pistachio,V9,completed,42,2148,28,2,0.7742085661080075,0.23976393899458812,0.3004415311967916,0.2395063394202158,0.6502178345948918,0.6538539125079506,14.742859363555908,,
planning_relax,AHDPC,completed,42,182,12,2,0.5,8.422913112661683e-05,-0.004617859841998109,-0.0042358750436094095,0.4972375690607735,0.5394431240678076,0.003492190968245268,,
planning_relax,HDPC,completed,42,182,12,2,0.6153846153846154,0.0001281517100250979,0.001004096843853286,-0.004746299019004918,0.5240118997025074,0.6105015921549992,0.002645188942551613,,
planning_relax,V9,completed,42,182,12,2,0.5054945054945055,0.0005998532144931707,-0.004605721298703089,-0.0037190773995124165,0.4972982818286686,0.5396148231696513,1.556931495666504,,
poker-hand,AHDPC,completed,42,10000,10,2,0.5389,1.1654796469370274e-06,4.828415407096421e-05,-0.00011315832435203734,0.5029767176717672,0.6778589293798292,4.287710449192673,,
poker-hand,HDPC,completed,42,10000,10,2,0.5363,4.901697436083578e-06,0.00014190799206567167,-9.8215590859069e-05,0.5025856385638564,0.6547941916858377,2.978678470943123,,
poker-hand,V9,completed,42,10000,10,2,0.5044,6.597519426947833e-05,-2.2351447217490234e-05,-6.362406621715872e-06,0.49998871887188717,0.501768223341016,79.70629477500916,,
predicting_pulsar_star,AHDPC,completed,42,9273,8,2,0.9082281893669794,6.744480716506771e-05,-0.0001937474327248044,-0.0001475380014937636,0.8332825303815143,0.9128234282000955,11.600383650045842,,
predicting_pulsar_star,HDPC,completed,42,9273,8,2,0.9082281893669794,6.744480716506771e-05,-0.0001937474327248044,-0.0001475380014937636,0.8332825303815143,0.9128234282000955,7.59194267867133,,
predicting_pulsar_star,V9,completed,42,9273,8,2,0.9687264100075488,0.6067605809107445,0.757626875861872,0.6066835636428934,0.9394023600297262,0.9648103321415981,74.54500961303711,,
pumpkin_seeds,AHDPC,completed,42,2500,12,2,0.6064,0.08552691207900312,0.04445542300067339,0.08521532297679661,0.5224509003601441,0.6084998423551499,0.45545505499467254,,
pumpkin_seeds,HDPC,completed,42,2500,12,2,0.5204,0.0008440416367855871,6.666653846178501e-05,4.790742193328186e-05,0.5006325730292117,0.7072715558929891,0.16869996907189488,,
pumpkin_seeds,V9,completed,42,2500,12,2,0.7908,0.2617559167507776,0.3379815331988093,0.26154136384239823,0.6689968787515006,0.6717352677085121,16.983166933059692,,
raisin,AHDPC,completed,42,900,7,2,0.7322222222222222,0.27710259672387344,0.21505769359678106,0.2764594409175536,0.6074181188975405,0.6556355039674746,0.04826157307252288,,
raisin,HDPC,completed,42,900,7,2,0.7033333333333334,0.25133545774017835,0.16475646826336948,0.25064544964875757,0.5822246941045606,0.6479031016052605,0.03121836483478546,,
raisin,V9,completed,42,900,7,2,0.7811111111111111,0.3455601269905991,0.3154555657851979,0.34500044169347893,0.6576665430725498,0.6849147391514367,6.577563285827637,,
reuters,AHDPC,completed,42,6576,4096,3,0.43202554744525545,0.0009520474561002227,7.27226325784506e-05,0.0002975722516702977,0.35150796073751306,0.5923817196736003,280.2313793711364,,
reuters,HDPC,completed,42,6576,4096,3,0.4318734793187348,0.0006353639220623599,4.832076117608143e-05,2.870829952227322e-05,0.3514016633824577,0.5924584714419877,186.596575088799,,
reuters,V9,completed,42,6576,4096,3,0.5311739659367397,0.30612603597133925,0.21153681325283116,0.30591922808001454,0.6234838056118343,0.5169231234629741,61.960405588150024,,
rice_dataset_cammeo_and_osmancik,AHDPC,completed,42,3810,7,2,0.9154855643044619,0.5801389283312455,0.6901915313154557,0.5800576548012045,0.8452158825381797,0.8496262065220037,1.7846748372539878,,
rice_dataset_cammeo_and_osmancik,HDPC,completed,42,3810,7,2,0.5577427821522309,0.018899317600898,-0.006414663051369795,0.018557420443813095,0.5065389404428936,0.7015031335150617,1.3456838307902217,,
rice_dataset_cammeo_and_osmancik,V9,completed,42,3810,7,2,0.9152230971128609,0.5761394720945737,0.6893960890221822,0.5760577939743095,0.8447797005159076,0.848281496069948,27.500481128692627,,
rice_seed_gonen_jasmine,AHDPC,completed,42,9999,10,2,0.9863986398639863,0.8992399079634945,0.94632252493997,0.8992325770398631,0.9731645899136823,0.9734651102885178,11.195504025090486,,
rice_seed_gonen_jasmine,HDPC,completed,42,9999,10,2,0.9845984598459846,0.8903572318247087,0.9393283760711894,0.8903492510772936,0.9696683010969631,0.9700270165495132,8.981386383995414,,
rice_seed_gonen_jasmine,V9,completed,42,9999,10,2,0.9802980298029803,0.8729373943304752,0.922724012188854,0.8729281337705889,0.9613685313320289,0.9618957571274032,82.45113015174866,,
rmftsa_sleepdata,AHDPC,completed,42,1024,2,4,0.3818359375,0.04291715562889994,0.03825152941552062,0.03965922315366647,0.606343169599218,0.31397789513942265,0.06280438182875514,,
rmftsa_sleepdata,HDPC,completed,42,1024,2,4,0.33984375,0.0400004214260327,0.014347599545560249,0.036389168582505696,0.5435606060606061,0.3579424319213294,0.05040263803675771,,
rmftsa_sleepdata,V9,completed,42,1024,2,4,0.3564453125,0.03138369811029998,0.03654617314506498,0.028124472923435513,0.610341061827957,0.3067585244623142,6.294524908065796,,
satellite_image,AHDPC,completed,42,6435,36,6,0.6595182595182595,0.5525752569757062,0.4734658010054118,0.5520744224460055,0.8074326875072911,0.6052406570755784,3.9410819499753416,,
satellite_image,HDPC,completed,42,6435,36,6,0.586013986013986,0.42466020199063,0.357915847635344,0.42389467180687307,0.7691304861339054,0.5102650454558187,2.7103989869356155,,
satellite_image,V9,completed,42,6435,36,6,0.6756798756798756,0.6276777008722468,0.535768487038105,0.6272603325191403,0.8606379908213915,0.621345161287387,49.69295811653137,,
secom,AHDPC,completed,42,1567,590,2,0.9310784939374601,0.001679833720303613,0.010195647544705793,-0.0006432344405673096,0.8715753801465572,0.9330751712070702,2.3480048929341137,,
secom,HDPC,completed,42,1567,590,2,0.9298021697511167,0.004422245015085639,0.02191142826019198,0.0019229196681700166,0.8693764512482467,0.9315606736731681,1.131696810014546,,
secom,V9,completed,42,1567,590,2,0.5130823229100191,0.005886630950918501,-0.0033979752927262353,0.0052040852740064016,0.5000232281221653,0.6620455413103276,11.880188465118408,,
seeds,AHDPC,completed,42,210,7,3,0.8904761904761904,0.6574726824121289,0.7043089982672142,0.6544243914120519,0.8686261107313739,0.8028221451808785,0.004636923782527447,,
seeds,HDPC,completed,42,210,7,3,0.8857142857142857,0.6505894220016187,0.6944889294609727,0.6474871350056699,0.8645705172020961,0.7958026648183613,0.0029395767487585545,,
seeds,V9,completed,42,210,7,3,0.9095238095238095,0.7088278911704359,0.7504797925423856,0.7062471051106871,0.889587605377079,0.8329314523186068,1.4497315883636475,,
seismic_bumps,AHDPC,completed,42,646,24,2,0.6594427244582043,0.0036094428785427898,-0.018883409797821136,0.0017788346881783528,0.5501475988192095,0.7054389253686808,0.03375464305281639,,
seismic_bumps,HDPC,completed,42,646,24,2,0.6594427244582043,0.0036094428785427898,-0.018883409797821136,0.0017788346881783528,0.5501475988192095,0.7054389253686808,0.023320102132856846,,
seismic_bumps,V9,completed,42,646,24,2,0.5712074303405573,0.033447067129898624,0.016781578295584614,0.03182593249685794,0.5093815249478004,0.6688492597342891,4.834954738616943,,
sentiment_labeld_sentences,AHDPC,completed,42,2748,200,2,0.5043668122270742,7.946917106399071e-08,-8.370954616080022e-07,-0.0007221433202094376,0.49985613523605743,0.7064901901716059,2.811449322849512,,
sentiment_labeld_sentences,HDPC,completed,42,2748,200,2,0.5040029112081513,0.0007155484369270184,-1.2602637966690945e-05,-9.058404875748657e-06,0.4998500415167744,0.7067432601819901,1.869081201031804,,
sentiment_labeld_sentences,V9,completed,42,2748,200,2,0.5738719068413392,0.01745911790178962,0.021498738554136983,0.017191671036016314,0.5107360735994116,0.5332810244293528,18.223963260650635,,
shuttle,AHDPC,completed,42,10000,9,2,0.9232,0.49099184375289995,0.5890808201335708,0.4909229522588503,0.858182298229823,0.912039702089413,6.0947649190202355,,
shuttle,HDPC,completed,42,10000,9,2,0.8629,0.17585218047677945,0.34776171019445895,0.1757482253616066,0.7633691569156915,0.8463248916286414,4.101816304959357,,
shuttle,V9,completed,42,10000,9,2,0.7252,0.0499460355896058,0.12872072352935887,0.049854760646861646,0.6013902190219022,0.7016627835326238,78.73743891716003,,
siberian_weather_stats,AHDPC,completed,42,1407,11,7,0.31627576403695806,0.054445350321056955,0.010013066491782992,0.04690763439870628,0.603375117907718,0.2809265189369515,0.07260784367099404,,
