dataset,method,status,seed,n_samples,n_features,n_clusters,ACC,NMI,ARI,AMI,RI,FMI,elapsed_seconds,error_type,error
Mouse_retina,HDPC,completed,42,8352,6198,5,0.803639846743295,0.0002711207668805532,-0.0008229922797954892,-0.0006817083744461256,0.6556314119813123,0.8095073838952133,487.70042401365936,,
Mouse_retina,V9,completed,42,8352,6198,5,0.9810823754789272,0.876497699808664,0.9303650248618819,0.8763390850914468,0.9688551936561157,0.9765391138084983,98.66272592544556,,
PCam,AHDPC,completed,42,4000,27648,2,0.506,0.000506785419044321,1.1633789938598144e-05,8.370289521105311e-06,0.4999469867466867,0.7068924651732807,814.6672927867621,,
PCam,HDPC,completed,42,4000,27648,2,0.506,0.000506785419044321,1.1633789938598144e-05,8.370289521105311e-06,0.4999469867466867,0.7068924651732807,544.5397112639621,,
PCam,V9,completed,42,4000,27648,2,0.608,0.06610206662998039,0.04645634976399346,0.06590766794347724,0.5232088022005501,0.599865712665683,376.1980540752411,,
Waveform,AHDPC,completed,42,5000,21,3,0.5844,0.2426770999041668,0.24801090747833643,0.24239574157167187,0.6584803360672135,0.5096102704871436,2.8514521322213113,,
Waveform,HDPC,completed,42,5000,21,3,0.4506,0.06018327129692701,0.05762162318571465,0.05976558058554674,0.5238924584916983,0.4496516742864959,1.8856758228503168,,
Waveform,V9,completed,42,5000,21,3,0.5028,0.36605356493270225,0.25438261064502266,0.36582187092629126,0.6676608921784357,0.5043515228999406,34.48692226409912,,
banknote_authentication,AHDPC,completed,42,1372,4,2,0.9905247813411079,0.931676018604076,0.9624275145419924,0.9316397655826222,0.9812154308425465,0.9813964155745356,0.08819868229329586,,
banknote_authentication,HDPC,completed,42,1372,4,2,0.8950437317784257,0.6093659753109124,0.6239245668637312,0.6091585973817567,0.8119820607205057,0.8139047466495641,0.06114095402881503,,
banknote_authentication,V9,completed,42,1372,4,2,0.5794460641399417,0.02332033481601393,0.024309009513123855,0.0227997369288971,0.5122678643198448,0.5198743640213919,10.04153561592102,,
birds_bones_and_living_habits,AHDPC,completed,42,413,10,6,0.4648910411622276,0.291529345539516,0.20871910715053632,0.2760574293308839,0.6502621124144903,0.4505546264498812,0.01228128606453538,,
birds_bones_and_living_habits,HDPC,completed,42,413,10,6,0.46731234866828086,0.31141761290160414,0.20742023633048573,0.29617392790329145,0.6422224311807988,0.45573303035869733,0.008993064053356647,,
birds_bones_and_living_habits,V9,completed,42,413,10,6,0.4358353510895884,0.2624190767417444,0.24835300306874053,0.24741011648725927,0.7391217471026588,0.41630421107063653,3.0500104427337646,,
