epoch,train_loss_before_step,exact_budget,effective_changed_coordinate_rate,support_change_rate,value_change_rate,total_absolute_change
1,1.0031156137121908,True,0.07884791740622411,0.0,0.07884791740622411,5011757.185519934
2,0.9907541917126752,True,0.07884791740622411,0.0,0.07884791740622411,5078130.0008279085
3,0.974279400540899,True,0.07884791740622411,0.0,0.07884791740622411,4996900.724858701
4,0.9478600225058156,True,0.07884791740622411,0.0,0.07884791740622411,5055794.924315512
5,0.9181171205040689,True,0.07884791740622411,0.0,0.07884791740622411,5078504.567501962
6,0.8932657646591206,True,0.07884791740622411,0.0,0.07884791740622411,4967763.507278502
7,0.874221969456267,True,0.07884791740622411,0.0,0.07884791740622411,5097911.343223989
8,0.8585748518448499,True,0.07884791740622411,0.0,0.07884791740622411,4987158.941444159
9,0.8448614800996208,True,0.07884791740622411,0.0,0.07884791740622411,4998074.57971102
10,0.8330668816198584,True,0.07884791740622411,0.0,0.07884791740622411,4916970.26017338
11,0.8229639884382011,True,0.07884791740622411,0.0,0.07884791740622411,5065902.782909095
12,0.814437011115975,True,0.07884791740622411,0.0,0.07884791740622411,4988939.403120697
13,0.8076773782183243,True,0.07884791740622411,0.0,0.07884791740622411,5056713.471287489
14,0.8029148447529096,True,0.07884791740622411,0.0,0.07884791740622411,5052242.597817659
15,0.7993998798501941,True,0.07884791740622411,0.0,0.07884791740622411,5071035.836459398
16,0.794853262556557,True,0.07884791740622411,0.0,0.07884791740622411,5088710.496425152
17,0.7914472761668759,True,0.07884791740622411,0.0,0.07884791740622411,5015245.940197885
18,0.7879977491166856,True,0.07884791740622411,0.0,0.07884791740622411,5034258.720400691
19,0.7849064076487066,True,0.07884791740622411,0.0,0.07884791740622411,5031098.7730131745
20,0.7824410918887135,True,0.07884791740622411,0.0,0.07884791740622411,4979326.344676912
21,0.780061661033373,True,0.07884791740622411,0.0,0.07884791740622411,5032402.910883129
22,0.7778991951898433,True,0.07884791740622411,0.0,0.07884791740622411,5126755.725354433
23,0.7757993487546662,True,0.07884791740622411,0.0,0.07884791740622411,5015746.887545466
24,0.7739959665691059,True,0.07884791740622411,0.0,0.07884791740622411,5033283.989043415
25,0.7722019240949552,True,0.07884791740622411,0.0,0.07884791740622411,5018086.695890009
26,0.7704687107245523,True,0.07884791740622411,0.0,0.07884791740622411,4985052.604101002
27,0.7690994064563295,True,0.07884791740622411,0.0,0.07884791740622411,5035279.166668773
28,0.7675543462943782,True,0.07884791740622411,0.0,0.07884791740622411,5095027.743688226
29,0.7660889157091086,True,0.07884791740622411,0.0,0.07884791740622411,5037090.829728007
30,0.7645203420261337,True,0.07884791740622411,0.0,0.07884791740622411,5012420.01489681
