epoch,train_loss_before_step,exact_budget,effective_changed_coordinate_rate,support_change_rate,value_change_rate,total_absolute_change
1,1.0004874969953104,True,0.09043517962573802,0.0,0.09043517962573802,262733.8457660079
2,0.9830577941040108,True,0.09043517962573802,0.0,0.09043517962573802,263012.22763335705
3,0.9531364713502004,True,0.09043517962573802,0.0,0.09043517962573802,264468.1879399717
4,0.914187883628115,True,0.09043517962573802,0.0,0.09043517962573802,260833.01687070727
5,0.8844373709241943,True,0.09043517962573802,0.0,0.09043517962573802,261261.89187082648
6,0.8627676112950295,True,0.09043517962573802,0.0,0.09043517962573802,260097.97125521302
7,0.8458373228028934,True,0.09043517962573802,0.0,0.09043517962573802,262572.90786862373
8,0.8326821418170228,True,0.09043517962573802,0.0,0.09043517962573802,263976.56502202153
9,0.8216423316365974,True,0.09043517962573802,0.0,0.09043517962573802,260593.04470846057
10,0.813928696995417,True,0.09043517962573802,0.0,0.09043517962573802,263296.34849253297
11,0.8078634548650112,True,0.09043517962573802,0.0,0.09043517962573802,262894.16252681613
12,0.801666695530274,True,0.09043517962573802,0.0,0.09043517962573802,262116.47613474727
13,0.7955674508378323,True,0.09043517962573802,0.0,0.09043517962573802,258038.79131621122
14,0.7910078626894371,True,0.09043517962573802,0.0,0.09043517962573802,260879.56554189324
15,0.7875375984536508,True,0.09043517962573802,0.0,0.09043517962573802,262884.4229904711
16,0.7838623733906062,True,0.09043517962573802,0.0,0.09043517962573802,261396.26834130287
17,0.7817622854594388,True,0.09043517962573802,0.0,0.09043517962573802,262323.5457494855
18,0.7799286501228445,True,0.09043517962573802,0.0,0.09043517962573802,261643.03612929583
19,0.7789726884386793,True,0.09043517962573802,0.0,0.09043517962573802,262424.1673784554
20,0.7779895978254038,True,0.09043517962573802,0.0,0.09043517962573802,261313.30432277918
21,0.7761744858981682,True,0.09043517962573802,0.0,0.09043517962573802,262859.7091123462
22,0.7755637504633848,True,0.09043517962573802,0.0,0.09043517962573802,260180.4958383143
23,0.7753273073371724,True,0.09043517962573802,0.0,0.09043517962573802,263859.69269281626
24,0.7741237104768142,True,0.09043517962573802,0.0,0.09043517962573802,262235.10006928444
25,0.7737389135966725,True,0.09043517962573802,0.0,0.09043517962573802,259726.0783008337
26,0.7727413898674823,True,0.09043517962573802,0.0,0.09043517962573802,261465.07482892275
27,0.7716857012084305,True,0.09043517962573802,0.0,0.09043517962573802,263597.8361160755
28,0.7713084437760531,True,0.09043517962573802,0.0,0.09043517962573802,261390.56531894207
29,0.7709204445464539,True,0.09043517962573802,0.0,0.09043517962573802,262386.72997036576
30,0.7700508761773367,True,0.09043517962573802,0.0,0.09043517962573802,263957.5817107558
