epoch,train_loss_before_step,exact_budget,effective_changed_coordinate_rate,support_change_rate,value_change_rate,total_absolute_change
1,1.0024888350291867,True,0.07884791740622411,0.0,0.07884791740622411,3819795.946024835
2,0.9889495664553563,True,0.07884791740622411,0.0,0.07884791740622411,3785283.627046168
3,0.9696677118881879,True,0.07884791740622411,0.0,0.07884791740622411,3782871.848872602
4,0.9410308874749443,True,0.07884791740622411,0.0,0.07884791740622411,3739520.252764702
5,0.9121884974188077,True,0.07884791740622411,0.0,0.07884791740622411,3779632.6584581137
6,0.8908178777599346,True,0.07884791740622411,0.0,0.07884791740622411,3755825.1177332997
7,0.872868488059497,True,0.07884791740622411,0.0,0.07884791740622411,3765321.84868294
8,0.8576148355759018,True,0.07884791740622411,0.0,0.07884791740622411,3742174.7563897967
9,0.8452475459360397,True,0.07884791740622411,0.0,0.07884791740622411,3698023.100726247
10,0.8344374504008669,True,0.07884791740622411,0.0,0.07884791740622411,3770596.7859371305
11,0.8253762327824918,True,0.07884791740622411,0.0,0.07884791740622411,3837826.5971776843
12,0.8183372758814688,True,0.07884791740622411,0.0,0.07884791740622411,3794438.2067201734
13,0.8117657580215992,True,0.07884791740622411,0.0,0.07884791740622411,3833914.412422538
14,0.8053909162278289,True,0.07884791740622411,0.0,0.07884791740622411,3719481.1252147555
15,0.8004527714263474,True,0.07884791740622411,0.0,0.07884791740622411,3724914.970478058
16,0.7961313123181647,True,0.07884791740622411,0.0,0.07884791740622411,3818675.8208488226
17,0.7908185597722057,True,0.07884791740622411,0.0,0.07884791740622411,3738518.993682146
18,0.788923858326718,True,0.07884791740622411,0.0,0.07884791740622411,3776913.5005353093
19,0.785015484719936,True,0.07884791740622411,0.0,0.07884791740622411,3704619.786757767
20,0.7838785200623447,True,0.07884791740622411,0.0,0.07884791740622411,3812631.0652005076
21,0.7821361988469026,True,0.07884791740622411,0.0,0.07884791740622411,3744572.5324974656
22,0.7805138018664178,True,0.07884791740622411,0.0,0.07884791740622411,3769523.8631829023
23,0.7793899831539385,True,0.07884791740622411,0.0,0.07884791740622411,3880689.3172641993
24,0.776949924803982,True,0.07884791740622411,0.0,0.07884791740622411,3739752.1399090886
25,0.7745608397100595,True,0.07884791740622411,0.0,0.07884791740622411,3755010.133121729
26,0.7724554714204687,True,0.07884791740622411,0.0,0.07884791740622411,3766165.6211495996
27,0.7706469260663087,True,0.07884791740622411,0.0,0.07884791740622411,3740705.152563989
28,0.7685208800501717,True,0.07884791740622411,0.0,0.07884791740622411,3769975.851231396
29,0.7676694018786341,True,0.07884791740622411,0.0,0.07884791740622411,3764238.207193911
30,0.7666628796762862,True,0.07884791740622411,0.0,0.07884791740622411,3782531.9039019346
