dataset_id,v0_status,v0_seed_count,v0_ari_mean,v0_ari_std,v0_nmi_mean,v0_nmi_std,v0_acc_mean,v0_acc_std,scmae_status,scmae_source,scmae_seed_count,scmae_ari_mean,scmae_ari_std,scmae_nmi_mean,scmae_nmi_std,scmae_acc_mean,scmae_acc_std,delta_ari,delta_nmi,delta_acc,v0_ari_ge_scmae,v0_nmi_ge_scmae,v0_acc_ge_scmae
Macosko,completed,5,0.41701659862610596,0.008713828988300575,0.6136185728768174,0.005036581938492373,0.5558203892162115,0.012385169675829177,available,APA_scMAE_v2_E_full_generator/kmeans_known_k,3,0.2753057292044824,0.040052651424000385,0.13761992885034915,0.028121042387754525,0.6633190501696126,0.012988541103183694,0.1417108694216236,0.4759986440264683,-0.1074986609534011,True,True,False
Melanoma_5K,completed,5,0.6419025906340275,0.014054651107665348,0.717559050503472,0.011842923034433125,0.7229780633724795,0.018030983540130448,unavailable,no matching canonical result,,,,,,,,,,,,,
Pollen,completed,5,0.9197832466496522,0.02734204395104673,0.9404963278697428,0.009875147214093681,0.9083056478405315,0.03528483201953954,unavailable,no matching canonical result,,,,,,,,,,,,,
Wang,completed,5,0.9204277775201923,0.02855767440725599,0.8469405467007733,0.037120734585881436,0.9814686416640402,0.006965104481290525,unavailable,no matching canonical result,,,,,,,,,,,,,
Quake_10x_Spleen,completed,5,0.5383446155643732,0.004754671504595225,0.6805395232705325,0.005779669554021349,0.7696817420435511,0.004570536003547547,available,APA_scMAE_v2_E_full_generator/kmeans_known_k,3,0.3251226705501439,0.2107344144535434,0.3355665255993142,0.20757581953808535,0.6239879955332217,0.14507664439766793,0.2132219450142293,0.34497299767121825,0.1456937465103294,True,True,True
Quake_Smart-seq2_Lung,completed,5,0.5698255992112469,0.05679381710791922,0.7473596567933662,0.017827873577603716,0.633054892601432,0.026236027286301516,unavailable,no matching canonical result,,,,,,,,,,,,,
Bach,completed,5,0.7466936119654181,0.082185233655704,0.806158428315082,0.013551564512242454,0.748671497584541,0.042673091662261124,unavailable,no matching canonical result,,,,,,,,,,,,,
Baron,completed,5,0.6732393544462852,0.0687047216306241,0.8112318325630017,0.023943764869883064,0.6930330260240402,0.04598070128919651,unavailable,no matching canonical result,,,,,,,,,,,,,
Guo,completed,5,0.7350102534923568,0.015116147656150502,0.8272741191516086,0.0028422168106758345,0.8029892141756548,0.006446315386575153,available,APA_scMAE_v2_E_full_generator/kmeans_known_k,3,0.17436792408548962,0.06074406844368158,0.42747092809108483,0.068847668344892,0.3186954288649204,0.03768250660821706,0.5606423294068672,0.3998031910605238,0.4842937853107344,True,True,True
Limb_Muscle,completed,5,0.9781309229834971,0.0037665558848283794,0.9639366174632427,0.0035634725690238678,0.9906881555385008,0.0011092086665990587,available,APA_scMAE_v2_E_full_generator/kmeans_known_k,3,0.5554457490091932,0.07178378695604506,0.595672578831925,0.06239998711178644,0.6299991472669907,0.06641290301426295,0.42268517397430394,0.3682640386313176,0.36068900827151007,True,True,True
Shekhar,completed,5,0.6488035526817375,0.06661179118232524,0.8653016417653147,0.016051350422570852,0.7528885575847931,0.04366384496112204,unavailable,no matching canonical result,,,,,,,,,,,,,
Tosches,completed,5,0.5193055258427939,0.03998873730690777,0.7341332941760184,0.013039917055535186,0.6399914273467638,0.02151990367835317,available,APA_scMAE_v2_E_full_generator/kmeans_known_k,3,0.39386699210857784,0.05835232770662926,0.4707614891228351,0.027228144927619824,0.41189812830404343,0.047489518055125655,0.12543853373421604,0.26337180505318325,0.2280932990427204,True,True,True
Young,completed,5,0.7718160498270642,0.04637234049236476,0.8309895294873748,0.02409053358828272,0.8408091468777485,0.0455763116145656,available,APA_scMAE_v2_E_full_generator/kmeans_known_k,3,0.168780552432691,0.045512634228342085,0.17223676272818236,0.035646786756843206,0.35960128994429785,0.019382982626429086,0.6030354973943732,0.6587527667591925,0.4812078569334507,True,True,True
hrvatin,completed,5,0.8583456294983189,0.008072160140841205,0.8888202543032382,0.010606977162773158,0.8663572701280404,0.01301186945178784,unavailable,no matching canonical result,,,,,,,,,,,,,
worm_neuron_cell,completed,5,0.41949764364819364,0.04167022285307989,0.653314095242468,0.03292157219682726,0.6684185379837553,0.03394025905868338,unavailable,no matching canonical result,,,,,,,,,,,,,
Blood_BoneMarrow,completed,5,0.3026703327685633,0.03092396133408945,0.6112257098755658,0.005338236134658044,0.36508837569345887,0.020794769221398682,unavailable,no matching canonical result,,,,,,,,,,,,,
Bone_Marrow,completed,5,0.31748529204489584,0.018175213541367342,0.6324289795186001,0.005961438747987708,0.3865980615053249,0.01565569324442934,unavailable,no matching canonical result,,,,,,,,,,,,,
Human_Pancreas_1,completed,5,0.5495108921890188,0.013439766200248797,0.6580350745276353,0.01424754195109771,0.6372641509433963,0.00842791496179332,unavailable,no matching canonical result,,,,,,,,,,,,,
