dataset_name,panel_candidate,record_count,protocol_count,ready_to_reuse,missing_metadata
dilbert,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
dry_bean,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
durum_wheat_features,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
echocardiogram,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
ecoli,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
enron,clubench,39,6,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
epileptic_seizure_recognition,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
extyaleb,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
fabert,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
fashion_mnist,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
fbis.wc,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
fetal_health_classification,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
first-order-theorem-proving,clubench,33,4,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
flickr_material_database,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
fraud_detection_bank,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
gas-drift,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
gina_prior2,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
glass_identification,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
har,clubench,39,6,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
harbermans_survival,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
hate_speech,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
heart_attack_analysis_prediction_dataset,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
heart_disease,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
hepatitis,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
hrvatin,biology_candidate,1,1,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
hrvatin_filtered,biology_candidate,5,1,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
htru2,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
human_stress_detection,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
image_segmentation,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
imdb,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
insurance_company_benchmark,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
ionosphere,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
iris,clubench,37,5,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
labeled_faces_in_the_wild,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
letter_recognition,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
magic_gamma_telescope,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
mammographic_mass,clubench,36,5,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
mfeat-factors,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
mfeat-fourier,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
mfeat-karhunen,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
mfeat-morphological,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
micro-mass,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
microbes,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
mnist64,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
mobile_price_classification,clubench,28,3,false,path;input_kind;K;data_hash;split_hash;config;code_version;source_group
