ACC_mean,ACC_std,ARI_mean,ARI_std,NMI_mean,NMI_std,dataset_id,n_seeds,parameterization
0.16186567911120006,0.004110644917290914,0.05264516864731568,0.002286612400054259,0.15061635538898396,0.006813395054287349,20newsgroups,5,topology
0.6738440303657696,0.007865844049388806,0.627872425639876,0.026244307134682184,0.7790492378675751,0.005980485847306742,Bach,5,topology
0.5525032092426188,0.02406132261226731,0.4972705233154768,0.040272638569264746,0.7388864747177186,0.028492389476588893,Baron,5,topology
0.5742752337001538,0.03383970771332524,0.4614345928689071,0.025591641602942486,0.673385923930999,0.011834380344616098,Baron Human,5,topology
0.46031479809056897,0.045040364209512455,0.3854885618843595,0.04533174720079406,0.7022882637699537,0.0086245874481341,Blood_BoneMarrow,5,topology
0.49893502453033384,0.02610904187596106,0.42435994517608966,0.02672793223091849,0.7246917870102363,0.006640086864384058,Bone_Marrow,5,topology
0.77062,0.027130923316393055,0.5573442167811099,0.022139292310568433,0.7038117281872408,0.005842760932042098,CIFAR10_CLIP,5,topology
0.8265277777777778,0.031688284531403856,0.798718229051768,0.01868759890271321,0.9385551534681215,0.005673693057000703,COIL20_CLIP,5,topology
0.28692084459121386,0.009729824813387376,0.16880567908112193,0.015297406141412949,0.3521979486716327,0.00881401161455438,Campbell,5,topology
0.30851915380217265,0.009741676610856016,0.006455642317980495,0.0021289403452138087,0.01024346889606097,0.0017584055402077425,Drug Consumption,5,topology
0.6317599999999999,0.004352355683994591,0.5213984629217274,0.003344034002576074,0.6752893249121659,0.0032679534386153754,FashionMNIST_CLIP,5,topology
0.6482588597842834,0.005712934825212966,0.5218539365286196,0.005302186625366041,0.7687541314811155,0.0032873141423222286,Guo,5,topology
0.6703616352201257,0.042074073267413255,0.5147259472356343,0.05595241250769784,0.6375341961359995,0.05435978801141381,Human_Pancreas_1,5,topology
0.5504959738592602,0.023442475234640332,0.49770920758550385,0.040505587073592655,0.7413123733496241,0.028266179597543555,Human_Pancreas_3,5,topology
0.5846864178530204,0.03776766026789061,0.5217737065967405,0.03848647810800234,0.7416148714808878,0.021887579735656176,ISOLET,5,topology
0.5776924813727705,0.003824533900757383,0.3209967225440898,0.007244760760041842,0.48007577002222057,0.004066694885968555,Indian_pines,5,topology
0.464270655556671,0.03878977127935903,0.2943211451360304,0.03917623207189971,0.4616919034801765,0.02804645492969018,JapaneseVowels,5,topology
0.7757482732156562,0.03413235770169697,0.7681437104441,0.018982838696044425,0.8521360602024968,0.006182563175650964,Limb_Muscle,5,topology
0.6482793117246899,0.05801671494336769,0.471583631456072,0.051248330833301714,0.5950903872097724,0.029550825651427273,MNIST_CLIP,5,topology
0.4183583288698447,0.031774899895676924,0.24501673739978566,0.012127213761485022,0.51191097510634,0.0029879946057297696,Macosko,5,topology
