dataset,seed,I_full_ARI,S_full_ARI,I_1step_ARI,S_1step_ARI
Baron Human,123,-0.07529428341242217,0.08575747781494114,0.0014565778971906695,-0.0007586078318503331
Baron Human,42,0.02110374750103966,0.017532602931774638,-0.00013182376997100675,-8.073077330206235e-05
Baron Human,7,0.01980225117099435,0.03056034885474085,-0.0005553810079238219,0.0004971034703941113
Campbell,123,0.28437758069146646,-0.13614682477221451,-0.005450985503069133,-0.0008209667491402006
Campbell,42,0.12562733200580123,-0.09164831221361266,0.04012897335764723,-0.0304552340729487
Campbell,7,-0.011480739531167627,0.0317998924674992,0.0006669649409753731,-0.0007741216866786749
hate_speech,123,-0.00594858462922266,-0.03629180016772965,-0.0011775237614449923,0.0059306700642916665
hate_speech,42,-0.005810408866118416,-0.024615670683843544,-0.001596676469029593,-0.0004105918730562229
hate_speech,7,0.0037466197251364575,-0.03932170753623912,-0.006069640071117979,0.00016893643293309016
