dataset,seed,metric,difference_selected_minus_eligible_not_selected,coordinate_distributions_descriptive_only,measurement_timing,causal_status
hate_speech,42,donor_change_magnitude,1.0757844704343134,True,post_intervention_policy_audit,observational
hate_speech,42,topology_deviation,2.087742678698275,True,post_intervention_policy_audit,observational
hate_speech,42,topology_dispersion,1.7304092228767787,True,post_intervention_policy_audit,observational
hate_speech,7,model_variance,-4.541633513710508e-09,True,post_intervention_policy_audit,observational
hate_speech,7,model_zero_fraction,0.0,True,post_intervention_policy_audit,observational
hate_speech,7,model_support_frequency,0.0,True,post_intervention_policy_audit,observational
hate_speech,7,raw_support_frequency,-0.036163388905440866,True,post_intervention_policy_audit,observational
hate_speech,7,support_mutual_information_posthoc,-0.00504887210724057,True,post_intervention_policy_audit,observational
hate_speech,7,fisher_separation_posthoc,-0.004935539065843498,True,post_intervention_policy_audit,observational
hate_speech,7,class_support_enrichment_posthoc,-0.023551203629184697,True,post_intervention_policy_audit,observational
hate_speech,7,donor_change_magnitude,1.0634990736198802,True,post_intervention_policy_audit,observational
hate_speech,7,topology_deviation,2.2171217240429586,True,post_intervention_policy_audit,observational
hate_speech,7,topology_dispersion,1.6917555772264552,True,post_intervention_policy_audit,observational
