epoch,loss,L_cut,L_orth,L_var,variance_min
1.0,222736704.0,0.12588447332382202,222736704.0,0.0,89.78148651123047
2.0,148437040.0,0.12696391344070435,148437040.0,0.0,78.53656005859375
3.0,99080704.0,0.1282212883234024,99080704.0,0.0,68.82347869873047
4.0,67011964.0,0.12965671718120575,67011964.0,0.0,60.32752990722656
5.0,46415360.0,0.13123862445354462,46415360.0,0.0,53.068660736083984
6.0,33207996.0,0.132943794131279,33207996.0,0.0,47.00251388549805
7.0,24653036.0,0.13474434614181519,24653036.0,0.0,42.018898010253906
8.0,18992540.0,0.13661490380764008,18992540.0,0.0,37.999969482421875
9.0,15133631.0,0.13852927088737488,15133631.0,0.0,34.82860565185547
10.0,12408220.0,0.14045710861682892,12408220.0,0.0,32.3879280090332
11.0,10411526.0,0.14237964153289795,10411526.0,0.0,30.55625343322754
12.0,8897002.0,0.14428463578224182,8897002.0,0.0,29.224668502807617
13.0,7710387.0,0.14616000652313232,7710387.0,0.0,28.29293441772461
14.0,6756023.0,0.1480025202035904,6756023.0,0.0,27.67815589904785
15.0,5974163.0,0.14981628954410553,5974163.0,0.0,27.300132751464844
16.0,5324293.0,0.15159541368484497,5324293.0,0.0,27.091228485107422
17.0,4777473.5,0.15334102511405945,4777473.5,0.0,26.998937606811523
18.0,4312827.0,0.15505455434322357,4312827.0,0.0,26.97476577758789
19.0,3913895.0,0.1567421704530716,3913894.75,0.0,26.98297882080078
20.0,3567927.0,0.15840816497802734,3567926.75,0.0,26.998456954956055
21.0,3264746.75,0.16005654633045197,3264746.5,0.0,27.00564193725586
22.0,2996422.75,0.16169118881225586,2996422.5,0.0,26.99664306640625
23.0,2756640.75,0.16331669688224792,2756640.5,0.0,26.970630645751953
24.0,2540504.25,0.1649351865053177,2540504.0,0.0,26.92365837097168
25.0,2344213.25,0.16655133664608002,2344213.0,0.0,26.85698127746582
26.0,2164816.25,0.16816839575767517,2164816.0,0.0,26.769681930541992
27.0,2000153.5,0.16978837549686432,2000153.375,0.0,26.66278648376465
28.0,1848558.125,0.17141102254390717,1848558.0,0.0,26.537837982177734
29.0,1708747.375,0.17303580045700073,1708747.25,0.0,26.39677619934082
30.0,1579798.125,0.17466853559017181,1579798.0,0.0,26.239906311035156
31.0,1460944.5,0.1763102114200592,1460944.375,0.0,26.07254409790039
32.0,1351466.875,0.1779608577489853,1351466.75,0.0,25.894948959350586
33.0,1250789.125,0.17961625754833221,1250789.0,0.0,25.710010528564453
34.0,1158370.875,0.18127372860908508,1158370.75,0.0,25.523265838623047
35.0,1073659.5,0.18293271958827972,1073659.375,0.0,25.335063934326172
36.0,996124.75,0.18458674848079681,996124.5625,0.0,25.149402618408203
37.0,925241.875,0.18623588979244232,925241.6875,0.0,24.966909408569336
38.0,860502.5625,0.18787811696529388,860502.375,0.0,24.78687286376953
39.0,801397.8125,0.18950791656970978,801397.625,0.0,24.605201721191406
40.0,747433.5625,0.19112345576286316,747433.375,0.0,24.42279052734375
41.0,698162.0625,0.19272491335868835,698161.875,0.0,24.239500045776367
42.0,653169.5,0.19430863857269287,653169.3125,0.0,24.054555892944336
43.0,612061.9375,0.19587846100330353,612061.75,0.0,23.871084213256836
44.0,574479.875,0.19743099808692932,574479.6875,0.0,23.676855087280273
45.0,540088.375,0.19896569848060608,540088.1875,0.0,22.982702255249023
46.0,508594.6875,0.20048247277736664,508594.5,0.0,22.327919006347656
47.0,479716.0625,0.20198071002960205,479715.875,0.0,21.70608139038086
48.0,453193.84375,0.20345719158649445,453193.625,0.0,21.11386489868164
49.0,428809.875,0.20491492748260498,428809.65625,0.0,20.551986694335938
50.0,406355.78125,0.20635263621807098,406355.5625,0.0,20.018421173095703
51.0,385652.53125,0.20776714384555817,385652.3125,0.0,19.511394500732422
52.0,366538.78125,0.2091587483882904,366538.5625,0.0,19.031503677368164
53.0,348857.375,0.21052725613117218,348857.15625,0.0,18.578289031982422
54.0,332472.40625,0.21187497675418854,332472.1875,0.0,18.15118408203125
55.0,317272.375,0.213201105594635,317272.15625,0.0,17.74767303466797
56.0,303151.8125,0.21450568735599518,303151.59375,0.0,17.366966247558594
57.0,290020.65625,0.21579019725322723,290020.4375,0.0,17.00678062438965
58.0,277790.59375,0.2170538604259491,277790.375,0.0,16.666196823120117
59.0,266378.09375,0.2182944118976593,266377.875,0.0,16.34349822998047
60.0,255719.578125,0.21951492130756378,255719.359375,0.0,16.038198471069336
