epoch,train_loss_before_step,exact_budget,effective_changed_coordinate_rate,support_change_rate,value_change_rate,total_absolute_change
1,1.0048925420501431,True,0.09043517962573802,0.09043517962573802,0.0,405364.4350298643
2,0.9968800785113751,True,0.09043517962573802,0.09043517962573802,0.0,402175.57689136267
3,0.9916869080079803,True,0.09043517962573802,0.09043517962573802,0.0,402358.13844424486
4,0.9841886216081752,True,0.09043517962573802,0.09043517962573802,0.0,402183.0577649474
5,0.9744320088507451,True,0.09043517962573802,0.09043517962573802,0.0,402386.50319984555
6,0.9641608231885768,True,0.09043517962573802,0.09043517962573802,0.0,402167.88472270966
7,0.9554700711152103,True,0.09043517962573802,0.09043517962573802,0.0,408757.7381924391
8,0.9474175843249615,True,0.09043517962573802,0.09043517962573802,0.0,404951.4936414063
9,0.9404826979134685,True,0.09043517962573802,0.09043517962573802,0.0,404249.16622930765
10,0.9339679523975919,True,0.09043517962573802,0.09043517962573802,0.0,404935.79034382105
11,0.9272767551176948,True,0.09043517962573802,0.09043517962573802,0.0,402002.37152707577
12,0.9208445588855024,True,0.09043517962573802,0.09043517962573802,0.0,404017.8001487553
13,0.9147353074004984,True,0.09043517962573802,0.09043517962573802,0.0,403893.78017514944
14,0.9095263043574167,True,0.09043517962573802,0.09043517962573802,0.0,405454.0010011196
15,0.9031669678158867,True,0.09043517962573802,0.09043517962573802,0.0,404610.73069500923
16,0.8973011975291731,True,0.09043517962573802,0.09043517962573802,0.0,404216.07670748234
17,0.8929424123531179,True,0.09043517962573802,0.09043517962573802,0.0,404288.4378902316
18,0.8885206486099679,True,0.09043517962573802,0.09043517962573802,0.0,403558.95810058713
19,0.8841398217042716,True,0.09043517962573802,0.09043517962573802,0.0,401150.43200302124
20,0.8792997524030428,True,0.09043517962573802,0.09043517962573802,0.0,400515.64047926664
21,0.8759995279316428,True,0.09043517962573802,0.09043517962573802,0.0,405537.29140776396
22,0.873408912300145,True,0.09043517962573802,0.09043517962573802,0.0,411704.9878485501
23,0.8671412039933997,True,0.09043517962573802,0.09043517962573802,0.0,403168.8099374175
24,0.8657687598731106,True,0.09043517962573802,0.09043517962573802,0.0,406028.02302518487
25,0.8615629113878822,True,0.09043517962573802,0.09043517962573802,0.0,402308.43721061945
26,0.8604005258099806,True,0.09043517962573802,0.09043517962573802,0.0,402117.81445485353
27,0.8563335959371905,True,0.09043517962573802,0.09043517962573802,0.0,406667.83781948686
28,0.8519258106433628,True,0.09043517962573802,0.09043517962573802,0.0,404608.17536097765
29,0.85095399118312,True,0.09043517962573802,0.09043517962573802,0.0,403005.6110357344
30,0.8476014244094764,True,0.09043517962573802,0.09043517962573802,0.0,406130.5178397596
