dataset,seed,arm,ari,nmi,loss
Mouse_retina,123,N,0.9194338749749761,0.864287197027871,0.2195867896080017
Mouse_retina,123,R,0.9168886325202762,0.8612111078398411,0.2239537090063095
Mouse_retina,123,T,0.9156618654395592,0.8603643909229292,0.2239055186510086
Mouse_retina,42,N,0.9361777379356556,0.8824565642163618,0.23307345807552338
Mouse_retina,42,R,0.9374745271220958,0.8847745947562283,0.23722295463085175
Mouse_retina,42,T,0.9374745271220958,0.8847745947562283,0.23723462224006653
Mouse_retina,7,N,0.9450153354088777,0.9020089126816287,0.19771188497543335
Mouse_retina,7,R,0.9454516595739594,0.9026988419915416,0.20071452856063843
Mouse_retina,7,T,0.9432621344617718,0.8996623582897015,0.20101413130760193
cnae9,123,N,0.2623130876058246,0.4780412096153679,0.1388605684041977
cnae9,123,R,0.2644943776615039,0.48338143593044464,0.14164651930332184
cnae9,123,T,0.2632531524227077,0.4776105226368161,0.14242254197597504
cnae9,42,N,0.3266635279992019,0.506071806699722,0.1585795283317566
cnae9,42,R,0.328810368420465,0.5051460305394131,0.16125145554542542
cnae9,42,T,0.3351040455435369,0.5078350371760195,0.1613239049911499
cnae9,7,N,0.3680110316818913,0.548522899035812,0.1487027108669281
cnae9,7,R,0.3680041083830268,0.548676684917726,0.15150928497314453
cnae9,7,T,0.37280774552015084,0.5523379514179193,0.15144389867782593
sms_spam_collection,123,N,0.8443012631360929,0.7100015650180532,0.15028934180736542
sms_spam_collection,123,R,0.8443012631360929,0.7100015650180532,0.1518479287624359
sms_spam_collection,123,T,0.8443012631360929,0.7100015650180532,0.15177659690380096
sms_spam_collection,42,N,0.8434088690846909,0.7127106038005535,0.1610119640827179
sms_spam_collection,42,R,0.8434088690846909,0.7127106038005535,0.16235095262527466
sms_spam_collection,42,T,0.8434088690846909,0.7127106038005535,0.16226600110530853
sms_spam_collection,7,N,0.7981239825151202,0.6689349909343318,0.15652145445346832
sms_spam_collection,7,R,0.7981239825151202,0.6689349909343318,0.15780633687973022
sms_spam_collection,7,T,0.7981239825151202,0.6689349909343318,0.15778297185897827
