dataset,role_class,ARI_clean,ARI_C0,Delta_clean_C0,best_structured_arm,best_structured_ARI,Delta_random_best_structured
sms_spam_collection,sparse_text,0.16167723754076133,0.1544013612046249,-0.007275876336136439,C3_MixedMatched,0.16187564105756735,0.007474279852942467
hate_speech,sparse_text,0.0026923415334196357,0.023503733128867967,0.02081139159544833,C4_StaticHard,0.005775323601784142,-0.017728409527083825
Mouse_retina,registered_scrna_count,0.7544559119561672,0.8246458869565151,0.07018997500034785,C3_MixedMatched,0.8478796396778748,0.023233752721359746
Baron Human,registered_scrna_count,0.14444718448367763,0.14861091226537812,0.004163727781700488,C2_SupportOnly,0.42946474108670923,0.28085382882133114
cnae9,generic_sparse_high_dimensional,0.038604693773055324,0.046526498556366654,0.00792180478331133,C3_MixedMatched,0.0399950563198156,-0.006531442236551055
Campbell,registered_scrna_count,0.04277547651396941,0.08381371792984836,0.04103824141587895,C4_StaticHard,0.24452329083790736,0.16070957290805898
