dataset,role_class,arm,seed,status,ARI,NMI,L_rec,effective_changed_coordinate_rate_mean,epochs_audited,requested_change_ratio_mean,support_change_ratio_mean,total_absolute_change_mean,value_change_ratio_mean
sms_spam_collection,sparse_text,C_clean_no_corruption,42,completed_valid,0.19904607297774976,0.139924334582641,0.8962697459552103,0.0,30,0.0,0.0,0.0,0.0
sms_spam_collection,sparse_text,C_clean_no_corruption,123,completed_valid,0.1166300442062224,0.07239909882697042,0.8908687690061009,0.0,30,0.0,0.0,0.0,0.0
sms_spam_collection,sparse_text,C_clean_no_corruption,7,completed_valid,0.16935559543831186,0.10626446680783708,0.8937229032288054,0.0,30,0.0,0.0,0.0,0.0
sms_spam_collection,sparse_text,C0_MatchedRandom,42,completed_valid,0.21525887646121136,0.1157796619993049,0.9754588953749148,0.3814932634730539,30,0.3814932634730539,0.08709580838323355,4324.373525608363,0.30896550648702603
sms_spam_collection,sparse_text,C0_MatchedRandom,123,completed_valid,0.07467254870501747,0.058968059392720235,0.9731070581310524,0.3814932634730539,30,0.3814932634730539,0.08784711826347305,4331.897943435514,0.3090444111776448
sms_spam_collection,sparse_text,C0_MatchedRandom,7,completed_valid,0.1732726584476458,0.07346062462992524,0.9752157961537025,0.3814932634730539,30,0.3814932634730539,0.08744074351297404,4333.175130323517,0.30926085329341313
sms_spam_collection,sparse_text,C1_ValueOnly,42,completed_valid,0.15615826474749006,0.10982466521942945,0.9873228065268008,0.3814932634730539,30,0.3814932634730539,0.05247972804391219,4996.7898715910815,0.3789714321357286
sms_spam_collection,sparse_text,C1_ValueOnly,123,completed_valid,0.05399919162227911,0.057731235490511054,0.9849530439890787,0.3814932634730539,30,0.3814932634730539,0.05304671906187625,5001.95215985092,0.3792128243512975
sms_spam_collection,sparse_text,C1_ValueOnly,7,completed_valid,0.10384839370942688,0.06272480439582209,0.9857047213765675,0.3814932634730539,30,0.3814932634730539,0.0526001122754491,5002.889075500146,0.3793565993013972
sms_spam_collection,sparse_text,C2_SupportOnly,42,completed_valid,0.13686964212886565,0.12424765135176928,0.9439832474657162,0.29084955089820347,30,0.3814932634730539,0.29084955089820347,2617.8615311220697,0.0
sms_spam_collection,sparse_text,C2_SupportOnly,123,completed_valid,0.10539446113358433,0.05654842476312139,0.9413253290210656,0.29084955089820347,30,0.3814932634730539,0.29084955089820347,2616.1249190678277,0.0
sms_spam_collection,sparse_text,C2_SupportOnly,7,completed_valid,0.17656057764290117,0.09088325268039328,0.9444926368976068,0.29084955089820347,30,0.3814932634730539,0.29084955089820347,2621.4854820062737,0.0
sms_spam_collection,sparse_text,C3_MixedMatched,42,completed_valid,0.17247518665219289,0.11271111329226557,0.9460663395013638,0.29084955089820347,30,0.3814932634730539,0.2996126497005988,2885.1913602149307,0.0
sms_spam_collection,sparse_text,C3_MixedMatched,123,completed_valid,0.10963468686090747,0.06177734850066051,0.9435031344076831,0.29084955089820347,30,0.3814932634730539,0.29970527694610777,2886.9228281490778,0.0
sms_spam_collection,sparse_text,C3_MixedMatched,7,completed_valid,0.20351704965960168,0.1059008286256111,0.9455954177650863,0.29084955089820347,30,0.3814932634730539,0.2997264845309381,2887.731671640087,0.0
sms_spam_collection,sparse_text,C4_StaticHard,42,completed_valid,0.06959223622613842,0.06532253835632319,0.998058304529704,0.3814932634730539,30,0.3814932634730539,0.1097935379241517,5706.617794343866,0.37890625
sms_spam_collection,sparse_text,C4_StaticHard,123,completed_valid,0.1147195440242133,0.12757616544217476,0.9965759358720151,0.3814932634730539,30,0.3814932634730539,0.10986714071856286,5711.01794313065,0.37940462824351295
sms_spam_collection,sparse_text,C4_StaticHard,7,completed_valid,0.11276796708546277,0.07061289183168563,0.99713906827801,0.3814932634730539,30,0.3814932634730539,0.10874688123752493,5712.572445214372,0.3794617015968064
hate_speech,sparse_text,C_clean_no_corruption,42,completed_valid,0.010282820700050207,0.006130796024462209,0.6318114538512516,0.0,30,0.0,0.0,0.0,0.0
hate_speech,sparse_text,C_clean_no_corruption,123,completed_valid,-0.0016264218676732573,0.003860191531947453,0.6589087169017158,0.0,30,0.0,0.0,0.0,0.0
hate_speech,sparse_text,C_clean_no_corruption,7,completed_valid,-0.0005793742321180417,0.003790058911329017,0.6306378561974461,0.0,30,0.0,0.0,0.0,0.0
hate_speech,sparse_text,C0_MatchedRandom,42,completed_valid,0.03603542455943089,0.016963817195909177,0.8186686324688338,0.22311911414674526,30,0.22311911414674526,0.056286553833899376,6645.233536235536,0.1270254025299042
hate_speech,sparse_text,C0_MatchedRandom,123,completed_valid,0.018787846058965045,0.0049667607934823265,0.8257411450415951,0.22311911414674526,30,0.22311911414674526,0.05627233736516568,6654.986182104262,0.12703115183711272
hate_speech,sparse_text,C0_MatchedRandom,7,completed_valid,0.01568792876820797,0.011289329354698039,0.8174113227469104,0.22311911414674526,30,0.22311911414674526,0.05616257786391287,6647.642246209217,0.126926723511635
hate_speech,sparse_text,C1_ValueOnly,42,completed_valid,0.001501503127876193,0.005233344145474053,0.9244906717078059,0.22311911414674526,30,0.22311911414674526,0.04387484489937144,10916.946180851384,0.22311911414674526
hate_speech,sparse_text,C1_ValueOnly,123,completed_valid,-0.0032110988135010342,0.004262474373590936,0.9238962859923853,0.22311911414674526,30,0.22311911414674526,0.043210538584646005,10899.885805363581,0.22311911414674526
hate_speech,sparse_text,C1_ValueOnly,7,completed_valid,-0.0034346220486572293,0.005153870714186786,0.9251378332188099,0.22311911414674526,30,0.22311911414674526,0.043694734784458476,10909.219316777338,0.22311911414674526
hate_speech,sparse_text,C2_SupportOnly,42,completed_valid,0.009669082719932796,0.007510736035342093,0.8206529150058008,0.22061659751818097,30,0.22311911414674526,0.22061659751818097,7479.61779472786,0.0
