dataset,scorer,view,fold,train_edge_count,test_edge_count,train_anchor_count,test_anchor_count,test_coverage,average_precision,auroc
Campbell,TinyMLP,No-rank,0,159880,39980,7994,1999,39980,0.9143049781704728,0.9431556125319622
Campbell,TinyMLP,No-rank,1,159880,39980,7994,1999,39980,0.91537943102453,0.946631801393443
Campbell,TinyMLP,No-rank,2,159880,39980,7994,1999,39980,0.916015170421012,0.9456270012716046
Campbell,TinyMLP,No-rank,3,159900,39960,7995,1998,39960,0.9144866274139007,0.9447627304377283
Campbell,TinyMLP,No-rank,4,159900,39960,7995,1998,39960,0.9159526716260297,0.9469388604695785
sms_spam_collection,Logistic,Full,0,12720,3180,636,159,3180,0.9458900897351542,0.9692769932623972
sms_spam_collection,Logistic,Full,1,12720,3180,636,159,3180,0.962136055697895,0.9789305703888296
sms_spam_collection,Logistic,Full,2,12720,3180,636,159,3180,0.9419316842815256,0.965115435834553
sms_spam_collection,Logistic,Full,3,12720,3180,636,159,3180,0.9635442498323221,0.9808910347691944
sms_spam_collection,Logistic,Full,4,12720,3180,636,159,3180,0.938519100034598,0.9651352135332198
sms_spam_collection,Logistic,No-geometry,0,12720,3180,636,159,3180,0.7905918988132008,0.855056663106681
sms_spam_collection,Logistic,No-geometry,1,12720,3180,636,159,3180,0.7849989874206147,0.8596343762773098
sms_spam_collection,Logistic,No-geometry,2,12720,3180,636,159,3180,0.7954559867930617,0.8652502126102607
sms_spam_collection,Logistic,No-geometry,3,12720,3180,636,159,3180,0.7786969688887314,0.8593506899120551
sms_spam_collection,Logistic,No-geometry,4,12720,3180,636,159,3180,0.7675789709963452,0.8466383680761573
sms_spam_collection,Logistic,No-rank,0,12720,3180,636,159,3180,0.946052805375504,0.9675163660456468
sms_spam_collection,Logistic,No-rank,1,12720,3180,636,159,3180,0.9577953209473654,0.9753951007344118
sms_spam_collection,Logistic,No-rank,2,12720,3180,636,159,3180,0.9423533931855784,0.9654945083923369
sms_spam_collection,Logistic,No-rank,3,12720,3180,636,159,3180,0.9609336232587057,0.9790113293250532
sms_spam_collection,Logistic,No-rank,4,12720,3180,636,159,3180,0.9324107540808623,0.9604361559405613
sms_spam_collection,TinyMLP,Full,0,12720,3180,636,159,3180,0.9397434909919751,0.9599110168374141
sms_spam_collection,TinyMLP,Full,1,12720,3180,636,159,3180,0.9451523801839468,0.9660503441319568
sms_spam_collection,TinyMLP,Full,2,12720,3180,636,159,3180,0.9374279497529593,0.9579616774125497
sms_spam_collection,TinyMLP,Full,3,12720,3180,636,159,3180,0.9575694969508644,0.9747117400419287
sms_spam_collection,TinyMLP,Full,4,12720,3180,636,159,3180,0.927489727154411,0.9523674729375157
sms_spam_collection,TinyMLP,No-geometry,0,12720,3180,636,159,3180,0.7795183310604507,0.8381193303930488
sms_spam_collection,TinyMLP,No-geometry,1,12720,3180,636,159,3180,0.7703610537362009,0.8427755363052621
sms_spam_collection,TinyMLP,No-geometry,2,12720,3180,636,159,3180,0.7800903735390028,0.8439273812349194
sms_spam_collection,TinyMLP,No-geometry,3,12720,3180,636,159,3180,0.7626288703880278,0.8396957777909628
sms_spam_collection,TinyMLP,No-geometry,4,12720,3180,636,159,3180,0.748970968268551,0.8247306524662791
sms_spam_collection,TinyMLP,No-rank,0,12720,3180,636,159,3180,0.9249486113103564,0.9468696847434833
sms_spam_collection,TinyMLP,No-rank,1,12720,3180,636,159,3180,0.9331946373129265,0.9550733093363923
sms_spam_collection,TinyMLP,No-rank,2,12720,3180,636,159,3180,0.9253211562721495,0.9478078893239983
sms_spam_collection,TinyMLP,No-rank,3,12720,3180,636,159,3180,0.9343996436428703,0.9571145326529805
sms_spam_collection,TinyMLP,No-rank,4,12720,3180,636,159,3180,0.9123424659755889,0.9418515057421253
