dataset,scorer,view,feature_count,average_precision,ap_lift,auroc,delta_sup_mean,delta_sup_min,delta_sup_max,capture_sup,oof_coverage,anchor_disjoint,labels_used_in_scorer
cnae9,Logistic,Full,17,0.8900286801661885,0.4900286801661885,0.9199405002200289,-0.022352444119225063,-0.03682911660241278,-0.014267482395745268,-0.10361773606177245,1.0,True,True
cnae9,Logistic,No-geometry,9,0.7214629467026211,0.3214629467026211,0.8063698840775521,-0.038228343302786884,-0.05316077271045244,-0.030558202931514566,-0.17721258423905753,1.0,True,True
cnae9,Logistic,No-rank,15,0.8845811369446515,0.48458113694465144,0.9177712802804574,-0.02742911099110022,-0.04488406063875977,-0.01793188100409243,-0.12715130246720502,1.0,True,True
cnae9,TinyMLP,Full,17,0.8889339644925469,0.4889339644925469,0.9204803726920228,-0.02624023544963951,-0.04052354430356003,-0.01832882585950124,-0.12164011132370857,1.0,True,True
cnae9,TinyMLP,No-geometry,9,0.7200587392813751,0.32005873928137507,0.7948142779644993,-0.07481357897974165,-0.08948670515118035,-0.06612253475456703,-0.34680832392248445,1.0,True,True
cnae9,TinyMLP,No-rank,15,0.8774668882424128,0.4774668882424128,0.9111293860120027,-0.015739624493222932,-0.030022933347143455,-0.007828214903084663,-0.07296312867403444,1.0,True,True
Campbell,Logistic,Full,17,0.9195573650914992,0.5195573650914992,0.95184147322269,-0.0490701341145131,-0.04973762990359473,-0.04800063710798044,-0.25631551315699136,1.0,True,True
Campbell,Logistic,No-geometry,9,0.7481080604644923,0.3481080604644923,0.8523969788771583,0.024502702428774132,-0.019671575760568327,0.11032950062664038,0.12798870147996572,1.0,True,True
Campbell,Logistic,No-rank,15,0.9156294904449285,0.5156294904449285,0.9487230184974507,-0.04807368590070563,-0.05043858560906331,-0.04513643550713789,-0.2511106132751121,1.0,True,True
Campbell,TinyMLP,Full,17,0.9252633950254358,0.5252633950254357,0.9538387911975023,-0.047685084600318485,-0.05026100162871033,-0.043980405556246716,-0.24908077285344615,1.0,True,True
Campbell,TinyMLP,No-geometry,9,0.7550025643922822,0.35500256439228217,0.8376424470539933,-0.04311724580435105,-0.043828477903042284,-0.042383489686439235,-0.22522088402015836,1.0,True,True
Campbell,TinyMLP,No-rank,15,0.9146216668876533,0.5146216668876533,0.945136380211303,-0.0456100657845811,-0.04817655786652733,-0.042115683975254586,-0.23824201069875223,1.0,True,True
sms_spam_collection,Logistic,Full,17,0.9496552205262483,0.5496552205262483,0.9716670457392245,-0.3002320620592062,-0.4576849299082087,0.01056170776578623,-0.8178302965230964,1.0,True,True
sms_spam_collection,Logistic,No-geometry,9,0.7817762524335921,0.38177625243359203,0.8564752515064014,-0.3032311545026449,-0.46068402235164735,0.007562615322347588,-0.8259998059535513,1.0,True,True
sms_spam_collection,Logistic,No-rank,15,0.9476948561161863,0.5476948561161863,0.9694845766913228,-0.3002320620592062,-0.4576849299082087,0.01056170776578623,-0.8178302965230964,1.0,True,True
sms_spam_collection,TinyMLP,Full,17,0.9404586890234636,0.5404586890234636,0.962093774310088,-0.3002320620592062,-0.4576849299082087,0.01056170776578623,-0.8178302965230964,1.0,True,True
sms_spam_collection,TinyMLP,No-geometry,9,0.7674094092419909,0.36740940924199084,0.8372905624118243,-0.31044642332565825,-0.4678992911746608,0.0003473464993341835,-0.845654153995351,1.0,True,True
sms_spam_collection,TinyMLP,No-rank,15,0.9253259255606029,0.5253259255606029,0.949359194322482,-0.3002320620592062,-0.4576849299082087,0.01056170776578623,-0.8178302965230964,1.0,True,True
