row_type,dataset,dataset_type,method,source,parameterization,n_seeds,seed_protocol,status,ACC,NMI,ARI,rank_ACC,rank_NMI,rank_ARI
dataset,cnae9,text,IDC,external_extension,,1,single run; baseline CSV has no seed field,completed_point_estimate,0.1712962963,0.0719717827,0.0279969392,8,5,6
dataset,cnae9,text,TableDC,external_extension,,1,single run; baseline CSV has no seed field,completed_point_estimate,0.1851851852,0.0553572255,0.0246599439,7,6,7
dataset,cnae9,text,ZEUS,external_extension,,1,single run; baseline CSV has no seed field,completed_point_estimate,0.4064814815,0.3722792306,0.1158445699,5,2,3
dataset,cnae9,text,ToPoGate V0,topogate_frozen_eval,fixed,5,"5-seed mean (42,123,7,2025,3407)",completed,0.5966666667,0.5577390170,0.3649739283,3,1,1
dataset,Campbell,bioinfo,KMeans,official_clubench,,,CLUBench best_hpc archive; seed metadata unavailable,completed_point_estimate,0.5557500000,0.0099370000,0.0121900000,2,8,8
dataset,Campbell,bioinfo,DEC,official_clubench,,,CLUBench best_hpc archive; seed metadata unavailable,completed_point_estimate,0.6309000000,0.0652830000,0.0715620000,1,6,6
dataset,Campbell,bioinfo,EDESC,official_clubench,,,CLUBench best_hpc archive; seed metadata unavailable,completed_point_estimate,0.5539500000,0.0141250000,0.0184230000,3,7,7
dataset,Campbell,bioinfo,GCEALS,external_extension,,1,single run; baseline CSV has no seed field,completed_point_estimate,0.3997798459,0.3590500301,0.3138535632,6,2,1
dataset,Campbell,bioinfo,IDC,external_extension,,1,single run; baseline CSV has no seed field,completed_point_estimate,0.4566196337,0.1075703410,0.1479395953,4,5,5
dataset,Campbell,bioinfo,TableDC,external_extension,,1,single run; baseline CSV has no seed field,completed_point_estimate,0.4132893025,0.1408839934,0.1987689624,5,4,3
dataset,Campbell,bioinfo,ZEUS,external_extension,,1,single run; baseline CSV has no seed field,completed_point_estimate,0.3653557490,0.4084378157,0.2358399585,7,1,2
dataset,Campbell,bioinfo,ToPoGate V0,topogate_frozen_eval,fixed,5,"5-seed mean (42,123,7,2025,3407)",completed,0.2755528870,0.3499487598,0.1572131081,8,3,4
dataset,Mouse_retina,bioinfo,KMeans,official_clubench,,,CLUBench best_hpc archive; seed metadata unavailable,completed_point_estimate,0.4623040000,0.2796790000,0.3465270000,6,7,6
dataset,Mouse_retina,bioinfo,DEC,official_clubench,,,CLUBench best_hpc archive; seed metadata unavailable,completed_point_estimate,0.1842290000,0.0387860000,0.0614040000,8,8,8
dataset,Mouse_retina,bioinfo,EDESC,official_clubench,,,CLUBench best_hpc archive; seed metadata unavailable,completed_point_estimate,0.3860300000,0.3879230000,0.2689380000,7,5,7
dataset,Mouse_retina,bioinfo,GCEALS,external_extension,,1,single run; baseline CSV has no seed field,completed_point_estimate,0.9090038314,0.6558613554,0.7260684616,3,3,3
dataset,Mouse_retina,bioinfo,IDC,external_extension,,1,single run; baseline CSV has no seed field,completed_point_estimate,0.9075670498,0.6426768352,0.7170159215,4,4,4
dataset,Mouse_retina,bioinfo,TableDC,external_extension,,1,single run; baseline CSV has no seed field,completed_point_estimate,0.6884578544,0.3746064025,0.4237996072,5,6,5
dataset,Mouse_retina,bioinfo,ZEUS,external_extension,,1,single run; baseline CSV has no seed field,completed_point_estimate,0.9297174330,0.7356898645,0.7389976225,2,2,2
dataset,Mouse_retina,bioinfo,ToPoGate V0,topogate_frozen_eval,fixed,5,"5-seed mean (42,123,7,2025,3407)",completed,0.9877155172,0.9242822121,0.9561392224,1,1,1
macro_mean_10_datasets,__MACRO_MEAN__,mixed,KMeans,official_clubench,,,CLUBench best_hpc archive; seed metadata unavailable,summary,0.5884165000,0.3684817000,0.3308926000,6,5,5
macro_mean_10_datasets,__MACRO_MEAN__,mixed,DEC,official_clubench,,,CLUBench best_hpc archive; seed metadata unavailable,summary,0.5173472000,0.3026303000,0.2482839000,8,7,7
macro_mean_10_datasets,__MACRO_MEAN__,mixed,EDESC,official_clubench,,,CLUBench best_hpc archive; seed metadata unavailable,summary,0.6106318000,0.4203846000,0.3613018000,4,4,4
macro_mean_10_datasets,__MACRO_MEAN__,mixed,GCEALS,external_extension,,1,single run; baseline CSV has no seed field,summary,0.6761188171,0.5407597860,0.5051621338,2,2,2
macro_mean_10_datasets,__MACRO_MEAN__,mixed,IDC,external_extension,,1,single run; baseline CSV has no seed field,summary,0.5343773315,0.2919511284,0.2298450472,7,8,8
macro_mean_10_datasets,__MACRO_MEAN__,mixed,TableDC,external_extension,,1,single run; baseline CSV has no seed field,summary,0.5951778727,0.3382133534,0.3193864598,5,6,6
macro_mean_10_datasets,__MACRO_MEAN__,mixed,ZEUS,external_extension,,1,single run; baseline CSV has no seed field,summary,0.6201844833,0.4774379588,0.3726897837,3,3,3
macro_mean_10_datasets,__MACRO_MEAN__,mixed,ToPoGate V0,topogate_frozen_eval,,5,"5-seed mean (42,123,7,2025,3407)",summary,0.7353031066,0.6114098204,0.5632172527,1,1,1
