dataset,variant,seed,gpu,status,attempt,started_utc,finished_utc,returncode
Human_Pancreas_1,topology_full,2024,6,success,1,2026-07-11T11:42:30.697418+00:00,2026-07-11T11:42:56.679142+00:00,0
Human_Pancreas_1,topology_full,3407,4,success,1,2026-07-11T11:42:54.389019+00:00,2026-07-11T11:43:22.851247+00:00,0
Human_Pancreas_3,nomix,3407,6,success,1,2026-07-11T11:42:56.686296+00:00,2026-07-11T11:43:32.698080+00:00,0
Human_Pancreas_3,nomix,2024,3,success,1,2026-07-11T11:42:55.642202+00:00,2026-07-11T11:43:32.877732+00:00,0
Human_Pancreas_3,nomix,42,2,success,1,2026-07-11T11:42:55.549599+00:00,2026-07-11T11:43:33.030593+00:00,0
Human_Pancreas_3,clean_pair,42,4,success,1,2026-07-11T11:43:22.852777+00:00,2026-07-11T11:44:14.848073+00:00,0
Human_Pancreas_3,clean_pair,3407,3,success,1,2026-07-11T11:43:32.879277+00:00,2026-07-11T11:44:25.691913+00:00,0
Human_Pancreas_3,clean_pair,2024,6,success,1,2026-07-11T11:43:32.699404+00:00,2026-07-11T11:44:26.023320+00:00,0
Human_Pancreas_3,fixed,42,2,success,1,2026-07-11T11:43:33.032271+00:00,2026-07-11T11:44:48.028987+00:00,0
Human_Pancreas_3,fixed,2024,4,success,1,2026-07-11T11:44:14.849069+00:00,2026-07-11T11:45:31.694057+00:00,0
Human_Pancreas_3,fixed,3407,3,success,1,2026-07-11T11:44:25.693536+00:00,2026-07-11T11:45:36.145835+00:00,0
Human_Pancreas_3,adaptive_mix_only,42,6,success,1,2026-07-11T11:44:26.024978+00:00,2026-07-11T11:45:38.514066+00:00,0
Human_Pancreas_3,adaptive_mix_only,2024,2,success,1,2026-07-11T11:44:48.030595+00:00,2026-07-11T11:46:01.555861+00:00,0
Human_Pancreas_3,adaptive_mix_only,3407,4,success,1,2026-07-11T11:45:31.695603+00:00,2026-07-11T11:46:38.501522+00:00,0
Human_Pancreas_3,adaptive_weight_only,42,3,success,1,2026-07-11T11:45:36.147462+00:00,2026-07-11T11:46:46.570841+00:00,0
Human_Pancreas_3,adaptive_weight_only,2024,6,success,1,2026-07-11T11:45:38.515600+00:00,2026-07-11T11:46:52.090333+00:00,0
Human_Pancreas_3,adaptive_weight_only,3407,2,success,1,2026-07-11T11:46:01.557397+00:00,2026-07-11T11:47:13.081475+00:00,0
Human_Pancreas_3,gate_coupled,42,4,success,1,2026-07-11T11:46:38.502387+00:00,2026-07-11T11:47:47.350851+00:00,0
Human_Pancreas_3,gate_coupled,2024,3,success,1,2026-07-11T11:46:46.571950+00:00,2026-07-11T11:47:53.494719+00:00,0
Human_Pancreas_3,gate_coupled,3407,6,success,1,2026-07-11T11:46:52.091360+00:00,2026-07-11T11:48:00.380777+00:00,0
Mouse_Pancreas_1,nomix,42,6,success,1,2026-07-11T11:48:00.382605+00:00,2026-07-11T11:48:09.982785+00:00,0
Human_Pancreas_3,topology_full,42,2,success,1,2026-07-11T11:47:13.083204+00:00,2026-07-11T11:48:17.519296+00:00,0
Mouse_Pancreas_1,nomix,2024,6,success,1,2026-07-11T11:48:09.983676+00:00,2026-07-11T11:48:20.290877+00:00,0
Mouse_Pancreas_1,nomix,3407,2,success,1,2026-07-11T11:48:17.520963+00:00,2026-07-11T11:48:27.001913+00:00,0
Mouse_Pancreas_1,clean_pair,42,6,success,1,2026-07-11T11:48:20.292568+00:00,2026-07-11T11:48:33.738857+00:00,0
Mouse_Pancreas_1,clean_pair,2024,2,success,1,2026-07-11T11:48:27.003539+00:00,2026-07-11T11:48:40.641049+00:00,0
Mouse_Pancreas_1,clean_pair,3407,6,success,1,2026-07-11T11:48:33.740323+00:00,2026-07-11T11:48:48.599656+00:00,0
Human_Pancreas_3,topology_full,2024,4,success,1,2026-07-11T11:47:47.351789+00:00,2026-07-11T11:48:56.010569+00:00,0
Mouse_Pancreas_1,fixed,42,2,success,1,2026-07-11T11:48:40.642196+00:00,2026-07-11T11:49:00.014565+00:00,0
Human_Pancreas_3,topology_full,3407,3,success,1,2026-07-11T11:47:53.496337+00:00,2026-07-11T11:49:00.495115+00:00,0
Mouse_Pancreas_1,fixed,2024,6,success,1,2026-07-11T11:48:48.602210+00:00,2026-07-11T11:49:09.208597+00:00,0
Mouse_Pancreas_1,fixed,3407,4,success,1,2026-07-11T11:48:56.012297+00:00,2026-07-11T11:49:13.378117+00:00,0
Mouse_Pancreas_1,adaptive_mix_only,42,2,success,1,2026-07-11T11:49:00.016400+00:00,2026-07-11T11:49:20.373615+00:00,0
Mouse_Pancreas_1,adaptive_mix_only,2024,3,success,1,2026-07-11T11:49:00.496851+00:00,2026-07-11T11:49:23.231360+00:00,0
Mouse_Pancreas_1,adaptive_mix_only,3407,6,success,1,2026-07-11T11:49:09.209890+00:00,2026-07-11T11:49:31.189912+00:00,0
Mouse_Pancreas_1,adaptive_weight_only,42,4,success,1,2026-07-11T11:49:13.379279+00:00,2026-07-11T11:49:35.553910+00:00,0
Mouse_Pancreas_1,adaptive_weight_only,3407,3,success,1,2026-07-11T11:49:23.233198+00:00,2026-07-11T11:49:40.603365+00:00,0
Mouse_Pancreas_1,adaptive_weight_only,2024,2,success,1,2026-07-11T11:49:20.375573+00:00,2026-07-11T11:49:40.975157+00:00,0
Mouse_Pancreas_1,gate_coupled,42,6,success,1,2026-07-11T11:49:31.191814+00:00,2026-07-11T11:49:49.590261+00:00,0
Mouse_Pancreas_1,gate_coupled,2024,4,success,1,2026-07-11T11:49:35.558862+00:00,2026-07-11T11:49:54.347147+00:00,0
Mouse_Pancreas_1,gate_coupled,3407,3,success,1,2026-07-11T11:49:40.604418+00:00,2026-07-11T11:49:57.527562+00:00,0
Mouse_Pancreas_1,topology_full,42,2,success,1,2026-07-11T11:49:40.977122+00:00,2026-07-11T11:50:01.201172+00:00,0
Mouse_Pancreas_1,topology_full,2024,6,success,1,2026-07-11T11:49:49.592190+00:00,2026-07-11T11:50:10.753569+00:00,0
Mouse_Pancreas_1,topology_full,3407,4,success,1,2026-07-11T11:49:54.349121+00:00,2026-07-11T11:50:15.261480+00:00,0
PRJNA895163,nomix,42,3,success,1,2026-07-11T11:49:57.529446+00:00,2026-07-11T11:52:49.075437+00:00,0
PRJNA895163,nomix,2024,2,success,1,2026-07-11T11:50:01.203112+00:00,2026-07-11T11:53:02.428375+00:00,0
PRJNA895163,nomix,3407,6,success,1,2026-07-11T11:50:10.755482+00:00,2026-07-11T11:53:38.110049+00:00,0
PRJNA895163,clean_pair,42,4,success,1,2026-07-11T11:50:15.263520+00:00,2026-07-11T11:55:31.948041+00:00,0
PRJNA895163,clean_pair,2024,3,success,1,2026-07-11T11:52:49.077389+00:00,2026-07-11T11:57:46.789598+00:00,0
PRJNA895163,clean_pair,3407,2,success,1,2026-07-11T11:53:02.430403+00:00,2026-07-11T11:59:34.797862+00:00,0
PRJNA895163,fixed,42,6,success,1,2026-07-11T11:53:38.111749+00:00,2026-07-11T12:00:46.610441+00:00,0
PRJNA895163,fixed,2024,4,success,1,2026-07-11T11:55:31.950024+00:00,2026-07-11T12:02:36.471617+00:00,0
PRJNA895163,fixed,3407,3,success,1,2026-07-11T11:57:46.792055+00:00,2026-07-11T12:04:38.574120+00:00,0
PRJNA895163,adaptive_mix_only,42,2,success,1,2026-07-11T11:59:34.799938+00:00,2026-07-11T12:06:35.521588+00:00,0
PRJNA895163,adaptive_mix_only,2024,6,success,1,2026-07-11T12:00:46.612488+00:00,2026-07-11T12:07:30.171531+00:00,0
PRJNA895163,adaptive_mix_only,3407,4,success,1,2026-07-11T12:02:36.472655+00:00,2026-07-11T12:09:49.067119+00:00,0
PRJNA895163,adaptive_weight_only,42,3,success,1,2026-07-11T12:04:38.576242+00:00,2026-07-11T12:12:48.027726+00:00,0
PRJNA895163,adaptive_weight_only,2024,2,success,1,2026-07-11T12:06:35.523034+00:00,2026-07-11T12:14:40.815149+00:00,0
PRJNA895163,adaptive_weight_only,3407,6,success,1,2026-07-11T12:07:30.174037+00:00,2026-07-11T12:15:53.876435+00:00,0
PRJNA895163,gate_coupled,42,4,success,1,2026-07-11T12:09:49.069305+00:00,2026-07-11T12:18:57.825638+00:00,0
PRJNA895163,gate_coupled,2024,3,success,1,2026-07-11T12:12:48.029764+00:00,2026-07-11T12:20:21.930218+00:00,0
PRJNA895163,gate_coupled,3407,2,success,1,2026-07-11T12:14:40.817198+00:00,2026-07-11T12:22:18.158613+00:00,0
TabulaSapiens_Pancreas,nomix,42,2,success,1,2026-07-11T12:22:18.160915+00:00,2026-07-11T12:23:03.557404+00:00,0
