epoch,train_loss_before_step,exact_budget,effective_changed_coordinate_rate,support_change_rate,value_change_rate,total_absolute_change
1,1.0051489796675028,True,0.2693497814894636,0.2693497814894636,0.0,213180.7596897334
2,0.9976598892175375,True,0.2693497814894636,0.2693497814894636,0.0,212012.28013283014
3,0.992271087178782,True,0.2693497814894636,0.2693497814894636,0.0,212234.90319696814
4,0.9860157763364215,True,0.2693497814894636,0.2693497814894636,0.0,212893.8983977437
5,0.9778620109704262,True,0.2693497814894636,0.2693497814894636,0.0,211376.90775966644
6,0.9701065028307538,True,0.2693497814894636,0.2693497814894636,0.0,212304.5797233656
7,0.9639800971951978,True,0.2693497814894636,0.2693497814894636,0.0,213075.2284553796
8,0.9577413064309921,True,0.2693497814894636,0.2693497814894636,0.0,212603.94172965735
9,0.9515765804897323,True,0.2693497814894636,0.2693497814894636,0.0,212351.42239148915
10,0.9476417380731225,True,0.2693497814894636,0.2693497814894636,0.0,212026.1637738943
11,0.9431263534958791,True,0.2693497814894636,0.2693497814894636,0.0,213397.68514966965
12,0.9389072725142555,True,0.2693497814894636,0.2693497814894636,0.0,213561.35432882607
13,0.9344365092072907,True,0.2693497814894636,0.2693497814894636,0.0,212172.39702341706
14,0.9300495970751591,True,0.2693497814894636,0.2693497814894636,0.0,211937.64044015855
15,0.9272236024739642,True,0.2693497814894636,0.2693497814894636,0.0,213574.68017797172
16,0.9215224581659982,True,0.2693497814894636,0.2693497814894636,0.0,210280.9031773135
17,0.9198642962280361,True,0.2693497814894636,0.2693497814894636,0.0,211781.78122493625
18,0.9198795230452586,True,0.2693497814894636,0.2693497814894636,0.0,216433.79430883378
19,0.9158638087725731,True,0.2693497814894636,0.2693497814894636,0.0,212914.58130574226
20,0.9130538354888273,True,0.2693497814894636,0.2693497814894636,0.0,214039.62853642553
21,0.9109079559187323,True,0.2693497814894636,0.2693497814894636,0.0,212650.81135757267
22,0.9088062979709143,True,0.2693497814894636,0.2693497814894636,0.0,213773.72610203922
23,0.907378660993101,True,0.2693497814894636,0.2693497814894636,0.0,212798.8263085559
24,0.9020052849104578,True,0.2693497814894636,0.2693497814894636,0.0,212154.53515519202
25,0.901771808264356,True,0.2693497814894636,0.2693497814894636,0.0,212894.33951117843
26,0.8990850297884009,True,0.2693497814894636,0.2693497814894636,0.0,212167.7434907183
27,0.8983097992180864,True,0.2693497814894636,0.2693497814894636,0.0,211512.39344199002
28,0.8955825505585506,True,0.2693497814894636,0.2693497814894636,0.0,213053.49307922274
29,0.8945153449230268,True,0.2693497814894636,0.2693497814894636,0.0,212294.36831744015
30,0.8928351272111652,True,0.2693497814894636,0.2693497814894636,0.0,211868.5881535113
