acc,ari,dataset,f1_macro,nmi,seed,variant
0.5267983985535323,0.44933148184729643,Blood_BoneMarrow,0.4741418358856036,0.7291346436317068,42,adaptive_mix_only
0.5298979723621335,0.4400996241979912,Blood_BoneMarrow,0.48013867030649354,0.7331512277323529,2024,adaptive_mix_only
0.5163373369495028,0.4320274120120388,Blood_BoneMarrow,0.4766463544966968,0.733246384676304,3407,adaptive_mix_only
0.50187265917603,0.4266927091055408,Blood_BoneMarrow,0.4821525710955479,0.7297756453614793,42,adaptive_weight_only
0.5283481854578329,0.4389038287795312,Blood_BoneMarrow,0.4778019016025112,0.731581672861174,2024,adaptive_weight_only
0.47242670799431746,0.41170123636985717,Blood_BoneMarrow,0.42978263737159395,0.7152819627701347,3407,adaptive_weight_only
0.4886348960351285,0.409105360352983,Blood_BoneMarrow,0.4495011331037847,0.7190627536991846,42,clean_pair
0.4998062766369624,0.422599391507649,Blood_BoneMarrow,0.46288320887494755,0.7259110187188997,2024,clean_pair
0.48114425933100863,0.4054066400350225,Blood_BoneMarrow,0.46019706906909813,0.7146838653760025,3407,clean_pair
0.5405527573292006,0.44250928862145755,Blood_BoneMarrow,0.4790254027495141,0.7296167322204478,42,fixed
0.5107193594214129,0.4317513934424293,Blood_BoneMarrow,0.5008380620538241,0.7266492331185775,2024,fixed
0.588596151362521,0.49736630390404407,Blood_BoneMarrow,0.4826167539857911,0.7355564667441786,3407,fixed
0.5247965904688106,0.45545859435005215,Blood_BoneMarrow,0.4706423361162155,0.7384188496022502,42,gate_coupled
0.5298333979077877,0.4340032883908968,Blood_BoneMarrow,0.4856721199778902,0.7322722692555942,2024,gate_coupled
0.5136252098669766,0.42935267284101725,Blood_BoneMarrow,0.4605720895925463,0.7268824709947888,3407,gate_coupled
0.49147617202634636,0.43491977646552743,Blood_BoneMarrow,0.4426932223255971,0.7217032755946698,42,nomix
0.569998708510913,0.5208358961006639,Blood_BoneMarrow,0.4873580050829071,0.7449353257588102,2024,nomix
0.5010331912695337,0.4299050858368293,Blood_BoneMarrow,0.4601852961157454,0.7236246492369328,3407,nomix
0.5339015885315769,0.4439641101915412,Blood_BoneMarrow,0.4888063178320446,0.7403754377404695,42,topology_full
0.53525765207284,0.452840579882692,Blood_BoneMarrow,0.5054557932135361,0.7384335591509412,2024,topology_full
0.5356450987989152,0.44499974452188507,Blood_BoneMarrow,0.4751048049117214,0.7375568944349914,3407,topology_full
0.8711656441717791,0.8798845369811447,Human_Pancreas_1,0.7577839029234384,0.8581315534246986,42,adaptive_mix_only
0.8711656441717791,0.878156846420687,Human_Pancreas_1,0.7577419572635736,0.8554570304027995,2024,adaptive_mix_only
0.8711656441717791,0.8781000561299881,Human_Pancreas_1,0.757756304242283,0.8541438871064335,3407,adaptive_mix_only
0.8694127957931639,0.8766250072797966,Human_Pancreas_1,0.7564285072584819,0.8544143670393715,42,adaptive_weight_only
0.8698510078878177,0.8755397662386832,Human_Pancreas_1,0.7567448818629182,0.8513455243788667,2024,adaptive_weight_only
0.8707274320771253,0.8754106913328511,Human_Pancreas_1,0.7577000253886227,0.8510299638757512,3407,adaptive_weight_only
0.8672217353198949,0.8698216636747866,Human_Pancreas_1,0.7551207395325044,0.8481600699372313,42,clean_pair
0.8685363716038562,0.8715954256115038,Human_Pancreas_1,0.7559209136043608,0.8473448668804177,2024,clean_pair
0.8694127957931639,0.8733195270015608,Human_Pancreas_1,0.7566169009685854,0.8495020279300662,3407,clean_pair
0.8694127957931639,0.8764182812242977,Human_Pancreas_1,0.7564896526945398,0.8541088982173379,42,fixed
0.8698510078878177,0.8762255556074118,Human_Pancreas_1,0.7566356438170603,0.8522338971475312,2024,fixed
0.8707274320771253,0.8767831758908025,Human_Pancreas_1,0.7574819878498068,0.8527620158783226,3407,fixed
0.8711656441717791,0.8798845369811447,Human_Pancreas_1,0.7577839029234384,0.8581315534246987,42,gate_coupled
0.8711656441717791,0.8788461178941138,Human_Pancreas_1,0.7576300152004566,0.8562618432306175,2024,gate_coupled
0.8711656441717791,0.8781000561299881,Human_Pancreas_1,0.757756304242283,0.8541438871064336,3407,gate_coupled
0.8707274320771253,0.8790390920234822,Human_Pancreas_1,0.757473152437636,0.8552693080048507,42,nomix
0.8702892199824716,0.8758245990794451,Human_Pancreas_1,0.7575312400144506,0.8534137965963478,2024,nomix
0.8711656441717791,0.8771810920079324,Human_Pancreas_1,0.7577663074591433,0.8517211551129482,3407,nomix
0.8707274320771253,0.878920079629694,Human_Pancreas_1,0.757452548495455,0.856483324969117,42,topology_full
0.8711656441717791,0.878156846420687,Human_Pancreas_1,0.7577419572635736,0.8554570304027992,2024,topology_full
0.8711656441717791,0.8781000561299881,Human_Pancreas_1,0.757756304242283,0.8541438871064333,3407,topology_full
0.8742116327960757,0.8992295229088906,Human_Pancreas_3,0.7020626455075294,0.8615494855609447,42,adaptive_mix_only
0.7467881336136417,0.7734915700323559,Human_Pancreas_3,0.6822648992605619,0.8198618130862413,2024,adaptive_mix_only
0.86288250408783,0.9012991980801764,Human_Pancreas_3,0.6836026576102887,0.8588734931971278,3407,adaptive_mix_only
0.7425835085260453,0.7745424281957003,Human_Pancreas_3,0.6806059752050613,0.8213004637951604,42,adaptive_weight_only
0.7438682550805886,0.7757250374625184,Human_Pancreas_3,0.6821034021038125,0.8220946147860445,2024,adaptive_weight_only
0.7411819668301799,0.772640790233246,Human_Pancreas_3,0.6781968353591445,0.8183482678705921,3407,adaptive_weight_only
0.7457369773417426,0.7743426982023714,Human_Pancreas_3,0.6838659793864061,0.8214909395926832,42,clean_pair
0.791520672740014,0.7821837621741433,Human_Pancreas_3,0.6903155372256291,0.8289114695141881,2024,clean_pair
0.734524643774819,0.7692955435853682,Human_Pancreas_3,0.602918632169301,0.810691687204061,3407,clean_pair
0.7397804251343144,0.7757387804914989,Human_Pancreas_3,0.6795974284601307,0.823421349116574,42,fixed
0.7421163279607569,0.7630271093533098,Human_Pancreas_3,0.6734198525541761,0.8089868117314903,2024,fixed
0.7419995328194348,0.7725101339616299,Human_Pancreas_3,0.678231129364955,0.8174044076812192,3407,fixed
0.8634664797944406,0.9018073749806524,Human_Pancreas_3,0.6871673271131404,0.8623952530182528,42,gate_coupled
0.8738612473721094,0.8875814370939106,Human_Pancreas_3,0.7717678869126146,0.852767960242288,2024,gate_coupled
0.8697734174258351,0.8999647318299068,Human_Pancreas_3,0.6983801314007957,0.8590911375931831,3407,gate_coupled
0.7395468348516702,0.7757054071105983,Human_Pancreas_3,0.6815688451718434,0.8240053140951157,42,nomix
0.7474889044615743,0.7744595534234067,Human_Pancreas_3,0.6808238309762873,0.8206965881329064,2024,nomix
0.7446858210698435,0.7723855026573795,Human_Pancreas_3,0.6808255385822725,0.8188706275605001,3407,nomix
0.8718757299696333,0.9009081337749885,Human_Pancreas_3,0.7017606681352375,0.8632941632452696,42,topology_full
0.7438682550805886,0.7609633957368378,Human_Pancreas_3,0.6733372225027515,0.8067100452228411,2024,topology_full
0.8697734174258351,0.9007578618546503,Human_Pancreas_3,0.6983785552445684,0.8597038056921217,3407,topology_full
0.8756032171581769,0.8757664555802406,Mouse_Pancreas_1,0.8332437438400879,0.8559191779872303,42,adaptive_mix_only
0.7828418230563002,0.8185847762435771,Mouse_Pancreas_1,0.7144627809326135,0.8160351621770466,2024,adaptive_mix_only
0.7823056300268096,0.8125680332628321,Mouse_Pancreas_1,0.7134468403645643,0.8073758617068691,3407,adaptive_mix_only
0.8761394101876676,0.8783326588573732,Mouse_Pancreas_1,0.8323454977768885,0.8544272627161364,42,adaptive_weight_only
0.8815013404825738,0.8815195977946096,Mouse_Pancreas_1,0.8315963927460954,0.8529583189870392,2024,adaptive_weight_only
0.87828418230563,0.8683635121802398,Mouse_Pancreas_1,0.8303120305439811,0.8464316855658668,3407,adaptive_weight_only
0.8761394101876676,0.876259354629548,Mouse_Pancreas_1,0.8345911869041572,0.8556490447042489,42,clean_pair
0.8836461126005362,0.8856691663782016,Mouse_Pancreas_1,0.8348607224048887,0.86103564748448,2024,clean_pair
0.8804289544235925,0.8742539238019237,Mouse_Pancreas_1,0.8309145433971381,0.8489962004424378,3407,clean_pair
0.8756032171581769,0.877809377384987,Mouse_Pancreas_1,0.8319540878599285,0.8545153461983256,42,fixed
0.8831099195710456,0.8821184253271845,Mouse_Pancreas_1,0.835073177408123,0.8579599939112175,2024,fixed
0.8820375335120644,0.8750839835717009,Mouse_Pancreas_1,0.834384290294178,0.852681175046844,3407,fixed
0.7796246648793566,0.8149174126582489,Mouse_Pancreas_1,0.7155438171796702,0.8170744656595843,42,gate_coupled
0.7839142091152815,0.8182468011899492,Mouse_Pancreas_1,0.7162290265940908,0.8159722811121884,2024,gate_coupled
0.7796246648793566,0.8115675211363281,Mouse_Pancreas_1,0.7120413370006433,0.8062914048414404,3407,gate_coupled
0.8831099195710456,0.8777788000476731,Mouse_Pancreas_1,0.837355752158721,0.8568717467402686,42,nomix
0.8739946380697051,0.8696281816611279,Mouse_Pancreas_1,0.830651536360817,0.8463044331783961,2024,nomix
0.8723860589812332,0.8737209354031774,Mouse_Pancreas_1,0.8313915188248974,0.8524466219653352,3407,nomix
0.7801608579088471,0.8157683649734021,Mouse_Pancreas_1,0.7172999812937403,0.8200279115761595,42,topology_full
0.7833780160857908,0.8180184255683229,Mouse_Pancreas_1,0.7147869723950061,0.8148444893360031,2024,topology_full
