label,effect,n_datasets,mean_delta,sd_delta,ci95_low,ci95_high,wins,ties,losses,permutation_p,holm_p
F - CleanPair,fixed_minus_clean_pair,6,0.006368763079449613,0.019286324927116797,-0.003841085940564759,0.02236225222056909,3,0,3,0.71875,1.0
T - CleanPair,topology_full_minus_clean_pair,6,0.013975642258899551,0.05137261541396292,-0.025885934404167105,0.04982703863530132,4,0,2,0.53125,1.0
Adaptive mixing,adaptive_mixing_main,6,0.015513657994231246,0.05611096084363454,-0.022925264660883852,0.05936386221879972,3,0,3,0.5625,1.0
Adaptive weighting,adaptive_weighting_main,6,-0.003635607040808645,0.013269089826822223,-0.011740049549487928,0.007133331790190427,1,0,5,0.53125,1.0
Topology affinity,topology_affinity_increment,6,-0.0042711717739726636,0.019335409171785924,-0.02016559501460108,0.006546142670742476,3,0,3,0.8125,1.0
