dataset,adaptive_mixing_main,adaptive_weighting_main,interaction
Blood_BoneMarrow,-0.00144194776392792,-0.016162195698060322,0.03056174974588055
Human_Pancreas_1,0.0026616121605372856,-0.00019371273295898384,0.000846939781535827
Human_Pancreas_3,0.10486492587133156,0.021160914161345468,0.03456700693267334
Mouse_Pancreas_1,-0.051929425840819776,-0.01149725792562889,-0.018463837550158124
PRJNA895163,-0.017456200340136466,-0.00899178108430597,-0.016730433827996577
TabulaSapiens_Pancreas,0.05638298387840279,-0.006129608965243172,-0.017255195525349265
