variant,n_datasets,mean_acc,sd_acc,mean_nmi,sd_nmi,mean_ari,sd_ari,mean_f1_macro,sd_f1_macro
adaptive_mix_only,6,0.6982966907733897,0.16811951205852912,0.7296618065912098,0.17881669730084299,0.6235005972343487,0.2845007340426057,0.608454141613252,0.13982997017122728
adaptive_weight_only,6,0.6776756059122859,0.17858687482461436,0.7270699147453775,0.17805670321021033,0.6043513321993087,0.2822699804637849,0.6099187396884272,0.16729954457260118
clean_pair,6,0.6850583333318601,0.1766685753129525,0.7276752819754195,0.1729410281440178,0.6027453619570499,0.2819094831096187,0.6119631404278637,0.1607744924139437
fixed,6,0.6870012395966643,0.1704825031291023,0.7272908092190183,0.1787927774588469,0.6091141250364994,0.27868261887865936,0.6155935098403349,0.1619161547015587
gate_coupled,6,0.6928110186324575,0.17875740801093495,0.7254789916293042,0.18924116663987423,0.6209921759899221,0.29475895280150194,0.6049541135114519,0.14133681146387755
nomix,6,0.6849962360628142,0.17339601129971471,0.724822097252174,0.18523754571620557,0.6112765402114919,0.2770084044491782,0.612024832307793,0.1669636171985804
topology_full,6,0.6900426887088557,0.1654883651634089,0.7246527101930189,0.18514498273120555,0.6167210042159494,0.28276686980069965,0.5997418953684598,0.1362509919504667
