contrast,treatment,reference,dataset,metric,delta
fixed_minus_clean_pair,fixed,clean_pair,Mouse_Pancreas_1,nmi,-0.00017479249159324528
fixed_minus_clean_pair,fixed,clean_pair,PRJNA895163,nmi,-0.014624339685849197
fixed_minus_clean_pair,fixed,clean_pair,TabulaSapiens_Pancreas,nmi,0.0008319246380537049
fixed_minus_clean_pair,fixed,clean_pair,Blood_BoneMarrow,ari,0.04483853135742544
fixed_minus_clean_pair,fixed,clean_pair,Human_Pancreas_1,ari,0.004896798811553471
fixed_minus_clean_pair,fixed,clean_pair,Human_Pancreas_3,ari,-0.004848660051814835
fixed_minus_clean_pair,fixed,clean_pair,Mouse_Pancreas_1,ari,-0.000390219508600409
fixed_minus_clean_pair,fixed,clean_pair,PRJNA895163,ari,-0.00669866714974876
fixed_minus_clean_pair,fixed,clean_pair,TabulaSapiens_Pancreas,ari,0.0004147950178827742
fixed_minus_clean_pair,fixed,clean_pair,Blood_BoneMarrow,f1_macro,0.029966269247099664
fixed_minus_clean_pair,fixed,clean_pair,Human_Pancreas_1,f1_macro,0.000982910085318811
fixed_minus_clean_pair,fixed,clean_pair,Human_Pancreas_3,f1_macro,0.018049420532641802
fixed_minus_clean_pair,fixed,clean_pair,Mouse_Pancreas_1,f1_macro,0.00034836761868184407
fixed_minus_clean_pair,fixed,clean_pair,PRJNA895163,f1_macro,-0.021096614791683677
fixed_minus_clean_pair,fixed,clean_pair,TabulaSapiens_Pancreas,f1_macro,-0.006468136217231968
topology_full_minus_clean_pair,topology_full,clean_pair,Blood_BoneMarrow,acc,0.04507296913341091
topology_full_minus_clean_pair,topology_full,clean_pair,Human_Pancreas_1,acc,0.002629272567922891
topology_full_minus_clean_pair,topology_full,clean_pair,Human_Pancreas_3,acc,0.07124503620649392
topology_full_minus_clean_pair,topology_full,clean_pair,Mouse_Pancreas_1,acc,-0.0990169794459339
topology_full_minus_clean_pair,topology_full,clean_pair,PRJNA895163,acc,-0.029978827577080758
topology_full_minus_clean_pair,topology_full,clean_pair,TabulaSapiens_Pancreas,acc,0.03995466137716075
topology_full_minus_clean_pair,topology_full,clean_pair,Blood_BoneMarrow,nmi,0.018902751177438337
topology_full_minus_clean_pair,topology_full,clean_pair,Human_Pancreas_1,nmi,0.007025759243544649
topology_full_minus_clean_pair,topology_full,clean_pair,Human_Pancreas_3,nmi,0.022871305949766718
topology_full_minus_clean_pair,topology_full,clean_pair,Mouse_Pancreas_1,nmi,-0.04150569562585449
topology_full_minus_clean_pair,topology_full,clean_pair,PRJNA895163,nmi,-0.034581718129208516
topology_full_minus_clean_pair,topology_full,clean_pair,TabulaSapiens_Pancreas,nmi,0.009152166689910035
topology_full_minus_clean_pair,topology_full,clean_pair,Blood_BoneMarrow,ari,0.03489768090015455
topology_full_minus_clean_pair,topology_full,clean_pair,Human_Pancreas_1,ari,0.006813455297505877
topology_full_minus_clean_pair,topology_full,clean_pair,Human_Pancreas_3,ari,0.0789357958015312
topology_full_minus_clean_pair,topology_full,clean_pair,Mouse_Pancreas_1,ari,-0.0636093777105401
topology_full_minus_clean_pair,topology_full,clean_pair,PRJNA895163,ari,-0.021711634547456782
topology_full_minus_clean_pair,topology_full,clean_pair,TabulaSapiens_Pancreas,ari,0.04852793381220255
topology_full_minus_clean_pair,topology_full,clean_pair,Blood_BoneMarrow,f1_macro,0.03226183496982388
topology_full_minus_clean_pair,topology_full,clean_pair,Human_Pancreas_1,f1_macro,0.001764085298620377
topology_full_minus_clean_pair,topology_full,clean_pair,Human_Pancreas_3,f1_macro,0.03212543236707366
topology_full_minus_clean_pair,topology_full,clean_pair,Mouse_Pancreas_1,f1_macro,-0.11874605400559812
topology_full_minus_clean_pair,topology_full,clean_pair,PRJNA895163,f1_macro,-0.03364069696230676
topology_full_minus_clean_pair,topology_full,clean_pair,TabulaSapiens_Pancreas,f1_macro,0.01290792797596313
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Blood_BoneMarrow,acc,-0.022278186749321915
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Human_Pancreas_1,acc,0.0011685655857435195
adaptive_mix_at_fixed_weight,adaptive_mix_only,fixed,Human_Pancreas_3,acc,0.08666199486101378
