dataset,role,principle,seed_count,paired_seed_count,status,ARI_mean,NMI_mean,ACC_mean,L_rec_mean,effective_changed_coordinate_rate_mean,support_change_rate_mean,value_change_rate_mean,total_absolute_change_mean,delta_ARI_vs_P0
Mouse_retina,corruption_presence_case,P0_Random,3,3,completed_valid,0.4398339430776321,0.3767654716368735,0.6707774584929758,0.7780425349871317,0.26934978148946354,0.11182015826215945,0.15752962322730416,152650.08795194584,0.0
Mouse_retina,corruption_presence_case,P1_SupportPreserve,3,3,completed_valid,0.7588777483954315,0.49036645518561883,0.8293023627075352,0.7672599752744039,0.26934978148946354,0.0,0.26934978148946354,165309.48609616657,0.31904380531779947
Mouse_retina,corruption_presence_case,P2_SupportTarget,3,3,completed_valid,0.8347320871911764,0.6578970172602987,0.8935584291187739,0.8116379380226135,0.26934978148946354,0.26934978148946354,0.0,212575.26898762738,0.39489814411354435
Mouse_retina,corruption_presence_case,P3_FrequencyAware,3,3,completed_valid,0.8278681133636803,0.5484859950103682,0.8541666666666666,0.7472810943921407,0.26934978148946354,0.0,0.26934978148946354,97468.94834381872,0.3880341702860482
Mouse_retina,corruption_presence_case,P4_ResidualHard,3,3,completed_valid,0.8245611526432134,0.563087760442563,0.8681353767560664,0.766597052415212,0.26934978148946354,0.0,0.26934978148946354,139642.26075684046,0.3847272095655813
Mouse_retina,corruption_presence_case,P5_GeometryHard,3,3,completed_valid,0.5568103894721391,0.3788511877084521,0.7587803320561942,0.7716076572736105,0.26934978148946354,0.0,0.26934978148946354,221277.77791784712,0.11697644639450705
Baron Human,support_sensitive_case,P0_Random,3,3,completed_valid,0.2147003849094745,0.3168663017575814,0.43387370330927305,0.7857827742894491,0.07884791740622411,0.05033113684771034,0.028516780558513786,2538284.808990894,0.0
Baron Human,support_sensitive_case,P1_SupportPreserve,3,3,completed_valid,0.08841252333757116,0.14839961675278293,0.31416400425985086,0.7437691887219747,0.07884791740622411,0.0,0.07884791740622411,5018453.603988845,-0.12628786157190333
Baron Human,support_sensitive_case,P2_SupportTarget,3,3,completed_valid,0.34076920562674484,0.5366302466978464,0.581785193073798,0.8554767767588297,0.07884791740622411,0.07884791740622411,0.0,7236594.662906833,0.12606882071727035
Baron Human,support_sensitive_case,P3_FrequencyAware,3,3,completed_valid,0.10642275020919463,0.17572285467023074,0.3446140496193744,0.740144670009613,0.07884791740622411,0.0,0.07884791740622411,2094817.864469309,-0.10827763470027986
Baron Human,support_sensitive_case,P4_ResidualHard,3,3,completed_valid,0.11196550304048869,0.18643145244036208,0.3326628012464008,0.7433617115020752,0.07884791740622411,0.0,0.07884791740622411,3774607.88034726,-0.1027348818689858
Baron Human,support_sensitive_case,P5_GeometryHard,3,3,completed_valid,0.09828077146277736,0.16046847293863994,0.3192127164438133,0.7485515475273132,0.07884791740622411,0.0,0.07884791740622411,6187070.015882579,-0.11641961344669713
Campbell,difficulty_sensitive_case,P0_Random,3,3,completed_valid,0.023504483059118675,0.08713759898539741,0.19650421962040096,0.7717610398928324,0.09043517962573805,0.07184855787940447,0.018586621746333548,173937.88636926,0.0
Campbell,difficulty_sensitive_case,P1_SupportPreserve,3,3,completed_valid,0.05339295142332165,0.04834422894458052,0.18806497881850626,0.7539365887641907,0.09043517962573805,0.0,0.09043517962573805,262141.9940089007,0.029888468364202975
Campbell,difficulty_sensitive_case,P2_SupportTarget,3,3,completed_valid,0.17038700436055385,0.24035315936432566,0.3437072617498916,0.7811537782351176,0.09043517962573805,0.09043517962573805,0.0,403414.9677736074,0.14688252130143517
Campbell,difficulty_sensitive_case,P3_FrequencyAware,3,3,completed_valid,0.0696208703913524,0.07255652780871881,0.22112145168284467,0.7455230553944906,0.09043517962573805,0.0,0.09043517962573805,61318.23874955244,0.04611638733223372
Campbell,difficulty_sensitive_case,P4_ResidualHard,3,3,completed_valid,0.10612508871133365,0.08127411455165491,0.2201207511925014,0.7532026966412863,0.09043517962573805,0.0,0.09043517962573805,150221.8315329651,0.08262060565221498
Campbell,difficulty_sensitive_case,P5_GeometryHard,3,3,completed_valid,0.037891361741511496,0.053985943386749585,0.18092664865405783,0.7573228677113851,0.09043517962573805,0.0,0.09043517962573805,367325.9864128285,0.014386878682392822
