principle,dataset_count,delta_ARI_mean,delta_ARI_median,material_dataset_count
P0_Random,3,0.0,0.0,0
P1_SupportPreserve,3,0.07421480403669971,0.029888468364202975,1
P2_SupportTarget,3,0.22261649537741665,0.14688252130143517,3
P3_FrequencyAware,3,0.10862430763933402,0.04611638733223372,2
P4_ResidualHard,3,0.12153764444960351,0.08262060565221498,2
P5_GeometryHard,3,0.004981237210067581,0.014386878682392822,1
