variant,n_completed,ari_mean,ari_std,nmi_mean,nmi_std,acc_mean,acc_std,fmi_mean,fmi_std,selected_neighbor_count_mean,selected_neighbor_count_std,effective_neighbor_count_mean,effective_neighbor_count_std,topology_loss_mean,topology_loss_std,reconstruction_loss_mean,reconstruction_loss_std,mask_loss_mean,mask_loss_std
nomix,15,0.2720379851210312,0.31502908239934296,0.2960300114033109,0.268793007728637,0.6303651436438568,0.2261178792024288,0.5996800301079734,0.20404733669011274,0.0,0.0,0.0,0.0,0.0,0.0,0.2586009253958861,0.06810762234276369,0.6357774802744388,0.030073897770231707
topk2,15,0.11644232389103451,0.11337473495825548,0.14483864995090265,0.07113040717990748,0.5697611551348776,0.14321570236243777,0.5355610276212375,0.1213810805523992,2.0,0.0,2.0,0.0,0.05590385507150657,0.03098748779699112,0.2609026377244542,0.06865845609041395,0.6360653152532048,0.029626042669881263
