dataset,variant,topology_enabled,top_k_neighbors,seed,gpu,status,returncode,save_dir,summary_path,log_path,ari,nmi,acc,fmi,selected_neighbor_count,effective_neighbor_count,topology_loss,reconstruction_loss,mask_loss,source_sha256,runner_source_sha256,model_source_sha256,gate_source_sha256,n_clusters,k_source,labels_used_during_fit
enron,topk2,True,2,42,1,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/topk2/seed_42,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/topk2/seed_42/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/topk2/seed_42/run.log,0.06481273768469487,0.07824395892297059,0.6273627362736274,0.5998128600838829,2.0,2.0,0.07319293732522056,0.21291893883142618,0.6894325753673911,b948a134030457668937d969f8848d81aaff669a2a730475b2ea83addbab9347,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
enron,topk2,True,2,123,4,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/topk2/seed_123,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/topk2/seed_123/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/enron/topk2/seed_123/run.log,0.07322468222845666,0.09899951759175432,0.6353635363536354,0.6130893820512383,2.0,2.0,0.0731411163287703,0.21314900053199376,0.6895679983869195,b948a134030457668937d969f8848d81aaff669a2a730475b2ea83addbab9347,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
flame,nomix,False,2,7,5,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/nomix/seed_7,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/nomix/seed_7/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/nomix/seed_7/run.log,0.2813749721924322,0.2811779606371664,0.7666666666666667,0.653789952975942,0.0,0.0,0.0,0.3278429497033358,0.616341020166874,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
flame,nomix,False,2,42,1,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/nomix/seed_42,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/nomix/seed_42/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/nomix/seed_42/run.log,0.4997914953192624,0.4762295097749414,0.8541666666666666,0.7585425462553981,0.0,0.0,0.0,0.3259306335821748,0.6147616915404797,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
flame,nomix,False,2,123,4,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/nomix/seed_123,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/nomix/seed_123/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/nomix/seed_123/run.log,0.38806306528430246,0.4051389356253564,0.8125,0.7050943850504214,0.0,0.0,0.0,0.3266510829329491,0.6124393172562123,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
flame,topk2,True,2,7,5,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/topk2/seed_7,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/topk2/seed_7/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/topk2/seed_7/run.log,0.3474937358784878,0.3309767406113264,0.7958333333333333,0.6849585815612557,2.0,2.0,0.018147786427289248,0.3308061683550477,0.6149727925658226,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
flame,topk2,True,2,42,1,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/topk2/seed_42,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/topk2/seed_42/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/topk2/seed_42/run.log,0.22255611163383027,0.1836851105585236,0.7375,0.624511138531719,2.0,2.0,0.02250032126903534,0.3367207232862711,0.6203949593007565,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
flame,topk2,True,2,123,4,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/topk2/seed_123,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/topk2/seed_123/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/flame/topk2/seed_123/run.log,0.3473370060394059,0.2865870109418734,0.7958333333333333,0.6854279832513267,2.0,2.0,0.018248146353289484,0.33159637078642845,0.6154977172613144,045e1826ad81f23942c2c37f8855b7b56d1351d11376eba61a5211f2dbe3ab52,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
spect_heart,nomix,False,2,7,5,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/nomix/seed_7,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/nomix/seed_7/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/nomix/seed_7/run.log,0.00771676870195905,0.11773952357504712,0.5767790262172284,0.5930149299372721,0.0,0.0,0.0,0.2666310019791126,0.640166100859642,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
spect_heart,nomix,False,2,42,1,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/nomix/seed_42,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/nomix/seed_42/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/nomix/seed_42/run.log,-0.04979805046363079,0.10918455182972553,0.5093632958801498,0.5963455549941571,0.0,0.0,0.0,0.26393889873288573,0.6416919462382793,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
spect_heart,nomix,False,2,123,4,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/nomix/seed_123,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/nomix/seed_123/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/nomix/seed_123/run.log,-0.03720037959369704,0.11857021251868402,0.5280898876404494,0.5938236148064887,0.0,0.0,0.0,0.2700580910779536,0.643185042962432,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
spect_heart,topk2,True,2,7,5,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/topk2/seed_7,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/topk2/seed_7/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/topk2/seed_7/run.log,-0.010374320976625212,0.13646945910022446,0.5617977528089888,0.5933117383068819,2.0,2.0,0.08766206849832088,0.26346341976895926,0.6385493583977222,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
spect_heart,topk2,True,2,42,1,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/topk2/seed_42,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/topk2/seed_42/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/topk2/seed_42/run.log,-0.02593675105845617,0.1263548079758204,0.5430711610486891,0.5929489262212598,2.0,2.0,0.09578906334936618,0.2708589770831168,0.6448157351464033,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
spect_heart,topk2,True,2,123,4,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/topk2/seed_123,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/topk2/seed_123/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/spect_heart/topk2/seed_123/run.log,0.004383476535316674,0.11570917232360096,0.5730337078651685,0.5924799695039309,2.0,2.0,0.09136152490973473,0.2674675998277962,0.6435162384063006,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,2,benchmark_oracle_from_y,False
vehicle,nomix,False,2,7,5,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/nomix/seed_7,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/nomix/seed_7/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/nomix/seed_7/run.log,0.07665189108725838,0.1157506193123391,0.34988179669030733,0.3412123603889083,0.0,0.0,0.0,0.1599485143786296,0.6183201789855957,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,4,benchmark_oracle_from_y,False
vehicle,nomix,False,2,42,1,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/nomix/seed_42,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/nomix/seed_42/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/nomix/seed_42/run.log,0.07988672256864499,0.11784811087490654,0.34515366430260047,0.3433093092839857,0.0,0.0,0.0,0.16017509130761026,0.6185594324022532,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,4,benchmark_oracle_from_y,False
vehicle,nomix,False,2,123,4,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/nomix/seed_123,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/nomix/seed_123/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/nomix/seed_123/run.log,0.07748421308435856,0.11723422663976818,0.3557919621749409,0.3421869191875244,0.0,0.0,0.0,0.16026662492658944,0.6184537248685956,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,4,benchmark_oracle_from_y,False
vehicle,topk2,True,2,7,5,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/topk2/seed_7,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/topk2/seed_7/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/topk2/seed_7/run.log,0.07500907917721075,0.11445759976860957,0.3628841607565012,0.34117399978387114,2.0,2.0,0.07079073222121224,0.16088534542359412,0.6176830381155014,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,4,benchmark_oracle_from_y,False
vehicle,topk2,True,2,42,1,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/topk2/seed_42,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/topk2/seed_42/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/topk2/seed_42/run.log,0.07423764776331047,0.11438507148244054,0.35697399527186763,0.34049933568798735,2.0,2.0,0.07225771266967058,0.16359081191476435,0.6180260933935642,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,4,benchmark_oracle_from_y,False
vehicle,topk2,True,2,123,4,completed,0,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/topk2/seed_123,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/topk2/seed_123/summary.json,<local_data_root>/result/V13/v13_hard_gate_2026-08-04/vehicle/topk2/seed_123/run.log,0.07908411469152327,0.11726437181497085,0.3486997635933806,0.3426992308574269,2.0,2.0,0.06959333624690771,0.16113050915300847,0.6188637763261795,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,f182252a3b0df39755155d8104f546658d020bde1ccc6dea09bc66f5c4f5f15b,007a6098f6e4993075cddf695063bcc4d21e1ec40eb17b03af3e981404c08959,5ff779ce75fcb5b33c935cb771e9e4afe200ee223093b4453e47f442fb40e0a8,4,benchmark_oracle_from_y,False
