dataset,method,required_seeds,completed_seeds,n_seeds,status,ARI_mean,ARI_std,NMI_mean,NMI_std,ACC_mean,ACC_std,labels_used_during_fit,evaluation_protocol,failure_count,failure_types,source_root
sms_spam_collection,GCEALS,5,"42,123,7,2025,3407",5,completed,0.7359568133,0.1019325007,0.5830552594,0.0997390299,0.9544910180,0.0155458144,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
sms_spam_collection,KMeans,5,"42,123,7,2025,3407",5,completed,0.1187221506,0.1534882194,0.1135641991,0.1073811140,0.8699401198,0.0304342459,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
sms_spam_collection,GMM,5,"42,123,7,2025,3407",5,completed,0.3411103046,0.4121159620,0.3138269471,0.3016037303,0.8735329341,0.0953642400,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
sms_spam_collection,Spectral clustering,5,"42,123,7,2025,3407",5,completed,0.0923453896,0.0041609604,0.0354170063,0.0016360137,0.7037125749,0.0042846812,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
sms_spam_collection,Agglomerative,5,"42,123,7,2025,3407",5,completed,0.0637022563,0.0000000000,0.0563962494,0.0000000000,0.8718562874,0.0000000000,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
sms_spam_collection,EDESC,5,"42,123,7,2025,3407",5,completed,0.0704811585,0.0849975786,0.1012429544,0.0912746827,0.6165269461,0.0874882882,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
ISOLET,ZEUS,5,"42,123,7,2025,3407",5,completed,0.3517656583,0.0039222711,0.6475592901,0.0037883079,0.3978966269,0.0097526531,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
ISOLET,TableDC,5,"42,123,7,2025,3407",5,completed,0.3078704284,0.0673290263,0.5683197894,0.0569064820,0.4435039118,0.0587983393,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
ISOLET,IDC,5,"42,123,7,2025,3407",5,completed,0.0850177950,0.0218670251,0.4326678373,0.0347963520,0.1844042580,0.0231216500,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
ISOLET,GCEALS,5,"42,123,7,2025,3407",5,completed,0.4727606612,0.0336191421,0.7230966330,0.0142754614,0.5530075670,0.0433607625,false,oracle-K downstream clustering; labels read after fit_predict,0,,result-volume/result/baseline_5seed_20260905
