dataset,parameterization,candidate,constraint_met,eval_mask_loss,latent_view_cosine_mean,input_neighbor_overlap,latent_mean_feature_std
iris.npz,fixed,F_anchor,True,0.5289381146430969,0.6261934041976929,0.9033333333333334,0.2900468707084656
iris.npz,fixed,F_conservative,True,0.5266088247299194,0.6361377835273743,0.9033333333333334,0.289465069770813
iris.npz,fixed,F_wider_graph,True,0.529007077217102,0.6263073682785034,0.9033333333333334,0.2900165915489197
iris.npz,fixed,F_stronger_mix,True,0.5311382412910461,0.6193163394927979,0.9033333333333334,0.291633665561676
iris.npz,fixed,F_tau_0p3,True,0.528931736946106,0.6262058019638062,0.9033333333333334,0.2900330424308777
iris.npz,topology,T_anchor,True,0.52888023853302,0.6256482601165771,0.9033333333333334,0.29106733202934265
iris.npz,topology,T_conservative,True,0.5265955328941345,0.6356016993522644,0.9033333333333334,0.28968167304992676
iris.npz,topology,T_wider_graph,True,0.528884768486023,0.6257321834564209,0.9033333333333334,0.2909609079360962
iris.npz,topology,T_stronger_mix,True,0.5310123562812805,0.6185980439186096,0.9033333333333334,0.29281795024871826
iris.npz,topology,T_simpler_reliability,True,0.5288714170455933,0.6256228089332581,0.9033333333333334,0.2910677492618561
wine.npz,fixed,F_anchor,True,0.5612261295318604,0.7118207216262817,0.8833333333333333,0.38811326026916504
wine.npz,fixed,F_conservative,True,0.5618894100189209,0.712417483329773,0.8777777777777777,0.3888552486896515
wine.npz,fixed,F_wider_graph,True,0.5612159371376038,0.711794376373291,0.8833333333333333,0.38811057806015015
wine.npz,fixed,F_stronger_mix,True,0.5609954595565796,0.7117841243743896,0.8861111111111111,0.38655757904052734
wine.npz,fixed,F_tau_0p3,True,0.561226487159729,0.711859405040741,0.8833333333333333,0.3880837857723236
wine.npz,topology,T_anchor,True,0.5610716342926025,0.7112863063812256,0.8805555555555554,0.38927844166755676
wine.npz,topology,T_conservative,True,0.5617910027503967,0.7120946645736694,0.8777777777777777,0.3893511891365051
wine.npz,topology,T_wider_graph,True,0.5609907507896423,0.7110993266105652,0.8805555555555554,0.3895270824432373
wine.npz,topology,T_stronger_mix,True,0.5607593059539795,0.7108295559883118,0.8861111111111111,0.3886621594429016
wine.npz,topology,T_simpler_reliability,True,0.5610665678977966,0.711249589920044,0.8805555555555554,0.38931387662887573
letter_recognition.npz,fixed,F_anchor,True,0.5200728848576546,0.6022266149520874,0.721071071071071,0.4132857918739319
letter_recognition.npz,fixed,F_conservative,True,0.5206484198570251,0.61542147397995,0.7193193193193195,0.4099380373954773
letter_recognition.npz,fixed,F_wider_graph,True,0.5202435329556465,0.6013444066047668,0.7209209209209209,0.4120510518550873
letter_recognition.npz,fixed,F_stronger_mix,True,0.5199691951274872,0.5943512320518494,0.7225225225225226,0.4151502847671509
letter_recognition.npz,fixed,F_tau_0p3,True,0.520066574215889,0.6021177768707275,0.720870870870871,0.41328662633895874
letter_recognition.npz,topology,T_anchor,True,0.520192913711071,0.6008239388465881,0.7194694694694694,0.41273006796836853
letter_recognition.npz,topology,T_conservative,True,0.5207015872001648,0.6149587035179138,0.7193193193193194,0.409758597612381
letter_recognition.npz,topology,T_wider_graph,True,0.520256944000721,0.6003451943397522,0.7202702702702702,0.41278350353240967
letter_recognition.npz,topology,T_stronger_mix,True,0.5201785713434219,0.5933332443237305,0.7203203203203202,0.41463202238082886
