epoch,loss,L_cut,L_orth,L_var,variance_min
1.0,85635216.0,0.13447991013526917,85635216.0,0.0,33.25550842285156
2.0,56895960.0,0.13681799173355103,56895960.0,0.0,33.17578125
3.0,38101472.0,0.13941460847854614,38101472.0,0.0,35.09463882446289
4.0,25997092.0,0.14223358035087585,25997092.0,0.0,37.30506896972656
5.0,18216524.0,0.14518937468528748,18216524.0,0.0,38.861209869384766
6.0,13165215.0,0.14821206033229828,13165215.0,0.0,35.920406341552734
7.0,9820735.0,0.15124832093715668,9820735.0,0.0,33.71044921875
8.0,7547194.0,0.15425236523151398,7547194.0,0.0,32.36415100097656
9.0,5954374.0,0.1571982204914093,5954374.0,0.0,31.658897399902344
10.0,4803615.0,0.16006220877170563,4803615.0,0.0,31.417320251464844
11.0,3947783.75,0.16283315420150757,3947783.5,0.0,31.500099182128906
12.0,3294868.75,0.16551032662391663,3294868.5,0.0,31.78755760192871
13.0,2785805.25,0.16809195280075073,2785805.0,0.0,32.19705581665039
14.0,2381704.75,0.17058727145195007,2381704.5,0.0,31.206865310668945
15.0,2056238.375,0.17300832271575928,2056238.25,0.0,29.923721313476562
16.0,1790729.875,0.1753578782081604,1790729.75,0.0,28.755178451538086
17.0,1571714.75,0.1776430606842041,1571714.625,0.0,27.708740234375
18.0,1389300.0,0.17986784875392914,1389299.875,0.0,26.7939395904541
19.0,1235978.125,0.18205566704273224,1235978.0,0.0,26.00889015197754
20.0,1105988.25,0.18420468270778656,1105988.125,0.0,25.34377098083496
21.0,994929.125,0.1863166093826294,994928.9375,0.0,24.795446395874023
22.0,899248.75,0.18841268122196198,899248.5625,0.0,24.348148345947266
23.0,815968.5625,0.1904957890510559,815968.375,0.0,23.983171463012695
24.0,742831.4375,0.19257040321826935,742831.25,0.0,23.687490463256836
25.0,678102.875,0.19465559720993042,678102.6875,0.0,23.449657440185547
26.0,620389.5625,0.1967560201883316,620389.375,0.0,22.82464599609375
27.0,568647.9375,0.19886890053749084,568647.75,0.0,22.160764694213867
28.0,522063.0,0.20098981261253357,522062.8125,0.0,21.57196044921875
29.0,479982.875,0.20312316715717316,479982.6875,0.0,21.047290802001953
30.0,441878.3125,0.20526351034641266,441878.09375,0.0,20.576372146606445
31.0,407345.84375,0.20741289854049683,407345.625,0.0,20.152231216430664
32.0,376021.96875,0.20956672728061676,376021.75,0.0,19.76563262939453
33.0,347599.09375,0.21172034740447998,347598.875,0.0,19.411975860595703
34.0,321805.09375,0.21386520564556122,321804.875,0.0,19.085477828979492
35.0,298401.21875,0.21599812805652618,298401.0,0.0,18.781049728393555
36.0,277170.125,0.2181147187948227,277169.90625,0.0,18.496662139892578
37.0,257912.71875,0.22021012008190155,257912.5,0.0,18.229764938354492
38.0,240443.75,0.22227802872657776,240443.53125,0.0,17.977888107299805
39.0,224591.03125,0.2243119478225708,224590.8125,0.0,17.738189697265625
40.0,210199.109375,0.22631123661994934,210198.890625,0.0,17.50995635986328
41.0,197124.890625,0.22827421128749847,197124.65625,0.0,17.292516708374023
42.0,185238.46875,0.23019817471504211,185238.234375,0.0,17.084800720214844
43.0,174420.265625,0.23208291828632355,174420.03125,0.0,16.88623046875
44.0,164558.578125,0.2339230477809906,164558.34375,0.0,16.694377899169922
45.0,155557.671875,0.23572011291980743,155557.4375,0.0,16.50914764404297
46.0,147329.921875,0.23747518658638,147329.6875,0.0,16.33074951171875
47.0,139795.953125,0.23918811976909637,139795.71875,0.0,16.158241271972656
48.0,132884.5,0.24085886776447296,132884.265625,0.0,15.992018699645996
49.0,126532.0703125,0.24248814582824707,126531.828125,0.0,15.83216667175293
50.0,120681.1796875,0.24407759308815002,120680.9375,0.0,15.677898406982422
51.0,115281.2265625,0.2456270009279251,115280.984375,0.0,15.529256820678711
52.0,110287.5,0.24713654816150665,110287.25,0.0,15.385615348815918
53.0,105660.265625,0.24860726296901703,105660.015625,0.0,15.247274398803711
54.0,101363.421875,0.2500396966934204,101363.171875,0.0,15.113706588745117
55.0,97366.1796875,0.2514362931251526,97365.9296875,0.0,14.985222816467285
56.0,93640.34375,0.2527957260608673,93640.09375,0.0,14.861286163330078
57.0,90161.7421875,0.2541208863258362,90161.484375,0.0,14.741803169250488
58.0,86908.3828125,0.2554128170013428,86908.125,0.0,14.626815795898438
59.0,83860.1171875,0.25667262077331543,83859.859375,0.0,14.51616096496582
60.0,80999.1484375,0.25790223479270935,80998.890625,0.0,14.409523963928223
61.0,78309.3515625,0.2591022551059723,78309.09375,0.0,14.306665420532227
62.0,75776.2265625,0.2602746784687042,75775.96875,0.0,14.207084655761719
63.0,73387.3046875,0.26142051815986633,73387.046875,0.0,14.110823631286621
64.0,71131.0,0.2625404894351959,71130.734375,0.0,14.017698287963867
65.0,68996.4921875,0.2636348307132721,68996.2265625,0.0,13.927467346191406
66.0,66973.9375,0.2647045850753784,66973.671875,0.0,13.840100288391113
67.0,65054.9921875,0.2657519280910492,65054.7265625,0.0,13.755267143249512
68.0,63232.0859375,0.26677754521369934,63231.8203125,0.0,13.672601699829102
69.0,61498.23828125,0.2677828073501587,61497.96875,0.0,13.592119216918945
70.0,59846.5390625,0.26876774430274963,59846.26953125,0.0,13.513810157775879
71.0,58271.80859375,0.26973336935043335,58271.5390625,0.0,13.437540054321289
72.0,56768.63671875,0.27068108320236206,56768.3671875,0.0,13.363168716430664
73.0,55332.28125,0.2716120481491089,55332.0078125,0.0,13.290556907653809
74.0,53958.62890625,0.2725265622138977,53958.35546875,0.0,13.219423294067383
75.0,52643.71875,0.27342572808265686,52643.4453125,0.0,13.149928092956543
76.0,51383.83203125,0.27430999279022217,51383.55859375,0.0,13.04555892944336
77.0,50175.35546875,0.27518025040626526,50175.08203125,0.0,12.911731719970703
78.0,49015.4453125,0.27603620290756226,49015.16796875,0.0,12.781501770019531
79.0,47901.1328125,0.27687868475914,47900.85546875,0.0,12.654786109924316
80.0,46830.08203125,0.2777089476585388,46829.8046875,0.0,12.531498908996582
