dataset_id,ARI_mean,ARI_std,NMI_mean,NMI_std,ACC_mean,ACC_std,n,status,source,selected
ISOLET,0.5392470935430648,0.01797487155649315,0.7505897767035582,0.013059198172826195,0.6104399127869693,0.015496142731961626,5,completed,v0_t_plus_ablation_20260906\ablation_summary.csv,True
ISOLET,0.5392470935430648,0.01797487155649315,0.7505897767035582,0.013059198172826195,0.6104399127869693,0.015496142731961626,5,completed,_t_full_comparison.json::plus,False
ISOLET,0.5392470935430648,0.017974871556493147,0.7505897767035581,0.013059198172826195,0.6104399127869693,0.015496142731961626,5,completed,v0_t_frozen_ablation_20260906\frozen_ablation_summary.csv,False
ISOLET,0.5392470935430648,0.017974871556493147,0.7505897767035581,0.013059198172826195,0.6104399127869693,0.015496142731961626,5,completed,_t_full_comparison.json::frozen,False
ISOLET,0.5270640270302301,0.03315353896234099,0.744444441149161,0.019336941376059257,0.5993074259330511,0.021484899352630225,5,completed,v0_t_ablation_eswa_20260906\ablation_summary.csv,False
ISOLET,0.5270640270302301,0.03315353896234099,0.744444441149161,0.019336941376059257,0.5993074259330511,0.021484899352630225,5,completed,_t_full_comparison.json::eswa,False
ISOLET,0.5211,0.0121,0.7436,0.0077,0.5966,0.0195,,,_t_full_comparison.json::mine_v0t_ablation_20260905,False
Mouse_retina,0.9675539289124593,0.004299573305739216,0.938309561329371,0.004759797207070778,0.9908285440613028,0.001216913404911129,5,completed,v0_t_ablation_eswa_20260906\ablation_summary.csv,True
Mouse_retina,0.9675539289124593,0.004299573305739216,0.938309561329371,0.004759797207070778,0.9908285440613028,0.001216913404911129,5,completed,v0_t_plus_ablation_20260906\ablation_summary.csv,False
Mouse_retina,0.9675539289124593,0.004299573305739216,0.938309561329371,0.004759797207070778,0.9908285440613028,0.001216913404911129,5,completed,_t_full_comparison.json::eswa,False
Mouse_retina,0.9675539289124593,0.004299573305739216,0.938309561329371,0.004759797207070778,0.9908285440613028,0.001216913404911129,5,completed,_t_full_comparison.json::plus,False
Mouse_retina,0.9675539289124593,0.004299573305739216,0.9383095613293708,0.004759797207070778,0.9908285440613026,0.001216913404911129,5,completed,v0_t_frozen_ablation_20260906\frozen_ablation_summary.csv,False
