ACC_mean,ACC_std,ARI_mean,ARI_std,NMI_mean,NMI_std,dataset_id,n_completed,n_requested,status,training_enabled,variant,weights_frozen
0.6104399127869693,0.015496142731961626,0.5392470935430648,0.017974871556493147,0.7505897767035581,0.013059198172826195,ISOLET,5,5,completed,False,T_full,True
0.5345645761190202,0.030810847679862138,0.4441927312338076,0.028996805044851064,0.6754702760303495,0.00938924826548002,ISOLET,5,5,completed,False,F_matched_total_mix,True
0.5392586892394512,0.02600951688088693,0.45174226497728276,0.023084024154480312,0.6755487083143383,0.017010979418789356,ISOLET,5,5,completed,False,T_shuffled_gate,True
0.5572143131973836,0.020883354636675983,0.46303155221414716,0.020218553754974184,0.6857830451687986,0.01374790028862518,ISOLET,5,5,completed,False,T_fixed_mean_gate,True
0.5649352314992946,0.02462475551473782,0.4667391350068962,0.023191128851701933,0.6862906373118698,0.019595926211177585,ISOLET,5,5,completed,False,T_random_neighbor,True
0.5761446710273181,0.015972289160962376,0.4904120286625857,0.010457806490296059,0.6961694777707317,0.009830794199614058,ISOLET,5,5,completed,False,T_no_vicinal,True
0.5542388097986406,0.018390454821868213,0.46461652070178233,0.02354416032862158,0.6850798866420595,0.014145863322902227,ISOLET,5,5,completed,False,T_uniform_pseudo_loss,True
0.5473900218032577,0.026645615793660024,0.4568371281414819,0.017179374442100333,0.6813941926838096,0.011756333674725311,ISOLET,5,5,completed,False,T_edge_none,True
0.5580607926125432,0.022281125251386175,0.469338354044287,0.018360420895558425,0.690384493748417,0.01176280585702826,ISOLET,5,5,completed,False,T_edge_sim,True
0.5490060279594716,0.02770127037995858,0.4591045970170047,0.027295124149705762,0.6790981562550911,0.017441939994137606,ISOLET,5,5,completed,False,T_edge_sim_mutual,True
0.5542388097986405,0.018390454821868213,0.46461652070178233,0.02354416032862158,0.6850798866420593,0.014145863322902227,ISOLET,5,5,completed,False,T_edge_sim_mutual_snn,True
0.5595228934205464,0.019122090060072268,0.46677559852098705,0.022020282581509048,0.6860740933013361,0.01615412244763434,ISOLET,5,5,completed,False,T_edge_sim_mutual_snn_distance,True
0.548108246761575,0.020722840620122626,0.4505189086526912,0.020192762304893974,0.6781849827831424,0.01561445614987957,ISOLET,5,5,completed,False,T_beta_no_mutual,True
0.5584968577658074,0.02308412773771255,0.46643317227745146,0.026230038657843305,0.6861612612377019,0.018036333058759974,ISOLET,5,5,completed,False,T_beta_no_snn,True
0.5559574195203283,0.02164071165006073,0.46414594793344455,0.019036083268918765,0.6859305379960605,0.009851230236751211,ISOLET,5,5,completed,False,T_beta_no_perturb,True
0.9908285440613026,0.001216913404911129,0.9675539289124593,0.004299573305739216,0.9383095613293708,0.004759797207070778,Mouse_retina,5,5,completed,False,T_full,True
0.8422413793103448,0.0012800667874429345,0.5439010212153328,0.0024984581143352633,0.535419270988208,0.0028312245408513414,Mouse_retina,5,5,completed,False,F_matched_total_mix,True
0.8421934865900382,0.0012062644683674567,0.5438374577518601,0.0024850967976910283,0.5352000103696112,0.0025417039046149587,Mouse_retina,5,5,completed,False,T_shuffled_gate,True
0.8422653256704982,0.0013241059675238743,0.5439553647719424,0.0026420404419720224,0.5354560736390196,0.002824046060399168,Mouse_retina,5,5,completed,False,T_fixed_mean_gate,True
0.8423611111111111,0.001489686878831052,0.5443098657225016,0.003031313400234775,0.5351633588393858,0.003220968987789416,Mouse_retina,5,5,completed,False,T_random_neighbor,True
0.8429837164750958,0.001959362539686463,0.5450850851266585,0.0043300354150977065,0.5371630398502715,0.003077078013169722,Mouse_retina,5,5,completed,False,T_no_vicinal,True
0.8423132183908045,0.0012327143368039853,0.5440160957468365,0.0024959272399649873,0.5356212900067723,0.0027934372540184484,Mouse_retina,5,5,completed,False,T_uniform_pseudo_loss,True
0.8422413793103448,0.0012139647371299455,0.5438999452649098,0.0023547221718600445,0.5354103915938753,0.0027761889306073062,Mouse_retina,5,5,completed,False,T_edge_none,True
0.8422413793103448,0.0012139647371299455,0.5438999452649098,0.002354722171860045,0.5354103915938754,0.0027761889306073062,Mouse_retina,5,5,completed,False,T_edge_sim,True
0.8425287356321839,0.0014024473624852723,0.5445516142473641,0.0028103177410678127,0.5358508901217482,0.003194664226853346,Mouse_retina,5,5,completed,False,T_edge_sim_mutual,True
0.8423132183908045,0.0012327143368039853,0.5440160957468365,0.0024959272399649873,0.5356212900067723,0.0027934372540184484,Mouse_retina,5,5,completed,False,T_edge_sim_mutual_snn,True
0.8425287356321839,0.0013477142543347758,0.5445516594149337,0.002697535273365857,0.5358536160809277,0.0030799763625857447,Mouse_retina,5,5,completed,False,T_edge_sim_mutual_snn_distance,True
0.8422653256704979,0.0012402503987144315,0.5439545585460219,0.002460737884451946,0.5354519141395728,0.0027279223020160986,Mouse_retina,5,5,completed,False,T_beta_no_mutual,True
0.8423132183908046,0.0013251881957123206,0.5440484293792464,0.0026940778419022563,0.5353322204931098,0.002919607968637032,Mouse_retina,5,5,completed,False,T_beta_no_snn,True
0.8425047892720305,0.00138496108629513,0.5444978153816803,0.002749736294334228,0.5358191124499714,0.003149422905397739,Mouse_retina,5,5,completed,False,T_beta_no_perturb,True
0.9375415282392027,0.001485759453488242,0.95881419244786,0.0021418146609968507,0.955980409246467,0.004161129560427152,Pollen,5,5,completed,False,T_full,True
0.9435215946843855,0.006215377718893572,0.9633008073807933,0.0023499291938470545,0.9611062604494407,0.005088284576758833,Pollen,5,5,completed,False,F_matched_total_mix,True
