ACC,ARI,NMI,backward_called,dataset_id,frozen_readout_input,seed,status,training_enabled,variant,weights_frozen
0.9501661129568106,0.9655804202413271,0.9631113832273877,False,Pollen,operator_pseudo_masked,7,completed,False,T_edge_sim,True
0.9368770764119602,0.9613600171259656,0.9587911032705408,False,Pollen,operator_pseudo_masked,3407,completed,False,T_edge_sim,True
0.9368770764119602,0.9604903073906816,0.9539501111915285,False,Pollen,operator_pseudo_masked,42,completed,False,T_edge_sim_mutual,True
0.9501661129568106,0.9658144420330902,0.9658025181325437,False,Pollen,operator_pseudo_masked,7,completed,False,T_edge_sim_mutual,True
0.946843853820598,0.967666408231938,0.9705657270599573,False,Pollen,operator_pseudo_masked,3407,completed,False,T_edge_sim_mutual,True
0.9501661129568106,0.9652724603866222,0.9582925446182817,False,Pollen,operator_pseudo_masked,123,completed,False,T_edge_sim_mutual,True
0.9435215946843853,0.9645767127761611,0.9652421769346767,False,Pollen,operator_pseudo_masked,2025,completed,False,T_edge_sim_mutual,True
0.9501661129568106,0.9652724603866222,0.9582925446182817,False,Pollen,operator_pseudo_masked,123,completed,False,T_edge_sim_mutual_snn,True
0.9435215946843853,0.9638468493343905,0.9657383116723257,False,Pollen,operator_pseudo_masked,2025,completed,False,T_edge_sim_mutual_snn,True
0.9368770764119602,0.9604903073906816,0.9539501111915285,False,Pollen,operator_pseudo_masked,42,completed,False,T_edge_sim_mutual_snn,True
0.9501661129568106,0.9658144420330902,0.9658025181325437,False,Pollen,operator_pseudo_masked,7,completed,False,T_edge_sim_mutual_snn,True
0.9368770764119602,0.9609179854671521,0.9586012919947715,False,Pollen,operator_pseudo_masked,3407,completed,False,T_edge_sim_mutual_snn,True
0.9368770764119602,0.9604903073906816,0.9539501111915285,False,Pollen,operator_pseudo_masked,42,completed,False,T_edge_sim_mutual_snn_distance,True
0.9501661129568106,0.9658144420330902,0.9658025181325437,False,Pollen,operator_pseudo_masked,7,completed,False,T_edge_sim_mutual_snn_distance,True
0.9368770764119602,0.9609179854671521,0.9586012919947715,False,Pollen,operator_pseudo_masked,3407,completed,False,T_edge_sim_mutual_snn_distance,True
0.9501661129568106,0.9652724603866222,0.9582925446182817,False,Pollen,operator_pseudo_masked,123,completed,False,T_edge_sim_mutual_snn_distance,True
0.9435215946843853,0.9638468493343905,0.9657383116723257,False,Pollen,operator_pseudo_masked,2025,completed,False,T_edge_sim_mutual_snn_distance,True
0.9368770764119602,0.9607319775677853,0.9570489645944903,False,Pollen,operator_pseudo_masked,42,completed,False,T_beta_no_mutual,True
0.9435215946843853,0.957765149770238,0.9464822133494717,False,Pollen,operator_pseudo_masked,123,completed,False,T_beta_no_mutual,True
0.9435215946843853,0.9638468493343905,0.9657383116723257,False,Pollen,operator_pseudo_masked,2025,completed,False,T_beta_no_mutual,True
0.9501661129568106,0.9658144420330902,0.9658025181325437,False,Pollen,operator_pseudo_masked,7,completed,False,T_beta_no_mutual,True
0.9435215946843853,0.9673103426583867,0.9673907464688967,False,Pollen,operator_pseudo_masked,3407,completed,False,T_beta_no_mutual,True
0.9368770764119602,0.9604903073906816,0.9539501111915285,False,Pollen,operator_pseudo_masked,42,completed,False,T_beta_no_snn,True
0.9501661129568106,0.9658144420330902,0.9658025181325437,False,Pollen,operator_pseudo_masked,7,completed,False,T_beta_no_snn,True
0.9368770764119602,0.9609179854671521,0.9586012919947715,False,Pollen,operator_pseudo_masked,3407,completed,False,T_beta_no_snn,True
0.9501661129568106,0.9625198312326994,0.9557493198510651,False,Pollen,operator_pseudo_masked,123,completed,False,T_beta_no_snn,True
0.9435215946843853,0.9638468493343905,0.9657383116723255,False,Pollen,operator_pseudo_masked,2025,completed,False,T_beta_no_snn,True
0.946843853820598,0.9621948619332388,0.9559905111246934,False,Pollen,operator_pseudo_masked,123,completed,False,T_beta_no_perturb,True
0.9401993355481728,0.9633920927222444,0.9655047155702172,False,Pollen,operator_pseudo_masked,2025,completed,False,T_beta_no_perturb,True
0.9368770764119602,0.9604903073906816,0.9539501111915285,False,Pollen,operator_pseudo_masked,42,completed,False,T_beta_no_perturb,True
0.946843853820598,0.9627609091539615,0.9606000012078393,False,Pollen,operator_pseudo_masked,7,completed,False,T_beta_no_perturb,True
0.9401993355481728,0.9670067415254686,0.9709672827647765,False,Pollen,operator_pseudo_masked,3407,completed,False,T_beta_no_perturb,True
0.9861329971635676,0.9398697986985323,0.8792085312364546,False,Wang,clean_anchor_full_embedding,42,completed,False,T_full,True
0.9855026788528207,0.9372254946106423,0.8763434958937006,False,Wang,clean_anchor_full_embedding,7,completed,False,T_full,True
0.9891795356655111,0.9528357474381886,0.8999500111239089,False,Wang,clean_anchor_full_embedding,3407,completed,False,T_full,True
0.9810904506775922,0.9187855845136785,0.8520874066290508,False,Wang,clean_anchor_full_embedding,123,completed,False,T_full,True
0.968694190566236,0.8684095322592278,0.78962976891096,False,Wang,clean_anchor_full_embedding,2025,completed,False,T_full,True
0.9973736737052211,0.9883908112041702,0.9673484921628984,False,Wang,operator_pseudo_masked,123,completed,False,F_matched_total_mix,True
0.9974787267570123,0.9888549118532682,0.9687001745706104,False,Wang,operator_pseudo_masked,2025,completed,False,F_matched_total_mix,True
0.9977938859123857,0.9902409931155263,0.9716282339498205,False,Wang,operator_pseudo_masked,42,completed,False,F_matched_total_mix,True
0.9983191511713415,0.9925576147124371,0.9772735046717174,False,Wang,operator_pseudo_masked,7,completed,False,F_matched_total_mix,True
0.9982140981195504,0.9920913575102166,0.9758598433684156,False,Wang,operator_pseudo_masked,3407,completed,False,F_matched_total_mix,True
0.9977938859123857,0.9902409931155263,0.9716282339498205,False,Wang,operator_pseudo_masked,42,completed,False,T_shuffled_gate,True
0.9983191511713415,0.9925576147124371,0.9772735046717174,False,Wang,operator_pseudo_masked,7,completed,False,T_shuffled_gate,True
0.9982140981195504,0.9920913575102166,0.9758598433684156,False,Wang,operator_pseudo_masked,3407,completed,False,T_shuffled_gate,True
0.9974787267570123,0.988853097407945,0.9684017544567773,False,Wang,operator_pseudo_masked,123,completed,False,T_shuffled_gate,True
0.9974787267570123,0.9888549118532682,0.9687001745706104,False,Wang,operator_pseudo_masked,2025,completed,False,T_shuffled_gate,True
0.9974787267570123,0.988853097407945,0.9684017544567773,False,Wang,operator_pseudo_masked,123,completed,False,T_fixed_mean_gate,True
0.9974787267570123,0.9888549118532682,0.9687001745706104,False,Wang,operator_pseudo_masked,2025,completed,False,T_fixed_mean_gate,True
0.9977938859123857,0.9902409931155263,0.9716282339498205,False,Wang,operator_pseudo_masked,42,completed,False,T_fixed_mean_gate,True
0.9983191511713415,0.9925576147124371,0.9772735046717174,False,Wang,operator_pseudo_masked,7,completed,False,T_fixed_mean_gate,True
0.9982140981195504,0.9920913575102166,0.9758598433684156,False,Wang,operator_pseudo_masked,3407,completed,False,T_fixed_mean_gate,True
0.9977938859123857,0.9902409931155263,0.9716282339498205,False,Wang,operator_pseudo_masked,42,completed,False,T_random_neighbor,True
0.9985292572749238,0.9934854770665962,0.9796513599344814,False,Wang,operator_pseudo_masked,7,completed,False,T_random_neighbor,True
0.9983191511713415,0.9925551789997342,0.9770587360051358,False,Wang,operator_pseudo_masked,3407,completed,False,T_random_neighbor,True
0.9975837798088034,0.989315556404535,0.9694657291392218,False,Wang,operator_pseudo_masked,123,completed,False,T_random_neighbor,True
0.9974787267570123,0.9888549118532682,0.9687001745706104,False,Wang,operator_pseudo_masked,2025,completed,False,T_random_neighbor,True
