bootstrap_ci_high,bootstrap_ci_low,datasets,mean_dataset_delta,metric,n_completed_datasets,variant
0.0238158019810638,0.0009716425433022174,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.00970852990405032,ACC,8,F_matched_total_mix
0.07880436259896607,0.0021816353022465576,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.029894110556672442,ARI,8,F_matched_total_mix
0.07545966988086983,0.0010223849631904314,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.02768640039347778,NMI,8,F_matched_total_mix
0.0005390053250200456,-0.00042334648690645624,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",-1.428616852930403e-06,ACC,8,T_beta_no_mutual
0.004127536191684675,-0.0017354073020448254,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.0006879878389121587,ARI,8,T_beta_no_mutual
0.002181418800460279,-0.0040501275503957435,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",-0.0007438983108954509,NMI,8,T_beta_no_mutual
0.0003103621106265109,-0.0007703628125574097,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",-0.00023583959573439118,ACC,8,T_beta_no_perturb
0.00190636402845509,-0.00323880822390559,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",-0.000446178902004913,ARI,8,T_beta_no_perturb
0.001266350722874153,-0.005174556265897135,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",-0.0014393171435527472,NMI,8,T_beta_no_perturb
0.0007583712973654789,-0.00035900863198407295,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.0001551062802297248,ACC,8,T_beta_no_snn
0.004924938772915336,-0.00020188479817009257,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.0020046500928514155,ARI,8,T_beta_no_snn
0.004142739919037989,-0.0003282004759541073,"ISOLET,Mouse_retina,Pollen,Wang,breast_cancer_wisconsin_original,reuters,sms_spam_collection,spambase",0.0014389824557221999,NMI,8,T_beta_no_snn
