ACC_mean,ACC_std,ARI_mean,ARI_std,NMI_mean,NMI_std,dataset_group,dataset_id,fit_seconds_mean,fit_seconds_std,gate_density_spearman_mean,gate_density_spearman_std,gate_intrinsic_dimension_spearman_mean,gate_intrinsic_dimension_spearman_std,labels_used_during_fit,n_completed,n_requested,neighbor_label_purity_post_fit_mean_mean,neighbor_label_purity_post_fit_mean_std,peak_cuda_allocated_bytes_mean,peak_cuda_allocated_bytes_std,status,variant,wall_seconds_mean,wall_seconds_std
0.5864050275747081,0.03015362929247106,0.5146965886489333,0.03143516369543419,0.7401689793423334,0.0182150506185433,general,ISOLET,82.32341676745564,1.4181986842708412,,,,,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,F_matched_total_mix,95.705179653503,4.762973004735201
0.5976657688854687,0.012977171030540927,0.5154407179871539,0.01102968639382674,0.7378079704539052,0.008552259324575238,general,ISOLET,100.44006764292718,1.7207412534741973,0.8304968007345955,1.2412670766236366e-16,-0.37144569266720223,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_beta_no_mutual,106.75127975288778,2.8133299352282934
0.6006669231755805,0.024542153028479292,0.5230101791011966,0.020070555509099117,0.744664698401196,0.010879052861215543,general,ISOLET,101.20962506812066,1.5019970812722412,0.4585672684715073,0.0,-0.3430193448283333,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_beta_no_perturb,108.19933716841042,1.6100665851431721
0.6001795562395793,0.018467662037769294,0.522810088066927,0.026723944900476092,0.7443958766614254,0.011618612564361528,general,ISOLET,100.41384158078581,1.09263153641743,0.64306856222756,0.0,-0.31187362210321545,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_beta_no_snn,107.6769501838833,3.113696567875224
0.6018725150698987,0.0056667573944372066,0.5260437450772386,0.020180850973347677,0.7460701379059206,0.012386673838792654,general,ISOLET,99.44243446756154,2.4717926832924655,0.6468478962648038,0.0,-0.3577633932243963,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_edge_none,110.56686490736902,6.935426051770981
0.6001795562395793,0.006039273449551769,0.520958370155862,0.011293634699096075,0.7441367985966238,0.008877602904687174,general,ISOLET,90.61802168246359,2.35725213894964,0.6468478962648038,0.0,-0.3577633932243963,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_edge_sim,96.01994513981045,2.5628086434603152
0.6020264204181095,0.01600228139152985,0.525954566167209,0.01906901753253448,0.7442654443900942,0.00950470902416418,general,ISOLET,95.14344013202935,2.8400332804888815,0.6468478962648038,0.0,-0.3577633932243963,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_edge_sim_mutual,101.82031866237521,4.452995912181626
0.5993074259330511,0.021484899352630225,0.5270640270302301,0.03315353896234099,0.744444441149161,0.019336941376059257,general,ISOLET,96.60584142673761,2.3800194292706545,0.6468478962648038,0.0,-0.3577633932243963,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_edge_sim_mutual_snn,103.2902288198471,3.7432992884110723
0.599461331281262,0.019062513032578197,0.5163864529669175,0.02231284504732444,0.7403056544199342,0.012290707958056715,general,ISOLET,97.66333014853299,3.6221148511508083,0.6468478962648038,0.0,-0.3577633932243963,0.0,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_edge_sim_mutual_snn_distance,103.36117254011333,4.225311266813273
0.5873541105553418,0.024621114674573112,0.5180963919047065,0.014674388967181425,0.7412779144028929,0.011471663257547851,general,ISOLET,102.21251544635743,0.5801368342112693,,,,,False,5,5,0.8030524849891663,0.0,96512512.0,0.0,completed,T_fixed_mean_gate,115.5610381539911,5.47689812417758
