run_key,dataset,parameterization,seed,status,acc,nmi,ari,ami,f1_macro,fmi,wall_seconds
Blood_BoneMarrow::topogate_v0::fixed::seed7,Blood_BoneMarrow,fixed,7,completed_valid,0.5000645744543458,0.7154469521895772,0.4074306548489125,0.7126280233914362,0.4432371681856738,0.5026594072221873,110.57956838607788
Blood_BoneMarrow::topogate_v0::fixed::seed42,Blood_BoneMarrow,fixed,42,completed_valid,0.539454991605321,0.72707823812265,0.43269698660929373,0.7243574828422905,0.4731411494602327,0.5234956636520566,114.67345023155212
Blood_BoneMarrow::topogate_v0::fixed::seed123,Blood_BoneMarrow,fixed,123,completed_valid,0.4836626630504972,0.7187551935907827,0.41597025352945094,0.7159554648508305,0.44794186921297324,0.5130734718208092,121.4782497882843
Blood_BoneMarrow::topogate_v0::topology::seed7,Blood_BoneMarrow,topology,7,completed_valid,0.5262172284644194,0.7382989134387611,0.44738976695208527,0.7356803630304126,0.47070885813236096,0.5358550715577824,109.4969551563263
Blood_BoneMarrow::topogate_v0::topology::seed42,Blood_BoneMarrow,topology,42,completed_valid,0.5120108485083301,0.7238899416682519,0.42514042183290746,0.7211335776499334,0.4758304763380868,0.5182410747414629,104.95596408843994
Blood_BoneMarrow::topogate_v0::topology::seed123,Blood_BoneMarrow,topology,123,completed_valid,0.5231176546558182,0.7336245419026922,0.4382689449890669,0.7309780115438689,0.4807530394801025,0.5310588736176984,115.1445415019989
Human_Pancreas_1::topogate_v0::fixed::seed7,Human_Pancreas_1,fixed,7,completed_valid,0.8707274320771253,0.8542634390421272,0.8776233619131926,0.8537068948449825,0.7563138726235207,0.9115617945502837,21.049132108688354
Human_Pancreas_1::topogate_v0::fixed::seed42,Human_Pancreas_1,fixed,42,completed_valid,0.8707274320771253,0.8558562096484913,0.8795254404814251,0.8553058797935259,0.7574256003646179,0.9128799334155299,19.15220880508423
Human_Pancreas_1::topogate_v0::fixed::seed123,Human_Pancreas_1,fixed,123,completed_valid,0.8711656441717791,0.855618389719752,0.8784333517608766,0.855066866547764,0.7580165725345965,0.9121412472336159,20.685648679733276
Human_Pancreas_1::topogate_v0::topology::seed7,Human_Pancreas_1,topology,7,completed_valid,0.8720420683610868,0.8561358687923867,0.8799165262768526,0.8555856403590427,0.7585722678395598,0.9133333235354187,22.861063480377197
Human_Pancreas_1::topogate_v0::topology::seed42,Human_Pancreas_1,topology,42,completed_valid,0.8711656441717791,0.8609266015056481,0.8825420656932632,0.8603952707282314,0.7575993107500268,0.9151352571263145,21.599174737930298
Human_Pancreas_1::topogate_v0::topology::seed123,Human_Pancreas_1,topology,123,completed_valid,0.871603856266433,0.8564399722966848,0.8804759737680791,0.8558913776534031,0.7580221911186754,0.9136492962686983,22.47496199607849
Human_Pancreas_3::topogate_v0::fixed::seed7,Human_Pancreas_3,fixed,7,completed_valid,0.7514599392665265,0.8253366096183711,0.7767137119753552,0.824588782714148,0.6861483058549496,0.821515195650027,58.945385456085205
Human_Pancreas_3::topogate_v0::fixed::seed42,Human_Pancreas_3,fixed,42,completed_valid,0.7414155571128241,0.8221568470700299,0.7744365780544428,0.821395524512704,0.6794326940924953,0.8196267848726114,65.46374797821045
Human_Pancreas_3::topogate_v0::fixed::seed123,Human_Pancreas_3,fixed,123,completed_valid,0.7494744218640504,0.8232870338031574,0.7750839035797593,0.8225300667506518,0.6836591732215085,0.8200377884496551,55.58150005340576
Human_Pancreas_3::topogate_v0::topology::seed7,Human_Pancreas_3,topology,7,completed_valid,0.7502919878533053,0.8204552974197683,0.7745125845728832,0.8196856731536074,0.6847084627933481,0.8194468512921838,63.41073274612427
Human_Pancreas_3::topogate_v0::topology::seed42,Human_Pancreas_3,topology,42,completed_valid,0.8594954449894885,0.8614690340083025,0.9010848513522564,0.8608543533465426,0.6831937554980041,0.9204220782645567,64.23015642166138
Human_Pancreas_3::topogate_v0::topology::seed123,Human_Pancreas_3,topology,123,completed_valid,0.8615977575332866,0.864641884235093,0.9042089376052999,0.8640414585914368,0.6867647733655375,0.922927320688416,62.78559875488281
Mouse_Pancreas_1::topogate_v0::fixed::seed7,Mouse_Pancreas_1,fixed,7,completed_valid,0.8900804289544236,0.8656750963417459,0.8932369199747409,0.8638673895459968,0.8408627357100944,0.9229235599229946,17.975526571273804
Mouse_Pancreas_1::topogate_v0::fixed::seed42,Mouse_Pancreas_1,fixed,42,completed_valid,0.8820375335120644,0.8605801793287768,0.8790615745587499,0.8587085199800245,0.8348782564719928,0.9125880355496129,17.0181667804718
Mouse_Pancreas_1::topogate_v0::fixed::seed123,Mouse_Pancreas_1,fixed,123,completed_valid,0.8857908847184987,0.8593988527197384,0.8824717680317948,0.8575106765599912,0.8380130699527013,0.915075971039898,17.765488624572754
Mouse_Pancreas_1::topogate_v0::topology::seed7,Mouse_Pancreas_1,topology,7,completed_valid,0.8873994638069705,0.8630807969634038,0.8907612354626956,0.8612356532180233,0.839180612831431,0.9211685559911847,18.652843475341797
Mouse_Pancreas_1::topogate_v0::topology::seed42,Mouse_Pancreas_1,topology,42,completed_valid,0.8804289544235925,0.8599794895099284,0.8819248009774299,0.8580969776951425,0.8343368247393721,0.9146968114342753,18.234131336212158
Mouse_Pancreas_1::topogate_v0::topology::seed123,Mouse_Pancreas_1,topology,123,completed_valid,0.7839142091152815,0.8153047464044302,0.8140456211259398,0.812738632887342,0.7166749179252585,0.8685665633644777,19.144805192947388
PRJNA895163::topogate_v0::fixed::seed7,PRJNA895163,fixed,7,completed_valid,0.4635966653433902,0.373560596549521,0.1786505198141539,0.3731609989125391,0.419079547168592,0.3443583898901772,375.3832583427429
PRJNA895163::topogate_v0::fixed::seed42,PRJNA895163,fixed,42,completed_valid,0.481143310837634,0.3893049929952077,0.18998015849448996,0.3889177749583146,0.45167780055441636,0.3531356075470253,355.120165348053
PRJNA895163::topogate_v0::fixed::seed123,PRJNA895163,fixed,123,completed_valid,0.43302897975387056,0.35220996558799866,0.1635235612579128,0.35179955587151357,0.4291007608220126,0.328350145829377,358.3839569091797
PRJNA895163::topogate_v0::topology::seed7,PRJNA895163,topology,7,completed_valid,0.45660976578007145,0.38297163503048587,0.1896546828815548,0.38259112674422574,0.45805575256488607,0.34379139063848135,367.7714011669159
PRJNA895163::topogate_v0::topology::seed42,PRJNA895163,topology,42,completed_valid,0.43820960698689954,0.34621848165974217,0.1494794992407861,0.3457921538784453,0.41705698346645287,0.3299233322319183,378.55054807662964
PRJNA895163::topogate_v0::topology::seed123,PRJNA895163,topology,123,completed_valid,0.4624652639936483,0.3419162681861164,0.16641545740134436,0.34148047343326937,0.41321531181819177,0.34574830902594217,356.22191190719604
TabulaSapiens_Pancreas::topogate_v0::fixed::seed7,TabulaSapiens_Pancreas,fixed,7,completed_valid,0.6480589402096911,0.7209866192906221,0.49335283938263297,0.719887938833642,0.48637437727524735,0.6030544439020432,112.60440135002136
TabulaSapiens_Pancreas::topogate_v0::fixed::seed42,TabulaSapiens_Pancreas,fixed,42,completed_valid,0.6024369509776141,0.7260322312079253,0.48787448978781317,0.7249651546580083,0.48892878298906584,0.6071234571598686,106.2871584892273
TabulaSapiens_Pancreas::topogate_v0::fixed::seed123,TabulaSapiens_Pancreas,fixed,123,completed_valid,0.6218475488807027,0.7182011203327737,0.4803868156281486,0.7170782849227954,0.44616014301041146,0.5910471208920148,106.25619316101074
TabulaSapiens_Pancreas::topogate_v0::topology::seed7,TabulaSapiens_Pancreas,topology,7,completed_valid,0.669523944460187,0.7396412062103743,0.5182077262768144,0.7386094818372588,0.5634525622711786,0.6241892427055372,118.5293173789978
TabulaSapiens_Pancreas::topogate_v0::topology::seed42,TabulaSapiens_Pancreas,topology,42,completed_valid,0.598540663077359,0.7310724180220207,0.4955821300588849,0.7300190492426639,0.4633532938561914,0.6109510145531382,120.84481358528137
