dataset,role_class,ARI_clean,ARI_C0,Delta_clean_C0,best_structured_arm,best_structured_ARI,Delta_random_best_structured
sms_spam_collection,sparse_text,0.16167723754076133,0.15047830208071486,-0.011198935460046466,C3_MixedMatched,0.16187564105756735,0.011397338976852495
hate_speech,sparse_text,0.0026923415334196357,0.013448146503670932,0.010755804970251297,C4_StaticHard,0.008117079759341563,-0.00533106674432937
Mouse_retina,registered_scrna_count,0.7544559119561672,0.8286375107586416,0.07418159880247432,C3_MixedMatched,0.8478796396778748,0.01924212891923327
Baron Human,registered_scrna_count,0.14444718448367763,0.1292757322967868,-0.015171452186890838,C2_SupportOnly,0.3832585602265201,0.2539828279297333
cnae9,generic_sparse_high_dimensional,0.038604693773055324,0.039599885325800326,0.000995191552745002,C3_MixedMatched,0.0399950563198156,0.0003951709940152731
Campbell,registered_scrna_count,0.04277547651396941,0.08381371792984836,0.04103824141587895,C4_StaticHard,0.24452329083790736,0.16070957290805898
