dataset,role_class,arm,seed,status,ARI,NMI,L_rec,effective_changed_coordinate_rate_mean,epochs_audited,requested_change_ratio_mean,support_change_ratio_mean,total_absolute_change_mean,value_change_ratio_mean
sms_spam_collection,sparse_text,C_clean_no_corruption,42,completed_valid,0.19904607297774976,0.139924334582641,0.8962697459552103,0.0,30,0.0,0.0,0.0,0.0
sms_spam_collection,sparse_text,C_clean_no_corruption,123,completed_valid,0.1166300442062224,0.07239909882697042,0.8908687690061009,0.0,30,0.0,0.0,0.0,0.0
sms_spam_collection,sparse_text,C_clean_no_corruption,7,completed_valid,0.16935559543831186,0.10626446680783708,0.8937229032288054,0.0,30,0.0,0.0,0.0,0.0
sms_spam_collection,sparse_text,C0_MatchedRandom,42,completed_valid,0.1744470517127043,0.13037825576609383,0.9597198496321718,0.29084955089820347,30,0.29084955089820347,0.07956524451097804,3279.511277117487,0.23031094061876242
sms_spam_collection,sparse_text,C0_MatchedRandom,123,completed_valid,0.10109308454375458,0.05795385700573735,0.957349799421733,0.29084955089820347,30,0.29084955089820347,0.07957647205588823,3282.2577914387825,0.23044130489021955
sms_spam_collection,sparse_text,C0_MatchedRandom,7,completed_valid,0.17589476998568565,0.08699466522151492,0.9600116972437875,0.29084955089820347,30,0.29084955089820347,0.07943643962075847,3278.3347561851742,0.2303570983033932
sms_spam_collection,sparse_text,C1_ValueOnly,42,completed_valid,0.12351451886164615,0.11096690406207374,0.9730181047302521,0.29084955089820347,30,0.29084955089820347,0.05330214570858284,3836.120453667144,0.2893182385229541
sms_spam_collection,sparse_text,C1_ValueOnly,123,completed_valid,0.11598730389582719,0.0646354418493015,0.9700536247498975,0.29084955089820347,30,0.29084955089820347,0.05370197105788423,3835.5623482141646,0.2893746881237525
sms_spam_collection,sparse_text,C1_ValueOnly,7,completed_valid,0.1523625250970259,0.07948634520786407,0.972453211667295,0.29084955089820347,30,0.29084955089820347,0.05387755738522954,3839.50084833925,0.2893066991017964
sms_spam_collection,sparse_text,C2_SupportOnly,42,completed_valid,0.13686964212886565,0.12424765135176928,0.9439832474657162,0.29084955089820347,30,0.29084955089820347,0.29084955089820347,2617.8615311220697,0.0
sms_spam_collection,sparse_text,C2_SupportOnly,123,completed_valid,0.10539446113358433,0.05654842476312139,0.9413253290210656,0.29084955089820347,30,0.29084955089820347,0.29084955089820347,2616.1249190678277,0.0
sms_spam_collection,sparse_text,C2_SupportOnly,7,completed_valid,0.17656057764290117,0.09088325268039328,0.9444926368976068,0.29084955089820347,30,0.29084955089820347,0.29084955089820347,2621.4854820062737,0.0
sms_spam_collection,sparse_text,C3_MixedMatched,42,completed_valid,0.17247518665219289,0.11271111329226557,0.9460663395013638,0.29084955089820347,30,0.29084955089820347,0.2996126497005988,2885.1913602149307,0.0
sms_spam_collection,sparse_text,C3_MixedMatched,123,completed_valid,0.10963468686090747,0.06177734850066051,0.9435031344076831,0.29084955089820347,30,0.29084955089820347,0.29970527694610777,2886.9228281490778,0.0
sms_spam_collection,sparse_text,C3_MixedMatched,7,completed_valid,0.20351704965960168,0.1059008286256111,0.9455954177650863,0.29084955089820347,30,0.29084955089820347,0.2997264845309381,2887.731671640087,0.0
sms_spam_collection,sparse_text,C4_StaticHard,42,completed_valid,0.09895722245619008,0.08714938970721137,0.9929474782087132,0.29084955089820347,30,0.29084955089820347,0.1073743138722555,4681.933678009813,0.28893930888223557
sms_spam_collection,sparse_text,C4_StaticHard,123,completed_valid,0.14329073044727672,0.13460085909051828,0.9897369847326222,0.29084955089820347,30,0.29084955089820347,0.10765936876247509,4685.019941061573,0.2892858033932136
sms_spam_collection,sparse_text,C4_StaticHard,7,completed_valid,0.08437187080943935,0.08270880669747394,0.9906554914520173,0.29084955089820347,30,0.29084955089820347,0.10651072854291416,4687.601059296744,0.28928767465069866
hate_speech,sparse_text,C_clean_no_corruption,42,completed_valid,0.010282820700050207,0.006130796024462209,0.6318114538512516,0.0,30,0.0,0.0,0.0,0.0
hate_speech,sparse_text,C_clean_no_corruption,123,completed_valid,-0.0016264218676732573,0.003860191531947453,0.6589087169017158,0.0,30,0.0,0.0,0.0,0.0
hate_speech,sparse_text,C_clean_no_corruption,7,completed_valid,-0.0005793742321180417,0.003790058911329017,0.6306378561974461,0.0,30,0.0,0.0,0.0,0.0
hate_speech,sparse_text,C0_MatchedRandom,42,completed_valid,0.018859238561918765,0.011452076433300434,0.8164759324374905,0.22061659751818097,30,0.22061659751818097,0.05601288681077567,6559.323757647565,0.12490882121431639
hate_speech,sparse_text,C0_MatchedRandom,123,completed_valid,0.004324973170685634,0.0018582236894496838,0.8251267075168535,0.22061659751818097,30,0.22061659751818097,0.05613738544505387,6567.718604297145,0.12480920140032217
hate_speech,sparse_text,C0_MatchedRandom,7,completed_valid,0.017160227778408397,0.008545236576186957,0.8162332671246,0.22061659751818097,30,0.22061659751818097,0.05614721153373745,6569.337240237158,0.12490662602429133
hate_speech,sparse_text,C1_ValueOnly,42,completed_valid,0.005888752103654022,0.005969274396530004,0.921623249725317,0.22061659751818097,30,0.22061659751818097,0.04386637773784622,10797.254356348018,0.22061659751818097
hate_speech,sparse_text,C1_ValueOnly,123,completed_valid,-0.0024003540313225664,0.004827971078315969,0.9218617852190865,0.22061659751818097,30,0.22061659751818097,0.04382634165310352,10794.428210282202,0.22061659751818097
hate_speech,sparse_text,C1_ValueOnly,7,completed_valid,-0.004821482663226537,0.00439625449287315,0.9226082316728454,0.22061659751818097,30,0.22061659751818097,0.04341406405982625,10790.97776402533,0.22061659751818097
hate_speech,sparse_text,C2_SupportOnly,42,completed_valid,0.009669082719932796,0.007510736035342093,0.8206529150058008,0.22061659751818097,30,0.22061659751818097,0.22061659751818097,7479.61779472786,0.0
