epoch,train_loss_before_step,exact_budget,effective_changed_coordinate_rate,support_change_rate,value_change_rate,total_absolute_change
1,1.0032360259143787,True,0.2693497814894636,0.0,0.2693497814894636,164481.57482548803
2,0.9925105587732747,True,0.2693497814894636,0.0,0.2693497814894636,164250.4980385527
3,0.97910801752317,True,0.2693497814894636,0.0,0.2693497814894636,165201.82750453055
4,0.9592922208866397,True,0.2693497814894636,0.0,0.2693497814894636,166165.88444986194
5,0.9374467132192005,True,0.2693497814894636,0.0,0.2693497814894636,164725.44165232033
6,0.9181520710503005,True,0.2693497814894636,0.0,0.2693497814894636,163447.43593479693
7,0.9040395149325959,True,0.2693497814894636,0.0,0.2693497814894636,166536.27555835247
8,0.8916631939310681,True,0.2693497814894636,0.0,0.2693497814894636,165895.07584225386
9,0.881393150808254,True,0.2693497814894636,0.0,0.2693497814894636,164762.68316230178
10,0.873716573377222,True,0.2693497814894636,0.0,0.2693497814894636,165273.98280029
11,0.8676030537634517,True,0.2693497814894636,0.0,0.2693497814894636,167103.93076150864
12,0.86025795717349,True,0.2693497814894636,0.0,0.2693497814894636,165174.8295237571
13,0.8566371067730403,True,0.2693497814894636,0.0,0.2693497814894636,165796.54925364256
14,0.851083697258741,True,0.2693497814894636,0.0,0.2693497814894636,164516.25384695083
15,0.8465918400735234,True,0.2693497814894636,0.0,0.2693497814894636,164401.52683778852
16,0.8432090330397946,True,0.2693497814894636,0.0,0.2693497814894636,164333.1027971506
17,0.8424888961159863,True,0.2693497814894636,0.0,0.2693497814894636,166274.68516416103
18,0.839018314277532,True,0.2693497814894636,0.0,0.2693497814894636,165240.4035249278
19,0.8378722350259393,True,0.2693497814894636,0.0,0.2693497814894636,165805.20529478043
20,0.8345796340270061,True,0.2693497814894636,0.0,0.2693497814894636,164808.20702850074
21,0.8334179879148345,True,0.2693497814894636,0.0,0.2693497814894636,165090.10163671523
22,0.8313739971182812,True,0.2693497814894636,0.0,0.2693497814894636,163954.43115618825
23,0.8292500616490156,True,0.2693497814894636,0.0,0.2693497814894636,164421.59992229193
24,0.828043252572246,True,0.2693497814894636,0.0,0.2693497814894636,164893.31428214163
25,0.826844934074358,True,0.2693497814894636,0.0,0.2693497814894636,165583.3502252847
26,0.8264085549961104,True,0.2693497814894636,0.0,0.2693497814894636,166877.8041159436
27,0.8264886885310498,True,0.2693497814894636,0.0,0.2693497814894636,166510.2556129843
28,0.8238251958313573,True,0.2693497814894636,0.0,0.2693497814894636,164728.9577972144
29,0.8233325821686521,True,0.2693497814894636,0.0,0.2693497814894636,165704.3436789587
30,0.821707371322588,True,0.2693497814894636,0.0,0.2693497814894636,164606.12547308952
