epoch,loss,L_cut,L_orth,L_var,variance_min
1.0,84902544.0,0.12722662091255188,84902544.0,0.0,33.25550842285156
2.0,56431192.0,0.12925443053245544,56431192.0,0.0,33.15168762207031
3.0,37806120.0,0.13149577379226685,37806120.0,0.0,35.04277420043945
4.0,25805362.0,0.13392692804336548,25805362.0,0.0,37.2347526550293
5.0,18086772.0,0.13647660613059998,18086772.0,0.0,38.77197265625
6.0,13072655.0,0.13908648490905762,13072655.0,0.0,35.70833969116211
7.0,9750938.0,0.14170922338962555,9750938.0,0.0,33.47300720214844
8.0,7492133.0,0.14430592954158783,7492133.0,0.0,32.107513427734375
9.0,5909364.0,0.14684975147247314,5909364.0,0.0,31.390079498291016
10.0,4765889.0,0.14932261407375336,4765889.0,0.0,31.144380569458008
11.0,3915589.75,0.151715949177742,3915589.5,0.0,31.22759437561035
12.0,3267103.0,0.15402823686599731,3267102.75,0.0,31.520193099975586
13.0,2761643.25,0.15626221895217896,2761643.0,0.0,31.93623924255371
14.0,2360512.5,0.15842010080814362,2360512.25,0.0,31.071500778198242
15.0,2037531.875,0.16051596403121948,2037531.75,0.0,29.796499252319336
16.0,1774133.875,0.16255228221416473,1774133.75,0.0,28.634754180908203
17.0,1556911.25,0.1645374298095703,1556911.125,0.0,27.595895767211914
18.0,1376016.875,0.1664724498987198,1376016.75,0.0,26.68623161315918
19.0,1224027.0,0.1683795005083084,1224026.875,0.0,25.90130615234375
20.0,1095211.375,0.1702542006969452,1095211.25,0.0,25.239887237548828
21.0,985200.9375,0.17210106551647186,985200.75,0.0,24.69648551940918
22.0,890455.6875,0.1739322394132614,890455.5,0.0,24.25262451171875
23.0,808014.5625,0.17575521767139435,808014.375,0.0,23.891250610351562
24.0,735654.0625,0.1775776892900467,735653.875,0.0,23.361621856689453
25.0,671628.25,0.17940707504749298,671628.0625,0.0,22.525941848754883
26.0,614548.0625,0.18124768137931824,614547.875,0.0,21.799699783325195
27.0,563375.8125,0.18310292065143585,563375.625,0.0,21.16256332397461
28.0,517308.0,0.18497250974178314,517307.8125,0.0,20.60361099243164
29.0,475676.53125,0.18684932589530945,475676.34375,0.0,20.108158111572266
30.0,437968.59375,0.1887286901473999,437968.40625,0.0,19.6654052734375
31.0,403784.6875,0.19061604142189026,403784.5,0.0,19.26840591430664
32.0,372764.21875,0.19250814616680145,372764.03125,0.0,18.907047271728516
33.0,344605.875,0.19439469277858734,344605.6875,0.0,18.576784133911133
34.0,319046.1875,0.19627521932125092,319046.0,0.0,18.273393630981445
35.0,295843.875,0.19814346730709076,295843.6875,0.0,17.991363525390625
36.0,274791.28125,0.1999984085559845,274791.09375,0.0,17.72800636291504
37.0,255692.578125,0.20183561742305756,255692.375,0.0,17.48131561279297
38.0,238365.171875,0.20365330576896667,238364.96875,0.0,17.24892234802246
39.0,222639.421875,0.20544281601905823,222639.21875,0.0,17.02859878540039
40.0,208361.578125,0.2072005420923233,208361.375,0.0,16.817537307739258
41.0,195391.3125,0.20892836153507233,195391.109375,0.0,16.61653709411621
42.0,183600.03125,0.21062660217285156,183599.828125,0.0,16.42484474182129
43.0,172866.3125,0.21228715777397156,172866.09375,0.0,16.23996925354004
44.0,163083.5,0.213910311460495,163083.28125,0.0,16.061511993408203
45.0,154156.09375,0.21549993753433228,154155.875,0.0,15.889626502990723
46.0,145996.90625,0.2170533537864685,145996.6875,0.0,15.724254608154297
47.0,138525.734375,0.21856997907161713,138525.515625,0.0,15.565014839172363
48.0,131672.03125,0.22005170583724976,131671.8125,0.0,15.41153335571289
49.0,125372.046875,0.22149765491485596,125371.828125,0.0,15.263583183288574
50.0,119570.5390625,0.22290758788585663,119570.3125,0.0,15.120952606201172
51.0,114217.1171875,0.22428308427333832,114216.890625,0.0,14.983503341674805
52.0,109265.9453125,0.22562380135059357,109265.71875,0.0,14.8503999710083
53.0,104678.1640625,0.22693027555942535,104677.9375,0.0,14.722267150878906
54.0,100418.6796875,0.22820298373699188,100418.453125,0.0,14.59896469116211
55.0,96456.734375,0.22944344580173492,96456.5078125,0.0,14.480596542358398
56.0,92763.78125,0.23065276443958282,92763.546875,0.0,14.36681842803955
57.0,89315.796875,0.23183199763298035,89315.5625,0.0,14.25762939453125
58.0,86090.1171875,0.23298139870166779,86089.8828125,0.0,14.152405738830566
59.0,83067.765625,0.2341037094593048,83067.53125,0.0,14.051054000854492
60.0,80231.109375,0.23519934713840485,80230.875,0.0,13.95340347290039
61.0,77564.328125,0.23626957833766937,77564.09375,0.0,13.859073638916016
62.0,75053.140625,0.2373150736093521,75052.90625,0.0,13.767862319946289
63.0,72684.5390625,0.238336443901062,72684.296875,0.0,13.679582595825195
64.0,70447.046875,0.2393351048231125,70446.8046875,0.0,13.59393310546875
65.0,68330.2890625,0.24031230807304382,68330.046875,0.0,13.511042594909668
66.0,66324.765625,0.24126912653446198,66324.5234375,0.0,13.430717468261719
67.0,64422.3984375,0.24220578372478485,64422.15625,0.0,13.352884292602539
68.0,62615.41796875,0.24312397837638855,62615.17578125,0.0,13.277442932128906
69.0,60896.390625,0.24402320384979248,60896.1484375,0.0,13.204000473022461
70.0,59259.140625,0.2449035793542862,59258.89453125,0.0,13.132227897644043
