epoch,train_loss_before_step,exact_budget,effective_changed_coordinate_rate,support_change_rate,value_change_rate,total_absolute_change
1,1.0036496300806945,True,0.2693497814894636,0.0,0.2693497814894636,220716.39451979846
2,0.9938733611983814,True,0.2693497814894636,0.0,0.2693497814894636,221249.92624521255
3,0.9828232844213873,True,0.2693497814894636,0.0,0.2693497814894636,219394.8720980063
4,0.9665810490933414,True,0.2693497814894636,0.0,0.2693497814894636,221492.5610353276
5,0.9469987880224469,True,0.2693497814894636,0.0,0.2693497814894636,222235.32481821626
6,0.9297859001890453,True,0.2693497814894636,0.0,0.2693497814894636,221949.47972183675
7,0.9147095008828174,True,0.2693497814894636,0.0,0.2693497814894636,220858.2059983909
8,0.903536979722794,True,0.2693497814894636,0.0,0.2693497814894636,220997.1593343094
9,0.8947807164484514,True,0.2693497814894636,0.0,0.2693497814894636,222711.52598032355
10,0.8863417624970505,True,0.2693497814894636,0.0,0.2693497814894636,222008.3561137691
11,0.8793761086189884,True,0.2693497814894636,0.0,0.2693497814894636,221489.1462309435
12,0.8733856239538084,True,0.2693497814894636,0.0,0.2693497814894636,221567.83238128573
13,0.8681389847020994,True,0.2693497814894636,0.0,0.2693497814894636,221057.21012524515
14,0.8641928075830598,True,0.2693497814894636,0.0,0.2693497814894636,221331.3189155236
15,0.8586265517834046,True,0.2693497814894636,0.0,0.2693497814894636,220632.67702337354
16,0.8562109662198473,True,0.2693497814894636,0.0,0.2693497814894636,220914.8664677441
17,0.8530030529161066,True,0.2693497814894636,0.0,0.2693497814894636,220510.362995632
18,0.8498881952515964,True,0.2693497814894636,0.0,0.2693497814894636,221704.4837428406
19,0.8474608671162777,True,0.2693497814894636,0.0,0.2693497814894636,220141.07342959195
20,0.845382252415478,True,0.2693497814894636,0.0,0.2693497814894636,221863.71913082153
21,0.842944842873862,True,0.2693497814894636,0.0,0.2693497814894636,221017.83976963162
22,0.8413449544102752,True,0.2693497814894636,0.0,0.2693497814894636,221791.43078049272
23,0.837851210800624,True,0.2693497814894636,0.0,0.2693497814894636,220836.51033789665
24,0.8368899287848637,True,0.2693497814894636,0.0,0.2693497814894636,219715.22706604004
25,0.8355356310975963,True,0.2693497814894636,0.0,0.2693497814894636,220731.7789201215
26,0.8323771531097733,True,0.2693497814894636,0.0,0.2693497814894636,221071.42243549973
27,0.8313872419097871,True,0.2693497814894636,0.0,0.2693497814894636,221405.61401195824
28,0.8300527446114697,True,0.2693497814894636,0.0,0.2693497814894636,220626.42727666348
29,0.8292765256545552,True,0.2693497814894636,0.0,0.2693497814894636,222105.87600685656
30,0.8267520741484631,True,0.2693497814894636,0.0,0.2693497814894636,220974.30557542294
