epoch,train_loss_before_step,exact_budget,effective_changed_coordinate_rate,support_change_rate,value_change_rate,total_absolute_change
1,1.0034662552831188,True,0.07884791740622411,0.05022149745592237,0.02862641995030174,2551503.5791030526
2,0.9941475916975222,True,0.07884791740622411,0.05021040409419004,0.02863751331203408,2551402.899701178
3,0.9847854688991077,True,0.07884791740622411,0.0504738714353331,0.028374045970891017,2524162.142827511
4,0.9700850511694671,True,0.07884791740622411,0.05032133771151343,0.028526579694710685,2484989.636092603
5,0.952267942654566,True,0.07884791740622411,0.0504969826056088,0.02835093480061531,2506261.7351766825
6,0.9359676122608982,True,0.07884791740622411,0.050290830966749495,0.02855708643947462,2513093.460861206
7,0.9227035037160216,True,0.07884791740622411,0.050495133711986745,0.02835278369423737,2516305.0161735415
8,0.9098399080985848,True,0.07884791740622411,0.05035092000946634,0.02849699739675778,2528791.0741062164
9,0.8995554299696481,True,0.07884791740622411,0.05031856437108034,0.02852935303514377,2526078.082015097
10,0.8901009316092313,True,0.07884791740622411,0.05038697343509644,0.028460943971127677,2558607.1946602464
11,0.8818936103434976,True,0.07884791740622411,0.05031024434978109,0.028537673056443023,2526554.4332211614
12,0.8739798535906821,True,0.07884791740622411,0.050303773222103894,0.028544144184120223,2509252.0376502275
13,0.8668542110049616,True,0.07884791740622411,0.050334279966867825,0.02851363743935629,2510386.888567686
14,0.86048533540268,True,0.07884791740622411,0.05024460862619808,0.02860330878002603,2545434.413887739
15,0.8543986477960201,True,0.07884791740622411,0.050352768903088395,0.028495148503135722,2521698.348574817
16,0.8500538478446648,True,0.07884791740622411,0.05039714235001775,0.028450775056206367,2530137.061003685
17,0.8445577281083656,True,0.07884791740622411,0.05017619956218199,0.028671717844042124,2551922.806971222
18,0.8408992657533356,True,0.07884791740622411,0.05033890220092297,0.028509015205301146,2555496.272384286
19,0.8360403396507478,True,0.07884791740622411,0.05023906194533191,0.028608855460892202,2572829.955388248
20,0.8298132915974171,True,0.07884791740622411,0.05039899124363981,0.02844892616258431,2530571.5310100913
21,0.8269554982240659,True,0.07884791740622411,0.05034352443497811,0.028504392971246007,2547563.50993073
22,0.8226455913367546,True,0.07884791740622411,0.05032226215832446,0.028525655247899656,2573468.7763794363
23,0.8192745471914736,True,0.07884791740622411,0.05023628860489883,0.028611628801325287,2515762.9275974035
24,0.81635970995844,True,0.07884791740622411,0.05036108892438765,0.02848682848183647,2511317.262579441
25,0.8112863985734103,True,0.07884791740622411,0.05042025352029346,0.028427663885930658,2559471.5934656262
26,0.8084981594547239,True,0.07884791740622411,0.05027881315820613,0.028569104248017986,2545994.4919615984
27,0.8057654808222394,True,0.07884791740622411,0.05031763992426932,0.0285302774819548,2553006.7143822312
28,0.8016915621171828,True,0.07884791740622411,0.050344448881789135,0.02850346852443498,2532708.774865806
29,0.7995839925958284,True,0.07884791740622411,0.05037680452017513,0.028471112886048987,2540235.6505571604
30,0.7986844988521521,True,0.07884791740622411,0.05034167554135605,0.028506241864868064,2571109.510292232
