dataset,config,topology_mode,lambda_topology,rank_margin,self_init_weight,seed,gpu,status,returncode,save_dir,summary_path,log_path,ari,nmi,acc,fmi,self_mass,edge_entropy,effective_neighbor_count,topology_loss,rank_loss,rank_active_fraction,reconstruction_loss,mask_loss,source_path,source_sha256,runner_source_sha256,model_source_sha256,gate_source_sha256,k_source,labels_used_during_fit
balance_scale,edge_only_lam0.5_rm1.0,edge_only,0.5,1.0,0.8,42,1,completed,0,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/edge_only_lam0.5_rm1.0/seed_42,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/edge_only_lam0.5_rm1.0/seed_42/summary.json,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/edge_only_lam0.5_rm1.0/seed_42/run.log,0.16008515893450773,0.13886931855904905,0.5264,0.47966426054821243,0.0,1.4018986225128174,4.113745212554932,0.014373828334889063,0.3987487683693568,0.75,0.33100283009310566,0.6150237848361334,<local_data_root>/datasets/AHDPC/processed/balance_scale.npz,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,e60f65d21bf9a18f9659b21106acb4503522ac6ae9aa20f4f07490461741cd3d,637d5e5c489c56e1c2c14339f85e70c1c89851902fdbe0056e5050896faba74f,8250fdca6e36610c111d77f1f3924f806f6b98301366d7b7ecffe3c351b21a8f,benchmark_oracle_from_y,False
balance_scale,edge_only_lam0.5_rm1.0,edge_only,0.5,1.0,0.8,123,4,completed,0,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/edge_only_lam0.5_rm1.0/seed_123,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/edge_only_lam0.5_rm1.0/seed_123/summary.json,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/edge_only_lam0.5_rm1.0/seed_123/run.log,0.1688575504919034,0.14840100858137734,0.5648,0.491262590076857,0.0,1.4071810245513916,4.1329755783081055,0.013832037527269372,0.389893972252806,0.75,0.32753147048254805,0.6125346747537455,<local_data_root>/datasets/AHDPC/processed/balance_scale.npz,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,e60f65d21bf9a18f9659b21106acb4503522ac6ae9aa20f4f07490461741cd3d,637d5e5c489c56e1c2c14339f85e70c1c89851902fdbe0056e5050896faba74f,8250fdca6e36610c111d77f1f3924f806f6b98301366d7b7ecffe3c351b21a8f,benchmark_oracle_from_y,False
balance_scale,self_null_lam0.3_rm0.5_si0.3,self_null,0.3,0.5,0.3,7,5,completed,0,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.3/seed_7,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.3/seed_7/summary.json,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.3/seed_7/run.log,0.09834131728282504,0.09452522644054749,0.4656,0.44314264052922653,0.564416229724884,1.469760775566101,4.373412132263184,0.016082640054325265,0.16633480864887437,0.75,0.33023145856956637,0.6144070456425348,<local_data_root>/datasets/AHDPC/processed/balance_scale.npz,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,e60f65d21bf9a18f9659b21106acb4503522ac6ae9aa20f4f07490461741cd3d,637d5e5c489c56e1c2c14339f85e70c1c89851902fdbe0056e5050896faba74f,8250fdca6e36610c111d77f1f3924f806f6b98301366d7b7ecffe3c351b21a8f,benchmark_oracle_from_y,False
balance_scale,self_null_lam0.3_rm0.5_si0.3,self_null,0.3,0.5,0.3,42,1,completed,0,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.3/seed_42,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.3/seed_42/summary.json,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.3/seed_42/run.log,0.1500451486741667,0.13332441707504233,0.5168,0.47379112343619545,0.5867177844047546,1.4897907972335815,4.454309463500977,0.016296194144524635,0.17070180624723436,0.75,0.330956099803249,0.6150206848978996,<local_data_root>/datasets/AHDPC/processed/balance_scale.npz,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,e60f65d21bf9a18f9659b21106acb4503522ac6ae9aa20f4f07490461741cd3d,637d5e5c489c56e1c2c14339f85e70c1c89851902fdbe0056e5050896faba74f,8250fdca6e36610c111d77f1f3924f806f6b98301366d7b7ecffe3c351b21a8f,benchmark_oracle_from_y,False
balance_scale,self_null_lam0.3_rm0.5_si0.3,self_null,0.3,0.5,0.3,123,4,completed,0,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.3/seed_123,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.3/seed_123/summary.json,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.3/seed_123/run.log,0.17801171995395157,0.15490553218033964,0.5712,0.4965924004324493,0.5574804544448853,1.4824416637420654,4.425020217895508,0.015616891125682741,0.16299281753599643,0.75,0.327474498624603,0.6125326126813888,<local_data_root>/datasets/AHDPC/processed/balance_scale.npz,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,e60f65d21bf9a18f9659b21106acb4503522ac6ae9aa20f4f07490461741cd3d,637d5e5c489c56e1c2c14339f85e70c1c89851902fdbe0056e5050896faba74f,8250fdca6e36610c111d77f1f3924f806f6b98301366d7b7ecffe3c351b21a8f,benchmark_oracle_from_y,False
balance_scale,self_null_lam0.3_rm0.5_si0.5,self_null,0.3,0.5,0.5,7,5,completed,0,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.5/seed_7,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.5/seed_7/summary.json,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.5/seed_7/run.log,0.10075152751085649,0.09615221973624487,0.48,0.4455316293328598,0.5928659439086914,1.4699465036392212,4.374166488647461,0.01609734820667654,0.16633417764678599,0.75,0.3302322606245677,0.6144096558292708,<local_data_root>/datasets/AHDPC/processed/balance_scale.npz,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,e60f65d21bf9a18f9659b21106acb4503522ac6ae9aa20f4f07490461741cd3d,637d5e5c489c56e1c2c14339f85e70c1c89851902fdbe0056e5050896faba74f,8250fdca6e36610c111d77f1f3924f806f6b98301366d7b7ecffe3c351b21a8f,benchmark_oracle_from_y,False
balance_scale,self_null_lam0.3_rm0.5_si0.5,self_null,0.3,0.5,0.5,42,1,completed,0,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.5/seed_42,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.5/seed_42/summary.json,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.5/seed_42/run.log,0.1476683730433495,0.1305174552132089,0.5152,0.4721998534305234,0.6106138825416565,1.4898743629455566,4.454703330993652,0.01630807676507781,0.17069401095310846,0.75,0.3309567814071973,0.6150200689832369,<local_data_root>/datasets/AHDPC/processed/balance_scale.npz,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,e60f65d21bf9a18f9659b21106acb4503522ac6ae9aa20f4f07490461741cd3d,637d5e5c489c56e1c2c14339f85e70c1c89851902fdbe0056e5050896faba74f,8250fdca6e36610c111d77f1f3924f806f6b98301366d7b7ecffe3c351b21a8f,benchmark_oracle_from_y,False
balance_scale,self_null_lam0.3_rm0.5_si0.5,self_null,0.3,0.5,0.5,123,4,completed,0,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.5/seed_123,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.5/seed_123/summary.json,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm0.5_si0.5/seed_123/run.log,0.17801171995395157,0.15490553218033964,0.5712,0.4965924004324493,0.5501815676689148,1.4822255373001099,4.424113750457764,0.01560726452541227,0.1629656427539885,0.75,0.32747519450883067,0.6125322463611761,<local_data_root>/datasets/AHDPC/processed/balance_scale.npz,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,e60f65d21bf9a18f9659b21106acb4503522ac6ae9aa20f4f07490461741cd3d,637d5e5c489c56e1c2c14339f85e70c1c89851902fdbe0056e5050896faba74f,8250fdca6e36610c111d77f1f3924f806f6b98301366d7b7ecffe3c351b21a8f,benchmark_oracle_from_y,False
balance_scale,self_null_lam0.3_rm1.0_si0.3,self_null,0.3,1.0,0.3,7,5,completed,0,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm1.0_si0.3/seed_7,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm1.0_si0.3/seed_7/summary.json,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm1.0_si0.3/seed_7/run.log,0.09834131728282504,0.09452522644054749,0.4656,0.44314264052922653,0.5877014398574829,1.3856761455535889,4.056284427642822,0.016078927301956963,0.39266991838812826,0.75,0.33023180551826953,0.6144068618615469,<local_data_root>/datasets/AHDPC/processed/balance_scale.npz,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,e60f65d21bf9a18f9659b21106acb4503522ac6ae9aa20f4f07490461741cd3d,637d5e5c489c56e1c2c14339f85e70c1c89851902fdbe0056e5050896faba74f,8250fdca6e36610c111d77f1f3924f806f6b98301366d7b7ecffe3c351b21a8f,benchmark_oracle_from_y,False
balance_scale,self_null_lam0.3_rm1.0_si0.3,self_null,0.3,1.0,0.3,42,1,completed,0,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm1.0_si0.3/seed_42,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm1.0_si0.3/seed_42/summary.json,<local_data_root>/result/V12/v12_topology_search_stage3_2026-08-04/balance_scale/self_null_lam0.3_rm1.0_si0.3/seed_42/run.log,0.1500451486741667,0.13332441707504233,0.5168,0.47379112343619545,0.6101016402244568,1.4015450477600098,4.112459182739258,0.016291946296890576,0.3987385424474875,0.75,0.33095633399983243,0.6150204325715701,<local_data_root>/datasets/AHDPC/processed/balance_scale.npz,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,e60f65d21bf9a18f9659b21106acb4503522ac6ae9aa20f4f07490461741cd3d,637d5e5c489c56e1c2c14339f85e70c1c89851902fdbe0056e5050896faba74f,8250fdca6e36610c111d77f1f3924f806f6b98301366d7b7ecffe3c351b21a8f,benchmark_oracle_from_y,False
