dataset,seed,config,stage2_baseline,ari_current,ari_stage2,ari_delta,nmi_current,nmi_stage2,nmi_delta,acc_current,acc_stage2,acc_delta,fmi_current,fmi_stage2,fmi_delta,edge_entropy_current,edge_entropy_stage2,edge_entropy_delta,effective_neighbor_count_current,effective_neighbor_count_stage2,effective_neighbor_count_delta,rank_loss_current,rank_loss_stage2,rank_loss_delta
balance_scale,7,edge_only_lam0.3_rm0.5,self_null_lambda01,0.09232038750287386,0.10378565787077622,-0.011465270367902361,0.08757672717626394,0.0926778644132324,-0.005101137236968464,0.4608,0.4864,-0.02560000000000001,0.4390872772979073,0.4448936171601296,-0.005806339862222287,1.4697638750076294,1.566122055053711,-0.09635818004608154,4.373417854309082,4.7910943031311035,-0.4176764488220215,0.16633199475084742,0.02021766297596817,0.14611433177487926
balance_scale,42,edge_only_lam0.3_rm0.5,self_null_lambda01,0.1500451486741667,0.09091740285674416,0.059127745817422556,0.13332441707504233,0.08007512694328028,0.05324929013176205,0.5168,0.4848,0.03200000000000003,0.47379112343619545,0.4375979104612536,0.036193212974941824,1.4897692203521729,1.5730772018432617,-0.08330798149108887,4.454216480255127,4.823913097381592,-0.36969661712646484,0.17070007001360257,0.021147530413387967,0.1495525396002146
balance_scale,123,edge_only_lam0.3_rm0.5,self_null_lambda01,0.17801171995395157,0.11023000206492983,0.06778171788902174,0.15490553218033964,0.09005176512151221,0.06485376705882744,0.5712,0.488,0.08320000000000005,0.4965924004324493,0.44825129143294634,0.048341108999502946,1.482240080833435,1.5800169706344604,-0.09777688980102539,4.424174785614014,4.856882572174072,-0.4327077865600586,0.16297013343622285,0.018128925344596307,0.14484120809162654
balance_scale,7,edge_only_lam0.3_rm1.0,self_null_lambda01,0.09232038750287386,0.10378565787077622,-0.011465270367902361,0.08757672717626394,0.0926778644132324,-0.005101137236968464,0.4608,0.4864,-0.02560000000000001,0.4390872772979073,0.4448936171601296,-0.005806339862222287,1.3859800100326538,1.566122055053711,-0.18014204502105713,4.057353973388672,4.7910943031311035,-0.7337403297424316,0.3926837652921677,0.02021766297596817,0.37246610231619953
balance_scale,42,edge_only_lam0.3_rm1.0,self_null_lambda01,0.1500451486741667,0.09091740285674416,0.059127745817422556,0.13332441707504233,0.08007512694328028,0.05324929013176205,0.5168,0.4848,0.03200000000000003,0.47379112343619545,0.4375979104612536,0.036193212974941824,1.401810884475708,1.5730772018432617,-0.1712663173675537,4.113423824310303,4.823913097381592,-0.7104892730712891,0.3987529498835405,0.021147530413387967,0.3776054194701525
balance_scale,123,edge_only_lam0.3_rm1.0,self_null_lambda01,0.17801171995395157,0.11023000206492983,0.06778171788902174,0.15490553218033964,0.09005176512151221,0.06485376705882744,0.5712,0.488,0.08320000000000005,0.4965924004324493,0.44825129143294634,0.048341108999502946,1.4070812463760376,1.5800169706344604,-0.17293572425842285,4.132610321044922,4.856882572174072,-0.7242722511291504,0.3898934252560139,0.018128925344596307,0.3717644999114176
balance_scale,7,edge_only_lam0.5_rm0.5,self_null_lambda01,0.09570815865220583,0.10378565787077622,-0.008077499218570386,0.09021101427762629,0.0926778644132324,-0.002466850135606116,0.464,0.4864,-0.022399999999999975,0.44095492539883535,0.4448936171601296,-0.003938691761294244,1.4696388244628906,1.566122055053711,-0.09648323059082031,4.372912406921387,4.7910943031311035,-0.4181818962097168,0.16633514482527972,0.02021766297596817,0.14611748184931156
balance_scale,42,edge_only_lam0.5_rm0.5,self_null_lambda01,0.16008515893450773,0.09091740285674416,0.06916775607776357,0.13886931855904905,0.08007512694328028,0.058794191615768765,0.5264,0.4848,0.04159999999999997,0.47966426054821243,0.4375979104612536,0.042066350086958804,1.4897377490997314,1.5730772018432617,-0.08333945274353027,4.454094409942627,4.823913097381592,-0.36981868743896484,0.17069004991402228,0.021147530413387967,0.14954251950063432
balance_scale,123,edge_only_lam0.5_rm0.5,self_null_lambda01,0.1688575504919034,0.11023000206492983,0.05862754842697357,0.14840100858137734,0.09005176512151221,0.05834924345986513,0.5648,0.488,0.07679999999999998,0.491262590076857,0.44825129143294634,0.04301129864391068,1.4821217060089111,1.5800169706344604,-0.09789526462554932,4.4236931800842285,4.856882572174072,-0.43318939208984375,0.16295686376591526,0.018128925344596307,0.14482793842131894
balance_scale,7,edge_only_lam0.5_rm1.0,self_null_lambda01,0.09570815865220583,0.10378565787077622,-0.008077499218570386,0.09021101427762629,0.0926778644132324,-0.002466850135606116,0.464,0.4864,-0.022399999999999975,0.44095492539883535,0.4448936171601296,-0.003938691761294244,1.3861229419708252,1.566122055053711,-0.17999911308288574,4.057859420776367,4.7910943031311035,-0.7332348823547363,0.392690409719944,0.02021766297596817,0.37247274674397585
balance_scale,42,edge_only_lam0.5_rm1.0,self_null_lambda01,0.16008515893450773,0.09091740285674416,0.06916775607776357,0.13886931855904905,0.08007512694328028,0.058794191615768765,0.5264,0.4848,0.04159999999999997,0.47966426054821243,0.4375979104612536,0.042066350086958804,1.4018986225128174,1.5730772018432617,-0.17117857933044434,4.113745212554932,4.823913097381592,-0.7101678848266602,0.3987487683693568,0.021147530413387967,0.37760123795596884
balance_scale,123,edge_only_lam0.5_rm1.0,self_null_lambda01,0.1688575504919034,0.11023000206492983,0.05862754842697357,0.14840100858137734,0.09005176512151221,0.05834924345986513,0.5648,0.488,0.07679999999999998,0.491262590076857,0.44825129143294634,0.04301129864391068,1.4071810245513916,1.5800169706344604,-0.17283594608306885,4.1329755783081055,4.856882572174072,-0.7239069938659668,0.389893972252806,0.018128925344596307,0.37176504690820966
balance_scale,7,self_null_lam0.3_rm0.5_si0.3,self_null_lambda01,0.09834131728282504,0.10378565787077622,-0.00544434058795118,0.09452522644054749,0.0926778644132324,0.001847362027315086,0.4656,0.4864,-0.020799999999999985,0.44314264052922653,0.4448936171601296,-0.0017509766309030672,1.469760775566101,1.566122055053711,-0.09636127948760986,4.373412132263184,4.7910943031311035,-0.4176821708679199,0.16633480864887437,0.02021766297596817,0.1461171456729062
balance_scale,42,self_null_lam0.3_rm0.5_si0.3,self_null_lambda01,0.1500451486741667,0.09091740285674416,0.059127745817422556,0.13332441707504233,0.08007512694328028,0.05324929013176205,0.5168,0.4848,0.03200000000000003,0.47379112343619545,0.4375979104612536,0.036193212974941824,1.4897907972335815,1.5730772018432617,-0.08328640460968018,4.454309463500977,4.823913097381592,-0.36960363388061523,0.17070180624723436,0.021147530413387967,0.1495542758338464
balance_scale,123,self_null_lam0.3_rm0.5_si0.3,self_null_lambda01,0.17801171995395157,0.11023000206492983,0.06778171788902174,0.15490553218033964,0.09005176512151221,0.06485376705882744,0.5712,0.488,0.08320000000000005,0.4965924004324493,0.44825129143294634,0.048341108999502946,1.4824416637420654,1.5800169706344604,-0.09757530689239502,4.425020217895508,4.856882572174072,-0.43186235427856445,0.16299281753599643,0.018128925344596307,0.1448638921914001
balance_scale,7,self_null_lam0.3_rm0.5_si0.5,self_null_lambda01,0.10075152751085649,0.10378565787077622,-0.003034130359919729,0.09615221973624487,0.0926778644132324,0.0034743553230124624,0.48,0.4864,-0.006400000000000017,0.4455316293328598,0.4448936171601296,0.0006380121727301846,1.4699465036392212,1.566122055053711,-0.09617555141448975,4.374166488647461,4.7910943031311035,-0.4169278144836426,0.16633417764678599,0.02021766297596817,0.14611651467081782
balance_scale,42,self_null_lam0.3_rm0.5_si0.5,self_null_lambda01,0.1476683730433495,0.09091740285674416,0.056750970186605354,0.1305174552132089,0.08007512694328028,0.050442328269928616,0.5152,0.4848,0.030399999999999983,0.4721998534305234,0.4375979104612536,0.03460194296926977,1.4898743629455566,1.5730772018432617,-0.08320283889770508,4.454703330993652,4.823913097381592,-0.36920976638793945,0.17069401095310846,0.021147530413387967,0.1495464805397205
balance_scale,123,self_null_lam0.3_rm0.5_si0.5,self_null_lambda01,0.17801171995395157,0.11023000206492983,0.06778171788902174,0.15490553218033964,0.09005176512151221,0.06485376705882744,0.5712,0.488,0.08320000000000005,0.4965924004324493,0.44825129143294634,0.048341108999502946,1.4822255373001099,1.5800169706344604,-0.09779143333435059,4.424113750457764,4.856882572174072,-0.4327688217163086,0.1629656427539885,0.018128925344596307,0.1448367174093922
balance_scale,7,self_null_lam0.3_rm1.0_si0.3,self_null_lambda01,0.09834131728282504,0.10378565787077622,-0.00544434058795118,0.09452522644054749,0.0926778644132324,0.001847362027315086,0.4656,0.4864,-0.020799999999999985,0.44314264052922653,0.4448936171601296,-0.0017509766309030672,1.3856761455535889,1.566122055053711,-0.18044590950012207,4.056284427642822,4.7910943031311035,-0.7348098754882812,0.39266991838812826,0.02021766297596817,0.3724522554121601
balance_scale,42,self_null_lam0.3_rm1.0_si0.3,self_null_lambda01,0.1500451486741667,0.09091740285674416,0.059127745817422556,0.13332441707504233,0.08007512694328028,0.05324929013176205,0.5168,0.4848,0.03200000000000003,0.47379112343619545,0.4375979104612536,0.036193212974941824,1.4015450477600098,1.5730772018432617,-0.17153215408325195,4.112459182739258,4.823913097381592,-0.711453914642334,0.3987385424474875,0.021147530413387967,0.37759101203409956
balance_scale,123,self_null_lam0.3_rm1.0_si0.3,self_null_lambda01,0.17801171995395157,0.11023000206492983,0.06778171788902174,0.15490553218033964,0.09005176512151221,0.06485376705882744,0.5712,0.488,0.08320000000000005,0.4965924004324493,0.44825129143294634,0.048341108999502946,1.4069457054138184,1.5800169706344604,-0.1730712652206421,4.132115840911865,4.856882572174072,-0.724766731262207,0.3898940453926722,0.018128925344596307,0.3717651200480759
