config,n_completed,ari_mean,ari_std,nmi_mean,nmi_std,acc_mean,acc_std,fmi_mean,fmi_std,self_mass_mean,self_mass_std,edge_entropy_mean,edge_entropy_std,effective_neighbor_count_mean,effective_neighbor_count_std,topology_loss_mean,topology_loss_std,rank_loss_mean,rank_loss_std,rank_active_fraction_mean,rank_active_fraction_std,reconstruction_loss_mean,reconstruction_loss_std,mask_loss_mean,mask_loss_std
edge_only_lam0.3_rm0.5,12,0.18488552441935555,0.19898948011117898,0.20157466227367926,0.1470418811816275,0.5829447977262464,0.18283943653016757,0.538229385828121,0.1671255403277912,0.0,0.0,1.4637298583984375,0.13472697772386305,4.388385375340779,0.5163320498199918,0.050534377679448676,0.03924763963750629,0.2125887208424198,0.06167276676520905,0.75,0.0,0.2728213837260329,0.07196776466667748,0.6217752753808681,0.010251463337135523
edge_only_lam0.3_rm1.0,12,0.18483455825319342,0.19901434305133023,0.20156179342767597,0.14704628249000928,0.5829447977262464,0.18280122408848054,0.5381263358218571,0.16726582559043623,0.0,0.0,1.4210979243119557,0.13429837935243225,4.221169213453929,0.5150391505883744,0.04890811697728673,0.03680884504977904,0.48762902779142475,0.1200362833159745,0.75,0.0,0.27279092087733764,0.07201376559133917,0.6217698553163145,0.010254455601224866
edge_only_lam0.5_rm0.5,12,0.1833134551959919,0.19852426076958923,0.2024649571881052,0.1449140975592021,0.5798792110482465,0.18379030041371092,0.5392813656178654,0.16450766412352572,0.0,0.0,1.4497988124688466,0.15849939211811853,4.348071396350861,0.5832372091828929,0.05450622233410185,0.05052247525367617,0.2125345612209963,0.06172316331019037,0.75,0.0,0.27339892737153504,0.07143378750045494,0.6219228737832357,0.0103413853344249
edge_only_lam0.5_rm1.0,12,0.18473627898334036,0.19673894311709791,0.20223525365980108,0.14499394845812613,0.579896919409249,0.1861961664434772,0.5386084584382153,0.16550328134769518,0.0,0.0,1.4125522871812184,0.14918001630493408,4.196802198886871,0.557082505865278,0.052570649828056856,0.04732573315844242,0.48750106916607666,0.12010685206635074,0.75,0.0,0.2733594230175691,0.07149110453161849,0.6219146592076867,0.010344593125898307
self_null_lam0.3_rm0.5_si0.3,12,0.18701712553111427,0.1985899172103096,0.19993015942461773,0.14794085626087777,0.5874642052044873,0.17509293686873287,0.5388733320452271,0.1655976447574488,0.6233889584740003,0.17112644655882048,1.481551041205724,0.10435619369272194,4.445679803689321,0.4209336839783792,0.04284758966807405,0.03008127483029474,0.2127640695686245,0.06155203830262548,0.75,0.0,0.27268328871772,0.07215553257058485,0.6217749571634663,0.010299128916097038
self_null_lam0.3_rm0.5_si0.5,12,0.18718487658431165,0.19829812968609803,0.2010485729866192,0.14717324167911944,0.5888595833222656,0.17456389866341646,0.538969046847659,0.16578043546616533,0.6722728709379832,0.13499992390515417,1.4814812044302623,0.10446437887919094,4.4454400936762495,0.4212878541827903,0.04235212599467357,0.029526858583528676,0.21275125403513406,0.06156009998769038,0.75,0.0,0.2726679552631039,0.07217290974030864,0.6217843205564552,0.010315717446339301
self_null_lam0.3_rm1.0_si0.3,12,0.18686585736881403,0.19866199573816612,0.19979000317950552,0.1480215803982595,0.5870701941721784,0.17553294896610572,0.5387593092578111,0.16575245602093322,0.6297319829463959,0.16917022530941317,1.425403853257497,0.12431022645193542,4.233044842878978,0.48537371840467597,0.042579401307901006,0.02972064000126284,0.4875804655823029,0.1200597051933421,0.75,0.0,0.27267830020605793,0.07216190317977593,0.6217745708405144,0.01029950563331214
self_null_lam0.3_rm1.0_si0.5,12,0.1869526164256916,0.19853924885249946,0.2008957024668714,0.14727574815965871,0.5885474734595939,0.1745667113259421,0.53890924280905,0.1657523508489353,0.6797036031881968,0.12802712726883472,1.42515762646993,0.124482453456807,4.232184271017711,0.4859053978720541,0.042162797821705074,0.02927733320668197,0.4875857335670541,0.12005435069303008,0.75,0.0,0.2726646204394961,0.07217689125412731,0.6217840817860432,0.010315797332902636
self_null_lam0.5_rm0.5_si0.3,12,0.1867649740669106,0.19881957605771475,0.20207871745294956,0.14670289477212337,0.5855273532198227,0.17830399283863013,0.538899079838225,0.16594015930505884,0.6375130116939545,0.18219011735517537,1.4812566637992859,0.10468357517697871,4.444597820440928,0.4219848413990587,0.045401836983769,0.03775597969376869,0.21282622846128005,0.06152107587831819,0.75,0.0,0.27315933629870415,0.07171620598607313,0.6219009120948613,0.010385718842976701
self_null_lam0.5_rm0.5_si0.5,12,0.18702897926264872,0.1990733985800185,0.20130987081670265,0.1472084004150517,0.5854364668278127,0.1780758831666285,0.539170167670536,0.1657036781555185,0.6839678088823954,0.1476483544316073,1.4809783895810444,0.10542786279067128,4.443771223227183,0.4244642124098469,0.04470901456758535,0.036693782074252196,0.21276359405989448,0.06156062585643997,0.75,0.0,0.27312271234631125,0.07174917599046211,0.6219083554835783,0.010403281409694867
