dataset,n_completed,ari_mean,ari_std,nmi_mean,nmi_std,acc_mean,acc_std,fmi_mean,fmi_std,self_mass_mean,self_mass_std,edge_entropy_mean,edge_entropy_std,effective_neighbor_count_mean,effective_neighbor_count_std,topology_loss_mean,topology_loss_std,rank_loss_mean,rank_loss_std,rank_active_fraction_mean,rank_active_fraction_std,reconstruction_loss_mean,reconstruction_loss_std,mask_loss_mean,mask_loss_std
balance_scale,36,0.14229456981158126,0.03452394093822766,0.12670779667981874,0.02652548823313877,0.5188,0.04326577003986937,0.4711080847131087,0.022708533707249415,0.39634253415796494,0.2849701480952112,1.439362472958035,0.042713665391854214,4.258920007281834,0.16396318936846105,0.01503204982997246,0.0011330485590781729,0.2802201484295505,0.11521607024636542,0.75,0.0,0.3295799737451253,0.001519706609626801,0.6139843796552331,0.0010724169505882167
flame,36,0.5028528594309445,0.006556331428601027,0.4426735240940876,0.024246778423579723,0.8553240740740741,0.002359359761300745,0.7608919330099106,0.003790596985111928,0.3527706704205937,0.26337378120624644,1.5889868305789099,0.002619197270784254,4.899916119045681,0.012534109795283214,0.013237554804072715,0.0010438380910291426,0.49892968291209805,0.1879785890749076,0.75,0.0,0.33160923673874804,0.003311273826144354,0.6163559908047318,0.002118864624922854
spect_heart,36,0.006733083496985623,0.013641867244226958,0.11469666868835406,0.00982110266412786,0.5748023304203079,0.014226185289974767,0.5930634606926627,0.002196754926408833,0.40133484370178646,0.2887300006386978,1.4964598450395796,0.03507631016617963,4.49289255672031,0.14389334481930774,0.0598341105586668,0.004131028611898522,0.31512337258835843,0.1252720796201318,0.75,0.0,0.2684112193088772,0.0034436493114045133,0.6382999836777647,0.0037102434706148637
vehicle,36,0.09311175444184383,0.00862552803929927,0.12140735263074726,0.004220165115517521,0.39174546887312844,0.017655758274782878,0.33050670346548044,0.003864795725507649,0.6023687968651453,0.43225611884057796,1.2664108177026112,0.051324148930649585,3.6365926464398703,0.1623736311138158,0.0972058087580889,0.01737658395554989,0.30631129170198823,0.12928433738010298,0.75,0.0,0.162270768727952,0.0009235063057565887,0.6187319587605695,0.0005569901919742465
