dataset,config,edge_entropy_mean,effective_neighbor_count_mean,rank_loss_mean,below_log5,below_target_1.0,effective_neighbors_below_3
balance_scale,edge_only_lam0.3_rm0.5,1.480591058731079,4.417269706726074,0.1666673994002243,yes,no,no
balance_scale,edge_only_lam0.3_rm1.0,1.398290713628133,4.101129372914632,0.3937767134772407,yes,no,no
balance_scale,edge_only_lam0.5_rm0.5,1.4804994265238445,4.416899998982747,0.16666068616840576,yes,no,no
balance_scale,edge_only_lam0.5_rm1.0,1.398400863011678,4.101526737213135,0.3937777167807023,yes,no,no
balance_scale,self_null_lam0.3_rm0.5_si0.3,1.4806644121805828,4.417580604553223,0.16667647747736838,yes,no,no
balance_scale,self_null_lam0.3_rm0.5_si0.5,1.480682134628296,4.417661190032959,0.16666461045129433,yes,no,no
balance_scale,self_null_lam0.3_rm1.0_si0.3,1.398055632909139,4.100286483764648,0.393767502076096,yes,no,no
balance_scale,self_null_lam0.3_rm1.0_si0.5,1.3980152209599812,4.100139300028483,0.3937747266143561,yes,no,no
balance_scale,self_null_lam0.5_rm0.5_si0.3,1.4804977178573608,4.416888078053792,0.1666714122415417,yes,no,no
balance_scale,self_null_lam0.5_rm0.5_si0.5,1.4805764357248943,4.417212804158528,0.16666528188313048,yes,no,no
balance_scale,self_null_lam0.5_rm1.0_si0.3,1.3980594873428345,4.100301265716553,0.3937650774916013,yes,no,no
balance_scale,self_null_lam0.5_rm1.0_si0.5,1.3980165719985962,4.100144545237224,0.3937741770926449,yes,no,no
flame,edge_only_lam0.3_rm0.5,1.5913634300231934,4.911258379618327,0.31359151179591815,yes,no,no
flame,edge_only_lam0.3_rm1.0,1.5866086880366008,4.888566335042317,0.6842652854820093,yes,no,no
flame,edge_only_lam0.5_rm0.5,1.591363747914632,4.911259651184082,0.3135932940989733,yes,no,no
flame,edge_only_lam0.5_rm1.0,1.5866086880366008,4.888566652933757,0.6842667082945506,yes,no,no
flame,self_null_lam0.3_rm0.5_si0.3,1.5913715759913127,4.91129716237386,0.31359470523893834,yes,no,no
flame,self_null_lam0.3_rm0.5_si0.5,1.5913660923639934,4.91127077738444,0.31359021651248137,yes,no,no
flame,self_null_lam0.3_rm1.0_si0.3,1.5866063038508098,4.888554573059082,0.684268890072902,yes,no,no
flame,self_null_lam0.3_rm1.0_si0.5,1.5866039196650188,4.888543446858724,0.6842624820768833,yes,no,no
flame,self_null_lam0.5_rm0.5_si0.3,1.591374357541402,4.911310990651448,0.3135917400320371,yes,no,no
flame,self_null_lam0.5_rm0.5_si0.5,1.5913689931233723,4.911285241444905,0.3135970916599035,yes,no,no
flame,self_null_lam0.5_rm1.0_si0.3,1.586599071820577,4.888520876566569,0.684262823065122,yes,no,no
flame,self_null_lam0.5_rm1.0_si0.5,1.5866070985794067,4.888559341430664,0.6842714466154576,yes,no,no
