analysis,outcome,feature,n,spearman_rho,scope_note
Full_minus_NoMix,V13_delta_ari,tda_h0_total_persistence_norm,12,0.25352741347343954,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V14_delta_ari,n,5,0.7999999999999999,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V14_delta_ari,d,5,0.0,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V14_delta_ari,metadata_k,5,0.8720815992723809,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V14_delta_ari,log_nd,5,0.7,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V14_delta_ari,mean_mutual_ratio,5,-0.39999999999999997,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V14_delta_ari,mean_snn,5,-0.7,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V14_delta_ari,effective_neighbor_proxy,5,-0.7,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V14_delta_ari,sparse_graph_cycle_rank,5,0.7999999999999999,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V14_delta_ari,tda_h0_q90_death_norm,5,0.3,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V14_delta_ari,tda_h0_tail10_share,5,0.3,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,V14_delta_ari,tda_h0_total_persistence_norm,5,0.7999999999999999,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,StaticGate_delta_ari,n,15,0.0035714285714285704,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,StaticGate_delta_ari,d,15,0.16621990551532057,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,StaticGate_delta_ari,log_nd,15,0.06785714285714285,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,StaticGate_delta_ari,mean_mutual_ratio,13,-0.34065934065934067,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,StaticGate_delta_ari,mean_snn,13,0.2802197802197803,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,StaticGate_delta_ari,effective_neighbor_proxy,13,0.2912087912087912,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,StaticGate_delta_ari,sparse_graph_components,13,0.29054360157398823,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,StaticGate_delta_ari,sparse_graph_largest_component_fraction,13,-0.24522610802164208,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,StaticGate_delta_ari,sparse_graph_cycle_rank,13,0.021978021978021976,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,StaticGate_delta_ari,tda_h0_q90_death_norm,13,0.2967032967032967,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,StaticGate_delta_ari,tda_h0_tail10_share,13,0.24175824175824176,exploratory post-hoc descriptor; no feature was used for selection
Full_minus_NoMix,StaticGate_delta_ari,tda_h0_total_persistence_norm,13,0.10989010989010989,exploratory post-hoc descriptor; no feature was used for selection
TDA_H0_minus_V11_full,V11_tda_h0_mst_head_delta,n,5,0.22360679774997894,five-dataset exploratory descriptor; no feature was used for selection
TDA_H0_minus_V11_full,V11_tda_h0_mst_head_delta,d,5,-0.34412360080584264,five-dataset exploratory descriptor; no feature was used for selection
TDA_H0_minus_V11_full,V11_tda_h0_mst_head_delta,metadata_k,5,-0.7499999999999999,five-dataset exploratory descriptor; no feature was used for selection
TDA_H0_minus_V11_full,V11_tda_h0_mst_head_delta,log_nd,5,-0.44721359549995787,five-dataset exploratory descriptor; no feature was used for selection
TDA_H0_minus_V11_full,V11_tda_h0_mst_head_delta,mean_mutual_ratio,5,0.44721359549995787,five-dataset exploratory descriptor; no feature was used for selection
TDA_H0_minus_V11_full,V11_tda_h0_mst_head_delta,mean_snn,5,0.44721359549995787,five-dataset exploratory descriptor; no feature was used for selection
TDA_H0_minus_V11_full,V11_tda_h0_mst_head_delta,effective_neighbor_proxy,5,0.44721359549995787,five-dataset exploratory descriptor; no feature was used for selection
TDA_H0_minus_V11_full,V11_tda_h0_mst_head_delta,sparse_graph_cycle_rank,5,0.22360679774997894,five-dataset exploratory descriptor; no feature was used for selection
TDA_H0_minus_V11_full,V11_tda_h0_mst_head_delta,tda_h0_q90_death_norm,5,0.22360679774997894,five-dataset exploratory descriptor; no feature was used for selection
TDA_H0_minus_V11_full,V11_tda_h0_mst_head_delta,tda_h0_tail10_share,5,0.22360679774997894,five-dataset exploratory descriptor; no feature was used for selection
TDA_H0_minus_V11_full,V11_tda_h0_mst_head_delta,tda_h0_total_persistence_norm,5,0.44721359549995787,five-dataset exploratory descriptor; no feature was used for selection
