analysis_d,analysis_feature_sampled,analysis_n,analysis_pca_dim,analysis_sampled,category,components_at_1nn_scale,components_at_median_knn_scale,components_at_p90_knn_scale,cv_knn_cosine_distance,cycle_rank_at_1nn_scale,cycle_rank_at_median_knn_scale,cycle_rank_at_p90_knn_scale,d,dataset,dataset_key,effective_neighbor_proxy,feature_error,log_nd,manifest,mean_knn_cosine_distance,mean_mutual_ratio,mean_snn,median_1nn_cosine_distance,metadata_k,n,p95_knn_cosine_distance,source_path,sparse_graph_components,sparse_graph_cycle_rank,sparse_graph_edge_count,sparse_graph_largest_component_fraction,staticgate_full_nomix_ari,tda_h0_merge_count,tda_h0_mst_edge_count,tda_h0_q50_death_norm,tda_h0_q90_death_norm,tda_h0_sparse_components,tda_h0_tail10_share,tda_h0_total_persistence_norm,v11_full_nomix_ari,v12_full_nomix_ari,v13_full_nomix_ari,v14_full_nomix_ari,v9_ari_vs_ahdpc,v9_ari_vs_hdpc,v9_full_ari,v9_full_nomix_ari,v9_full_random_ari,v9_full_static_ari,v9_nomix_ari,v9_paper_protocol,v9_random_ari,v9_static_ari
512,True,1080,50,False,result_dataset_pool,647,258,6,1.1103166111581602,1638.0,4461.0,9189.0,856,cnae9,cnae9,0.4504374996189642,,5.965897520164103,dataset_root_scan,0.11885311670877316,0.5298148148148148,0.3998684597295708,0.02912747859954834,,1080,0.3762225419282913,datasets/cnae9.npz,1,10692.0,11771,1.0,0.01583292588583779,1079,920,1.8972186183949349,7.566415103606058,1,0.3553876193782457,3177.753872693266,,,,,,,,,,,,,,
64,False,1024,50,False,synthetic,528,486,105,1.6911620824169231,4574.0,5187.0,10907.0,64,dim064,dim064,0.3997937534838476,,4.816479930623699,datasets/AHDPC/MANIFEST.json,0.0005903563229367137,0.1107421875,0.28069816468253966,0.0001977682113647461,16,1024,0.002409091591835023,datasets/AHDPC/processed/dim064.npz,16,12354.0,13362,0.0625,,1008,1005,1.0453586497890295,8.055063291139248,16,0.48361264804001225,2903.6989150090412,,,,,-0.0034519636369418905,-0.0034519636369418905,,,,,,True,,
512,False,1024,50,False,synthetic,527,469,110,2.938575937587791,4189.0,5067.0,10825.0,512,dim512,dim512,0.38787818817283537,,5.719569917615643,datasets/AHDPC/MANIFEST.json,3.3899524714797737e-05,0.1169921875,0.22983785962301587,6.973743438720703e-06,16,1024,0.00013749003410339414,datasets/AHDPC/processed/dim512.npz,16,12267.0,13275,0.0625,,1008,1006,1.0256410256410255,10.212820512820521,16,0.6992675493773365,4776.145299145299,,,,,0.0,0.0,,,,,,True,,
512,True,4000,50,True,result_dataset_pool,2770,544,24,0.49513865276894314,1338.0,15712.0,34489.0,4096,enron,enron,0.4443857386149115,,7.612316516347967,dataset_root_scan,0.2619735676795244,0.49665,0.2506460317460317,0.14618191123008728,,9999,0.4431718856096268,datasets/enron.npz,1,40048.0,44047,1.0,-0.1076411244487736,3999,3590,1.5948241924497828,2.4954620859191885,1,0.198281973109658,5600.220850303085,-0.007787270756682618,,,,,,,,,,,,,
51,False,4000,50,True,result_dataset_pool,2415,1435,89,1.813083465213601,6438.0,16598.0,31766.0,51,first-order-theorem-proving,firstordertheoremproving,0.44356656534531047,,5.494179648746596,dataset_root_scan,0.032501505652070044,0.6108,0.3937420634920635,0.0006558597087860107,,6118,0.16470388174057002,datasets/first-order-theorem-proving.npz,5,36964.0,40959,0.9585,-0.0027174176370276526,3995,3654,2.8001999363838777,135.35876766483392,5,0.5916767017879551,154184.78238742216,,,,,,,,,,,,,,
2,False,240,2,False,synthetic,171,2,1,1.3778215490088703,13.0,664.0,1438.0,2,flame,flame,0.42997569362574095,,2.681241237375587,datasets/AHDPC/MANIFEST.json,0.0012516606350739797,0.8566666666666667,0.40580687830687834,4.413723945617676e-05,2,240,0.003908991813659668,datasets/AHDPC/processed/flame.npz,1,1714.0,1953,1.0,,239,237,4.109385550303848,34.83024983119514,1,0.5003659318534197,3098.0999324780555,,,,,-0.8341855724399194,-0.6295456162742903,,,,,,True,,
10,False,214,10,False,uci,130,25,2,0.8912098515871166,134.0,683.0,1559.0,10,glass,glass,0.4091754297863304,,3.330413773349191,datasets/AHDPC/MANIFEST.json,0.11343293903029968,0.6037383177570094,0.28648568461652574,0.0392305850982666,6,214,0.33039849400520316,datasets/AHDPC/processed/glass.npz,1,1845.0,2058,1.0,,213,213,1.4770488316266066,4.271234008933727,1,0.3130545697301142,421.4807848916709,,,,,-0.01907361422931836,-0.04914434162205522,0.3904035144222399,0.040739276370795385,0.001818423695921223,0.012586412218754672,0.34966423805144453,True,0.3885850907263187,0.37781710220348524
9,False,214,9,False,related_manifest,130,36,2,0.9799690508153867,66.0,694.0,1614.0,9,glass_identification,glassidentification,0.39287446683477845,,3.2846562827885157,datasets/AHDPC_related_advantage/MANIFEST.json,0.09912488148591228,0.6233644859813084,0.2815383474261979,0.031160354614257812,6,214,0.3273013442754745,datasets/AHDPC_related_advantage/glass_identification.npz,1,1898.0,2111,1.0,,213,212,1.3282139468690701,4.999871839995103,1,0.3369405762460773,459.4802844004408,,0.005115903130906041,0.0,,,,,,,,,,,
512,True,735,50,False,result_dataset_pool,401,171,8,0.49047827787530585,1319.0,3136.0,6347.0,561,har,har,0.37423770740861023,,5.615250200340356,dataset_root_scan,0.15657743726457868,0.515374149659864,0.15850124176654792,0.11398190259933472,,735,0.29821540713310224,datasets/har.npz,1,7326.0,8060,1.0,0.09971640987866232,734,734,1.0525108782674675,2.0218602321080548,1,0.20308727141600202,855.6529935956669,0.00011204024455424566,,,,,,,,,,,,,
,,,,,result_dataset_pool,,,,,,,,25187,hrvatin_filtered,hrvatinfiltered,,skipped_shape_cap: 48266x25187 > 80000000 elements,9.084817750726675,dataset_root_scan,,,,,,48266,,datasets/hrvatin_filtered.npz,,,,,0.0004817068315407971,,,,,,,,,,,,,,,,,,,,,
