dataset_idx,dataset_name,dataset_type,acc_agglo,acc_autosc,acc_birch,acc_cc,acc_dbscan,acc_dec,acc_divc,acc_dmicc,acc_dscn,acc_edesc,acc_gmm,acc_idec,acc_kernel_kmeans,acc_kfsc,acc_kmeans,acc_kpc,acc_lfss,acc_lrr,acc_meanshift,acc_p2ot,acc_pica,acc_s3comp,acc_spectral_clustering,acc_ssc,ari_agglo,ari_autosc,ari_birch,ari_cc,ari_dbscan,ari_dec,ari_divc,ari_dmicc,ari_dscn,ari_edesc,ari_gmm,ari_idec,ari_kernel_kmeans,ari_kfsc,ari_kmeans,ari_kpc,ari_lfss,ari_lrr,ari_meanshift,ari_p2ot,ari_pica,ari_s3comp,ari_spectral_clustering,ari_ssc,nmi_agglo,nmi_autosc,nmi_birch,nmi_cc,nmi_dbscan,nmi_dec,nmi_divc,nmi_dmicc,nmi_dscn,nmi_edesc,nmi_gmm,nmi_idec,nmi_kernel_kmeans,nmi_kfsc,nmi_kmeans,nmi_kpc,nmi_lfss,nmi_lrr,nmi_meanshift,nmi_p2ot,nmi_pica,nmi_s3comp,nmi_spectral_clustering,nmi_ssc,time_agglo,time_autosc,time_birch,time_cc,time_dbscan,time_dec,time_divc,time_dmicc,time_dscn,time_edesc,time_gmm,time_idec,time_kernel_kmeans,time_kfsc,time_kmeans,time_kpc,time_lfss,time_lrr,time_meanshift,time_p2ot,time_pica,time_s3comp,time_spectral_clustering,time_ssc
28,ionosphere.npz,tabular,0.689459,0.515670,0.729345,0.740741,0.923077,0.903704,0.730484,0.719658,0.621083,0.791453,0.847863,0.893447,0.709402,0.885470,0.706553,0.793732,0.769231,0.538462,0.507123,0.710351,0.723077,0.520798,0.700855,0.589700,0.140416,-0.039446,0.207309,0.228906,0.712766,0.647321,0.214881,0.191848,0.056584,0.344820,0.504183,0.613149,0.172724,0.591409,0.167902,0.322175,0.288068,-0.024725,0.340807,0.175486,0.200976,-0.040950,0.159007,0.016700,0.099824,0.118934,0.150998,0.249921,0.591987,0.529380,0.189912,0.159558,0.039563,0.251302,0.418184,0.507606,0.129866,0.465126,0.124997,0.241763,0.254326,0.095970,0.295581,0.147448,0.171199,0.091459,0.125821,0.099900,0.005989,1.253085,0.029510,69.229906,0.004066,30.201833,9.928585,15.393464,2.539611,4.209870,0.298653,15.585569,0.151585,0.415072,0.013372,0.017177,33.309676,3.111509,0.361226,52.354424,10.099843,1.034007,0.010968,0.712827
29,music_genre_classification.npz,tabular,0.340000,0.253000,0.370000,0.336000,0.324000,0.361600,0.332000,0.355600,0.362000,0.348400,0.365800,0.761155,0.384000,0.356800,0.382000,0.217200,0.340000,0.350000,0.269000,0.336333,0.322333,0.318400,0.481000,0.299000,0.164735,0.067716,0.194654,0.152564,0.142241,0.171644,0.146851,0.174506,0.170423,0.168330,0.177221,0.284661,0.182111,0.163206,0.182872,0.046177,0.156659,0.139010,0.090834,0.153125,0.142563,0.119077,0.300895,0.103348,0.296218,0.157945,0.343082,0.260211,0.255851,0.290703,0.278018,0.277077,0.285332,0.273614,0.301868,0.330310,0.310035,0.228727,0.296287,0.085171,0.275946,0.230240,0.253554,0.274537,0.275971,0.178395,0.453663,0.179118,0.034172,8.802028,0.168417,60.322595,0.012213,47.940611,22.122124,41.011265,8.589783,4.501138,1.353768,37.608578,6.070540,5.318236,0.034245,0.539969,79.303116,3.157423,0.710770,276.388237,23.318868,2.859309,0.021129,5.265290
30,spectf_heart.npz,tabular,0.675000,0.750000,0.525000,0.800000,0.787500,0.637500,0.750000,0.747500,0.585000,0.695000,0.657500,0.642500,0.775000,0.647500,0.762500,0.562500,0.762500,0.625000,0.512500,0.762500,0.770000,0.560000,0.802500,0.625000,0.115333,0.241940,0.001267,0.352127,0.322309,0.073045,0.241260,0.259681,0.029430,0.176285,0.123949,0.086323,0.295387,0.078193,0.267330,0.008565,0.266626,0.050511,0.042066,0.267064,0.286513,0.008134,0.418546,0.052000,0.186280,0.241705,0.043575,0.300167,0.268346,0.072249,0.221393,0.224975,0.081409,0.159198,0.155645,0.087594,0.381014,0.067119,0.254655,0.019799,0.220454,0.045687,0.157568,0.240954,0.228999,0.014981,0.447798,0.052400,0.001075,0.763117,0.007473,2.192618,0.002230,22.378773,2.340604,4.641546,1.331367,3.365561,0.023209,6.210323,0.021367,0.475355,0.515620,0.026211,33.571768,0.388956,0.087507,40.496141,2.820160,0.256430,0.003617,0.119651
31,rice_dataset_cammeo_and_osmancik.npz,tabular,0.887664,0.908661,0.897113,0.909186,0.798425,0.830184,0.914436,0.899843,0.880735,0.915118,0.910394,0.761155,0.913911,0.604357,0.912598,0.645722,0.911549,0.629134,0.903675,0.899475,0.915311,0.548871,0.919423,0.590026,0.600897,0.667841,0.630359,0.669513,0.578002,0.436542,0.686925,0.639500,0.582208,0.689320,0.673362,0.284661,0.685019,0.043295,0.680791,0.085771,0.677187,0.066323,0.676816,0.640672,0.689835,0.009612,0.703364,0.031597,0.488315,0.554845,0.520387,0.555768,0.433681,0.416907,0.590625,0.531327,0.493975,0.586003,0.561830,0.330310,0.572007,0.031697,0.570810,0.059875,0.564713,0.045476,0.553128,0.541202,0.580232,0.006717,0.593538,0.018634,0.438285,83.622138,0.205432,262.224936,0.200055,97.529101,85.509023,150.039126,77.150172,15.461910,0.154846,37.608578,0.770775,1.902431,0.667169,0.069853,59.418458,309.490185,6.002503,4851.497243,109.897816,18.539860,0.217120,509.125518
32,ph_recognition.npz,tabular,0.509954,0.560490,0.442573,0.565084,0.464012,0.565084,0.615926,0.573047,0.470444,0.468300,0.524655,0.546095,0.537519,0.486064,0.574273,0.206126,0.629403,0.529900,0.316998,0.565084,0.634609,0.473201,0.618683,0.465544,0.381639,0.412272,0.371403,0.432523,0.306634,0.382427,0.440085,0.407443,0.321164,0.336301,0.367509,0.391449,0.392204,0.302463,0.430122,0.083191,0.449947,0.318800,0.304351,0.387495,0.445863,0.277247,0.418059,0.284223,0.612915,0.622370,0.604348,0.638335,0.594995,0.599423,0.634235,0.612522,0.559273,0.567718,0.605114,0.608372,0.611113,0.494659,0.633282,0.201540,0.647041,0.503000,0.565783,0.602516,0.635209,0.464041,0.623800,0.465541,0.007378,4.629131,0.013824,103.280082,0.008283,46.032608,16.238922,28.630092,11.535850,6.349456,0.203634,25.168019,2.178460,1.328911,1.160493,0.190009,71.626033,13.950000,0.884452,2783.793274,18.236637,3.531124,0.113038,1.323881
33,banknote_authentication.npz,tabular,0.792274,0.577259,0.685860,0.789359,0.897959,0.630321,0.709913,0.675364,0.660204,0.703936,0.643732,0.592420,0.739796,0.638192,0.562682,0.609184,0.879738,0.674198,0.572886,0.711127,0.783236,0.544898,0.683236,0.637026,0.340927,0.012734,0.132117,0.334409,0.799633,0.094262,0.175358,0.161298,0.127828,0.203707,0.083198,0.043044,0.229373,0.075409,0.014995,0.049171,0.576487,0.120733,0.120500,0.242172,0.345466,0.007565,0.128340,0.073780,0.258822,0.026244,0.213082,0.256455,0.697697,0.071529,0.157170,0.120480,0.235159,0.172840,0.092763,0.031978,0.189196,0.070802,0.012253,0.036471,0.502624,0.088551,0.099581,0.189113,0.288332,0.005052,0.190413,0.047951,0.027343,16.729329,0.051185,67.343565,0.023299,67.063175,34.705347,52.768653,15.286641,3.899963,0.099130,49.040039,2.544066,1.235485,0.019913,0.026659,37.689052,15.448897,1.528042,1710.175526,36.580215,3.922607,0.028099,32.636571
34,wine_quality.npz,tabular,0.374513,0.451057,0.389083,0.389493,0.406115,0.309118,0.391545,0.347794,0.411328,0.428278,0.364745,0.623391,0.368356,0.410630,0.319926,0.275888,0.303304,0.324236,0.432383,0.300294,0.442274,0.382300,0.448800,0.453109,0.058675,0.005526,0.057192,0.048241,0.004237,0.032273,0.030159,0.032639,0.016681,0.042515,0.031943,0.044549,0.044464,-0.001152,0.048303,0.016119,0.041067,0.013965,0.004505,0.033449,0.008936,0.004100,0.006578,0.002694,0.084624,0.008614,0.069263,0.061457,0.124538,0.047357,0.034912,0.053454,0.032166,0.056635,0.053339,0.011960,0.055358,0.002336,0.076751,0.028428,0.063865,0.024627,0.044589,0.055933,0.014474,0.005400,0.050218,0.005911,1.168761,152.685321,0.598402,382.423813,0.234492,121.388581,114.080543,190.428375,130.153058,58.163730,3.679304,23.459111,16.997051,6.513257,0.840132,0.493797,111.224206,262.858762,18.133695,10926.605741,122.126598,68.764406,7.639081,1020.823311
35,cardiovascular_study.npz,tabular,0.840793,0.837035,0.676802,0.634096,0.817902,0.621455,0.604100,0.776700,0.844209,0.608405,0.819064,0.643321,0.830885,0.741305,0.709259,0.609976,0.650837,0.846942,0.807653,0.577725,0.671404,0.734600,0.831227,0.838700,0.052407,0.050114,0.075519,0.053162,0.116021,0.044073,0.023675,0.094111,0.029231,0.038881,0.131815,0.051190,0.079872,0.003213,0.091070,0.002269,0.062476,0.015304,0.104841,0.017894,0.016399,-0.008200,0.082244,0.055100,0.013043,0.007074,0.029246,0.029566,0.031778,0.014817,0.016918,0.022012,0.007447,0.015629,0.034396,0.016958,0.018065,0.000030,0.028566,0.000300,0.030063,0.002414,0.039211,0.009838,0.008088,0.000400,0.018970,0.008500,0.282668,54.172123,0.279117,169.892905,0.103971,75.709352,70.679529,110.043175,61.440537,11.212956,6.196600,106.458021,0.635096,1.679841,0.049426,0.153969,76.579998,264.607379,6.724686,564.366024,75.988644,29.144680,1.817755,110.220502
36,statlog_german_credit.npz,tabular,0.701000,0.692000,0.614000,0.613000,0.645000,0.644000,0.576000,0.595600,0.676400,0.592400,0.632000,0.697400,0.695000,0.577000,0.640000,0.629200,0.589000,0.692000,0.676000,0.626333,0.593000,0.690600,0.695000,0.694000,0.002665,0.001352,0.028364,0.044784,0.063032,0.017345,0.021721,0.031918,0.018334,0.033611,-0.011469,0.004480,0.019805,0.013425,0.049901,0.021642,0.029726,0.001352,0.010087,0.062801,0.035136,0.024771,0.019805,0.010565,0.003895,0.000029,0.006181,0.021394,0.029598,0.002616,0.028949,0.014233,0.005873,0.020355,0.005682,0.000793,0.004713,0.003774,0.013869,0.003436,0.019009,0.000029,0.011092,0.033718,0.027277,0.006137,0.004713,0.001145,0.020278,6.808077,0.113655,70.593902,0.014471,45.573109,23.171111,38.082352,10.077360,5.635137,0.657136,36.596031,0.391246,0.680358,0.819177,0.076048,88.350355,8.024886,0.735007,1368.184161,23.994146,5.991673,0.349429,8.715960
37,boston.npz,tabular,0.961039,0.948052,0.811688,0.818182,0.850649,0.740260,0.850649,0.803896,0.658442,0.887013,0.779221,0.719481,0.922078,0.727273,0.935065,0.522078,0.850649,0.694805,0.545455,0.880952,0.863636,0.548052,0.954545,0.577900,0.883017,0.839630,0.637242,0.552624,0.563077,0.467804,0.639451,0.547023,0.330237,0.688886,0.527969,0.430143,0.754393,0.343484,0.793596,0.085131,0.594162,0.271336,0.265473,0.693826,0.650446,0.110387,0.867162,0.158800,0.842159,0.793451,0.699786,0.559479,0.613966,0.455108,0.654173,0.562805,0.360940,0.671664,0.570636,0.430151,0.770225,0.373366,0.794864,0.118723,0.622159,0.318428,0.384260,0.672519,0.650378,0.148037,0.821740,0.182200,0.001070,0.829438,0.017510,50.413592,0.002652,18.561036,4.747184,7.103674,2.065925,3.541533,0.147081,9.041116,0.100451,0.138884,0.004715,0.030500,42.714944,0.603401,0.463483,170.781845,6.615534,0.820507,0.034466,0.249575
