dataset,n_samples,n_features,n_clusters,variant,seed,gpu,epochs,mask_ratio,neighbor_k,hidden_size,runtime_seconds,acc,nmi,ari
flickr_material_database.npz,997,1536,10,topogate_opt,42,4,40,0.3,10,128,4.746085166931152,0.5416248746238717,0.42919735875027415,0.27585198491638974
fraud_detection_bank.npz,9999,112,2,topogate_opt,42,5,40,0.3,10,128,40.35787630081177,0.5882588258825883,0.07846959521011687,0.024081655117981698
gas-drift.npz,10000,128,6,topogate_opt,42,5,40,0.3,10,128,41.466270208358765,0.5191,0.3978317964177409,0.19390036904729838
gina_prior2.npz,3468,784,10,topogate_opt,42,4,40,0.3,10,128,13.78302264213562,0.5118223760092272,0.46678450190476484,0.34541618776946187
glass_identification.npz,214,9,6,topogate_opt,42,5,40,0.3,10,128,1.0752511024475098,0.4439252336448598,0.37227583293534267,0.20343448197013148
har.npz,735,561,6,topogate_opt,42,4,40,0.3,10,128,3.321711301803589,0.6965986394557823,0.643965806122476,0.5306700615522607
harbermans_survival.npz,306,3,2,topogate_opt,42,5,40,0.3,10,128,2.536353826522827,0.5620915032679739,0.008864804807774624,0.011975460747596946
hate_speech.npz,3221,100,3,topogate_opt,42,5,40,0.3,10,128,11.0187087059021,0.4821484011176653,0.025753579827015254,-0.0019463700097886321
heart_attack_analysis_prediction_dataset.npz,303,13,2,topogate_opt,42,4,40,0.3,10,128,2.550633430480957,0.7986798679867987,0.28008075106762165,0.35454393687574054
heart_disease.npz,297,13,5,topogate_opt,42,5,40,0.3,10,128,2.209146499633789,0.39730639730639733,0.23067104291411222,0.15643577192752545
hepatitis.npz,80,19,2,topogate_opt,42,5,40,0.3,10,128,1.0418858528137207,0.775,0.20167891977444444,0.262460164324384
htru2.npz,9999,8,2,topogate_opt,42,5,40,0.3,10,128,41.20415663719177,0.9672967296729673,0.5949809655999384,0.7435511855299786
human_stress_detection.npz,2001,3,3,topogate_opt,42,4,40,0.3,10,128,7.272539377212524,0.7971014492753623,0.6911989786912105,0.5942190165316176
image_segmentation.npz,210,19,7,topogate_opt,42,4,40,0.3,10,128,1.102536678314209,0.5666666666666667,0.6093189076829162,0.4532206786698176
imdb.npz,3250,700,2,topogate_opt,42,4,40,0.3,10,128,11.966813325881958,0.6298461538461538,0.04961326501819267,0.0671546219742588
insurance_company_benchmark.npz,5822,85,2,topogate_opt,42,4,40,0.3,10,128,22.308998584747314,0.6820680178632772,0.01399564387595395,0.03771490344380485
ionosphere.npz,351,34,2,topogate_opt,42,4,40,0.3,10,128,2.5629379749298096,0.7065527065527065,0.13135090539390662,0.1682396553451558
iris.npz,150,4,3,topogate_opt,42,5,40,0.3,10,128,0.9931590557098389,0.8933333333333333,0.7581756800057784,0.7302382722834697
labeled_faces_in_the_wild.npz,2200,5828,2,topogate_opt,42,5,40,0.3,10,128,11.960580825805664,0.5159090909090909,0.0007465869722673465,0.0005651588147626844
letter_recognition.npz,9992,16,26,topogate_opt,42,4,40,0.3,10,128,43.433693408966064,0.2697157726180945,0.3891868964993723,0.13982698131074914
magic_gamma_telescope.npz,9999,10,2,topogate_opt,42,4,40,0.3,10,128,39.13797926902771,0.5552555255525553,0.0028296873887492494,0.00935791726095096
mammographic_mass.npz,830,5,2,topogate_opt,42,5,40,0.3,10,128,3.4402332305908203,0.7975903614457831,0.3096134692274866,0.35347208081714415
mfeat-factors.npz,2000,216,10,topogate_opt,42,4,40,0.3,10,128,7.948619365692139,0.8955,0.8145176569304308,0.7819874510644047
mfeat-fourier.npz,2000,76,10,topogate_opt,42,5,40,0.3,10,128,7.1881163120269775,0.5625,0.5247304093909658,0.39965458494553824
mfeat-karhunen.npz,2000,64,10,topogate_opt,42,5,40,0.3,10,128,7.1066203117370605,0.674,0.6762469201410061,0.572314807381015
mfeat-morphological.npz,2000,6,10,topogate_opt,42,4,40,0.3,10,128,7.356827974319458,0.634,0.6756577034693501,0.532126378936173
micro-mass.npz,360,1300,10,topogate_opt,42,5,40,0.3,10,128,2.4134151935577393,0.6416666666666667,0.7413748673604558,0.4917792901499386
microbes.npz,9995,24,10,topogate_opt,42,5,40,0.3,10,128,40.322482109069824,0.23261630815407705,0.11169214040808302,0.04962002490418781
mnist64.npz,1082,64,6,topogate_opt,42,5,40,0.3,10,128,4.393927574157715,0.9057301293900185,0.8090827767459124,0.7947420495473467
mobile_price_classification.npz,2000,20,4,topogate_opt,42,4,40,0.3,10,128,6.94352650642395,0.283,0.005489968638548304,0.003857396464029309
music_genre_classification.npz,1000,26,10,topogate_opt,42,5,40,0.3,10,128,4.317115783691406,0.329,0.30758190767448423,0.16913798936060684
olivetti_faces.npz,400,4096,40,topogate_opt,42,5,40,0.3,10,128,3.4513797760009766,0.6325,0.8124490190993022,0.5162123446146099
optical_recognition_of_handwritten_digits.npz,3823,64,10,topogate_opt,42,5,40,0.3,10,128,12.720885515213013,0.7321475281192781,0.7228404886816009,0.5868633940196412
orbit_classification_for_prediction_nasa.npz,1722,11,3,topogate_opt,42,5,40,0.3,10,128,6.010404825210571,0.45818815331010454,0.08950561125289806,0.030026183930620377
paris_housing_classification.npz,10000,17,2,topogate_opt,42,4,40,0.3,10,128,41.943565368652344,0.5032,0.0002708698934353824,-2.7550354319225265e-05
parkinsons.npz,195,22,2,topogate_opt,42,4,40,0.3,10,128,1.0701041221618652,0.5333333333333333,0.17043558093998382,-0.04776546777728721
patient_treatment_classification.npz,4412,10,2,topogate_opt,42,4,40,0.3,10,128,16.802697896957397,0.5507706255666365,0.014633963819310881,0.008978985671198139
pen_based_recognition_of_handwritten_digits.npz,7494,16,10,topogate_opt,42,4,40,0.3,10,128,29.47888946533203,0.7740859354149987,0.7184503467033546,0.6146308029492894
ph_recognition.npz,653,3,15,topogate_opt,42,4,40,0.3,10,128,2.9684841632843018,0.5237366003062787,0.6037571618842751,0.382975937194068
pima_indians_diabetes_database.npz,768,8,2,topogate_opt,42,7,40,0.3,10,128,3.709562301635742,0.6471354166666666,0.047168074921612256,0.08218395469445554
pistachio.npz,2148,28,2,topogate_opt,42,4,40,0.3,10,128,7.893878936767578,0.7299813780260708,0.1629395084110072,0.21120484530181874
planning_relax.npz,182,12,2,topogate_opt,42,4,40,0.3,10,128,1.086158037185669,0.5054945054945055,9.36567408030714e-06,-0.004605721298703089
poker-hand.npz,10000,10,2,topogate_opt,42,5,40,0.3,10,128,37.87239217758179,0.5022,1.957970485367732e-05,-8.053807109824275e-05
predicting_pulsar_star.npz,9273,8,2,topogate_opt,42,4,40,0.3,10,128,37.09715700149536,0.9659225709047773,0.5877601858717157,0.7293306295308988
pumpkin_seeds.npz,2500,12,2,topogate_opt,42,4,40,0.3,10,128,8.80179476737976,0.814,0.31193314072784123,0.39412600969044564
raisin.npz,900,7,2,topogate_opt,42,5,40,0.3,10,128,3.6448094844818115,0.7477777777777778,0.3129386453487037,0.24493433805830453
