version,batch,dataset,full_variant,nomix_variant,metric,n_runs_full,n_runs_nomix,seeds,full_ari_mean,nomix_ari_mean,full_ari_std,nomix_ari_std,delta_ari,seed_delta_mean,seed_delta_min,seed_delta_max,seed_positive_count,seed_negative_count,seed_neutral_count,seed_pattern,direction,n_samples,n_features,n_clusters,source_sha256,source_sha256_count,source_path,k_source,labels_used_during_fit,provenance_status,evidence_tier
V9,v9_advantage_ablation,balance_scale,v9_full,v9_nomix,ari,3.0,3.0,123|42|7,0.1900421686316707,0.1091016257796034,0.0892044554773788,0.1033480197787386,0.0809405428520673,0.08094054285206734,0.0632953404269206,0.1071056933938123,3,0,0,stable_positive,positive,625.0,4.0,3.0,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,1,,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation
V9,v9_advantage_ablation,glass,v9_full,v9_nomix,ari,3.0,3.0,123|42|7,0.3904035144222399,0.3496642380514445,0.0098205345742554,0.0688994325373017,0.04073927637079544,0.04073927637079533,-0.010542170072680435,0.1300265568226574,2,1,0,mixed_seed,positive,214.0,10.0,6.0,82ba9fce4cb9df7ce9f11e2b513cbf1cd3394d791e73be465bbdeca08d77b560,1,,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation
V9,v9_advantage_ablation,image_segment,v9_full,v9_nomix,ari,3.0,3.0,123|42|7,0.2728147343853067,0.2514600893566192,0.0399125568836478,0.0139770845006724,0.021354645028687502,0.021354645028687464,-0.021250480570212504,0.06480481582088471,2,1,0,mixed_seed,positive,210.0,19.0,7.0,ef764bd1d712b44a6d4886f6b5662e8f4b700d4b858c8515a3fe648df0f29ff9,1,,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation
V9,v9_advantage_ablation,landsat,v9_full,v9_nomix,ari,3.0,3.0,123|42|7,0.5379230057771865,0.532422308704628,0.0064331151059735,0.0099325191473733,0.005500697072558514,0.005500697072558587,0.0018770749892067506,0.01188164438506023,3,0,0,stable_positive,positive,4435.0,36.0,6.0,22ab32bfc065ff8a82b79a2912a3fd7f3dc2965b89d1a8fe7f8d7748a6d4d5b3,1,,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation
V9,v9_advantage_ablation,spect_heart,v9_full,v9_nomix,ari,3.0,3.0,123|42|7,0.2480670731078549,0.2606094534163331,0.0252995036552428,0.0169049654446899,-0.012542380308478235,-0.012542380308478188,-0.02771007076635379,0.015977476442751104,1,2,0,mixed_seed,negative,267.0,22.0,2.0,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,1,,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation
V9,v9_advantage_ablation,vehicle,v9_full,v9_nomix,ari,3.0,3.0,123|42|7,0.0748653631604412,0.0863016271614799,0.0099305400573458,0.0273758553914203,-0.011436264001038698,-0.011436264001038601,-0.03601096078670141,0.0021140013368073085,1,1,1,mixed_seed,negative,846.0,18.0,4.0,8b080d62deb44713e36ec78a67a7b90c7e5c9e1bfea09f59dcad669b3e6da33e,1,,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation
V9,v9_advantage_ablation,vertebral_column,v9_full,v9_nomix,ari,3.0,3.0,123|42|7,0.233998492869759,0.2510598025146813,0.0071677748363977,0.0130276481708155,-0.017061309644922307,-0.017061309644922234,-0.025804644829801326,0.0,0,2,1,mixed_seed,negative,310.0,6.0,2.0,a02522583395d43367b20524b79e2b32c8f3ef6547bd7e1ccd24c3de56a31c95,1,,runner_code:np.unique(y),code_audit_false,partial_summary_dataset_adhoc; CSV/run_record identity retained,3-seed paired ablation
V11,v11_minimum_5x3,Mouse_retina,V11_full,V11_nomix,ari,3.0,3.0,123|42|7,0.749517689383195,0.7489088246877832,0.0381856656620283,0.0182321177881424,0.0006088646954117705,0.0006088646954118074,-0.021643833682155167,0.019657066346685848,2,1,0,mixed_seed,near_neutral,8352.0,6198.0,5.0,d3bc2eb08d95acd12d324f668c537ae4208de57c355862f8e5800d4ba1e727c1,1,external-result-storage/datasets/Mouse_retina.npz,benchmark_oracle_from_y,code_audit_false; field absent,source_hash_and_k_protocol_present; explicit label flag absent,5-dataset x 3-seed paired candidate
V11,v11_minimum_5x3,breast_cancer_wisconsin_original,V11_full,V11_nomix,ari,3.0,3.0,123|42|7,0.8947030595481485,0.894707605571026,0.0032229092796878,0.0116269016520207,-4.546022877471856e-06,-4.546022877471856e-06,-0.011191498299315317,0.005596703378761059,2,1,0,mixed_seed,near_neutral,683.0,9.0,2.0,3ba1713b62cf59ab7944eb4c3d13d579c92f6d9ec6632f8e6b4977045ecb15bf,1,external-result-storage/datasets/breast_cancer_wisconsin_original.npz,benchmark_oracle_from_y,code_audit_false; field absent,source_hash_and_k_protocol_present; explicit label flag absent,5-dataset x 3-seed paired candidate
V11,v11_minimum_5x3,enron,V11_full,V11_nomix,ari,3.0,3.0,123|42|7,0.7743900035218377,0.7821772742785204,0.0705122420227975,0.0544724517646279,-0.007787270756682618,-0.007787270756682692,-0.022556254543311893,0.01781389746948836,1,2,0,mixed_seed,negative,9999.0,4096.0,2.0,b948a134030457668937d969f8848d81aaff669a2a730475b2ea83addbab9347,1,external-result-storage/datasets/enron.npz,benchmark_oracle_from_y,code_audit_false; field absent,source_hash_and_k_protocol_present; explicit label flag absent,5-dataset x 3-seed paired candidate
