feature,n,outcome,p_value_exploratory,spearman_rho
tda_h0_total_persistence_norm,12,v13_full_nomix_ari,0.42655566586092775,0.25352741347343954
p95_knn_cosine_distance,12,v13_full_nomix_ari,0.45352996341416446,-0.23944255716935955
components_at_1nn_scale,12,v13_full_nomix_ari,0.5243243274359985,0.20423041640915962
mean_knn_cosine_distance,12,v13_full_nomix_ari,0.5841405301281157,-0.1760607038009997
sparse_graph_edge_count,12,v13_full_nomix_ari,0.5841405301281157,0.1760607038009997
sparse_graph_cycle_rank,12,v13_full_nomix_ari,0.5841405301281157,0.1760607038009997
cycle_rank_at_median_knn_scale,12,v13_full_nomix_ari,0.5841405301281157,0.1760607038009997
cycle_rank_at_p90_knn_scale,12,v13_full_nomix_ari,0.5841405301281157,0.1760607038009997
mean_mutual_ratio,12,v13_full_nomix_ari,0.5994978698235762,0.1690182756489597
components_at_median_knn_scale,12,v13_full_nomix_ari,0.6065948810576617,0.16578715305161335
tda_h0_merge_count,12,v13_full_nomix_ari,0.6143783885747456,0.16225976681647264
tda_h0_mst_edge_count,12,v13_full_nomix_ari,0.6143783885747456,0.16225976681647264
mean_snn,12,v13_full_nomix_ari,0.6946303258690808,0.12676370673671977
cycle_rank_at_1nn_scale,12,v13_full_nomix_ari,0.7109318595190937,0.11972127858467978
median_1nn_cosine_distance,12,v13_full_nomix_ari,0.7604837400712293,-0.09859399412855982
tda_h0_tail10_share,12,v13_full_nomix_ari,0.7771962894578055,0.09155156597651984
components_at_p90_knn_scale,12,v13_full_nomix_ari,0.8003581970586783,0.08185105210997368
effective_neighbor_proxy,12,v13_full_nomix_ari,0.81087645719889,0.07746670967243986
tda_h0_q90_death_norm,12,v13_full_nomix_ari,0.9480380045464691,0.02112728445611996
cv_knn_cosine_distance,12,v13_full_nomix_ari,0.965347215766319,-0.014084856304079975
p95_knn_cosine_distance,5,v14_full_nomix_ari,0.10408803866182788,-0.7999999999999999
sparse_graph_edge_count,5,v14_full_nomix_ari,0.10408803866182788,0.7999999999999999
sparse_graph_cycle_rank,5,v14_full_nomix_ari,0.10408803866182788,0.7999999999999999
tda_h0_merge_count,5,v14_full_nomix_ari,0.10408803866182788,0.7999999999999999
tda_h0_total_persistence_norm,5,v14_full_nomix_ari,0.10408803866182788,0.7999999999999999
tda_h0_mst_edge_count,5,v14_full_nomix_ari,0.10408803866182788,0.7999999999999999
cycle_rank_at_1nn_scale,5,v14_full_nomix_ari,0.10408803866182788,0.7999999999999999
cycle_rank_at_median_knn_scale,5,v14_full_nomix_ari,0.10408803866182788,0.7999999999999999
cycle_rank_at_p90_knn_scale,5,v14_full_nomix_ari,0.10408803866182788,0.7999999999999999
components_at_1nn_scale,5,v14_full_nomix_ari,0.10408803866182788,0.7999999999999999
cv_knn_cosine_distance,5,v14_full_nomix_ari,0.1881204043741873,0.7
mean_snn,5,v14_full_nomix_ari,0.1881204043741873,-0.7
tda_h0_q50_death_norm,5,v14_full_nomix_ari,0.1881204043741873,-0.7
effective_neighbor_proxy,5,v14_full_nomix_ari,0.1881204043741873,-0.7
components_at_p90_knn_scale,5,v14_full_nomix_ari,0.21889398131323148,0.6668859288553503
mean_knn_cosine_distance,5,v14_full_nomix_ari,0.28475697986529386,-0.6
components_at_median_knn_scale,5,v14_full_nomix_ari,0.3910022189557703,0.49999999999999994
median_1nn_cosine_distance,5,v14_full_nomix_ari,0.5046315754686912,-0.39999999999999997
mean_mutual_ratio,5,v14_full_nomix_ari,0.5046315754686912,-0.39999999999999997
tda_h0_q90_death_norm,5,v14_full_nomix_ari,0.623837664781073,0.3
tda_h0_tail10_share,5,v14_full_nomix_ari,0.623837664781073,0.3
mean_mutual_ratio,24,v9_ari_vs_ahdpc,8.942588394502412e-05,-0.7139130434782608
tda_h0_tail10_share,24,v9_ari_vs_ahdpc,0.013587180235989125,-0.49652173913043474
cycle_rank_at_1nn_scale,24,v9_ari_vs_ahdpc,0.022259853513993694,0.46434782608695646
mean_snn,24,v9_ari_vs_ahdpc,0.027187078784635617,-0.4504347826086956
cv_knn_cosine_distance,24,v9_ari_vs_ahdpc,0.03256619344201188,-0.437391304347826
tda_h0_q90_death_norm,24,v9_ari_vs_ahdpc,0.03702422793856043,-0.4278260869565217
tda_h0_q50_death_norm,24,v9_ari_vs_ahdpc,0.053914728456598796,-0.39826086956521733
median_1nn_cosine_distance,24,v9_ari_vs_ahdpc,0.09932829963531914,0.34442270872915665
p95_knn_cosine_distance,24,v9_ari_vs_ahdpc,0.1421899144300473,0.308695652173913
mean_knn_cosine_distance,24,v9_ari_vs_ahdpc,0.1433753755501811,0.3078260869565217
tda_h0_total_persistence_norm,24,v9_ari_vs_ahdpc,0.16201059639566895,-0.29478260869565215
components_at_p90_knn_scale,24,v9_ari_vs_ahdpc,0.4123747808316135,0.1753848627685829
cycle_rank_at_median_knn_scale,24,v9_ari_vs_ahdpc,0.46014891272810615,0.15826086956521737
cycle_rank_at_p90_knn_scale,24,v9_ari_vs_ahdpc,0.46014891272810615,0.15826086956521737
sparse_graph_cycle_rank,24,v9_ari_vs_ahdpc,0.5009827163280625,0.1443478260869565
sparse_graph_edge_count,24,v9_ari_vs_ahdpc,0.530053886545385,0.13478260869565215
effective_neighbor_proxy,24,v9_ari_vs_ahdpc,0.5327356259700111,-0.13391304347826086
components_at_median_knn_scale,24,v9_ari_vs_ahdpc,0.5567217602211146,0.12622423141979605
components_at_1nn_scale,24,v9_ari_vs_ahdpc,0.5722377306832517,-0.12133072693868019
sparse_graph_largest_component_fraction,24,v9_ari_vs_ahdpc,0.6984835272233025,-0.0833846724889315
sparse_graph_components,24,v9_ari_vs_ahdpc,0.7338463632117661,0.07322049043035803
tda_h0_sparse_components,24,v9_ari_vs_ahdpc,0.7338463632117661,0.07322049043035803
tda_h0_merge_count,24,v9_ari_vs_ahdpc,0.854301212551882,0.03958243088674187
tda_h0_mst_edge_count,24,v9_ari_vs_ahdpc,0.9357145967179171,-0.017391304347826087
mean_mutual_ratio,24,v9_ari_vs_hdpc,3.693134602421655e-05,-0.7391304347826086
tda_h0_tail10_share,24,v9_ari_vs_hdpc,0.011461586292892807,-0.5069565217391303
cv_knn_cosine_distance,24,v9_ari_vs_hdpc,0.014363733768170042,-0.49304347826086947
cycle_rank_at_1nn_scale,24,v9_ari_vs_hdpc,0.028546284582444376,0.44695652173913036
mean_snn,24,v9_ari_vs_hdpc,0.02995933968646755,-0.4434782608695652
tda_h0_q90_death_norm,24,v9_ari_vs_hdpc,0.051112502538145206,-0.4026086956521739
tda_h0_q50_death_norm,24,v9_ari_vs_hdpc,0.07187007376805953,-0.3739130434782608
p95_knn_cosine_distance,24,v9_ari_vs_hdpc,0.0733081094311025,0.37217391304347824
mean_knn_cosine_distance,24,v9_ari_vs_hdpc,0.08808232160850833,0.3556521739130434
median_1nn_cosine_distance,24,v9_ari_vs_hdpc,0.12952077842153098,0.31833007927997814
tda_h0_total_persistence_norm,24,v9_ari_vs_hdpc,0.18511205365132619,-0.27999999999999997
components_at_median_knn_scale,24,v9_ari_vs_hdpc,0.2847141253516534,0.22763887252604603
components_at_p90_knn_scale,24,v9_ari_vs_hdpc,0.3831493596156113,0.18640149987716223
cycle_rank_at_median_knn_scale,24,v9_ari_vs_hdpc,0.4701917070737501,0.15478260869565216
cycle_rank_at_p90_knn_scale,24,v9_ari_vs_hdpc,0.4701917070737501,0.15478260869565216
sparse_graph_cycle_rank,24,v9_ari_vs_hdpc,0.485464332254182,0.14956521739130432
sparse_graph_edge_count,24,v9_ari_vs_hdpc,0.5220471463273304,0.13739130434782607
effective_neighbor_proxy,24,v9_ari_vs_hdpc,0.5273785419058561,-0.13565217391304346
components_at_1nn_scale,24,v9_ari_vs_hdpc,0.5543295569484662,-0.1269841299860022
sparse_graph_largest_component_fraction,24,v9_ari_vs_hdpc,0.7003528250297226,-0.08284321357666573
sparse_graph_components,24,v9_ari_vs_hdpc,0.7281477674277117,0.07484761243992155
tda_h0_sparse_components,24,v9_ari_vs_hdpc,0.7281477674277117,0.07484761243992155
tda_h0_mst_edge_count,24,v9_ari_vs_hdpc,0.8401329841149333,-0.04347826086956521
tda_h0_merge_count,24,v9_ari_vs_hdpc,0.9020531636370592,0.026533277847156637
cv_knn_cosine_distance,7,v9_full_nomix_ari,0.14823116148116164,0.6071428571428572
p95_knn_cosine_distance,7,v9_full_nomix_ari,0.431611352038328,-0.3571428571428572
components_at_median_knn_scale,7,v9_full_nomix_ari,0.5345092286010406,-0.28571428571428575
mean_knn_cosine_distance,7,v9_full_nomix_ari,0.5887244480896832,-0.25
mean_mutual_ratio,7,v9_full_nomix_ari,0.6445115810207203,0.21428571428571433
tda_h0_tail10_share,7,v9_full_nomix_ari,0.6445115810207203,0.21428571428571433
sparse_graph_edge_count,7,v9_full_nomix_ari,0.7016579425162727,-0.1785714285714286
