algorithm,dataset_idx,dataset_name,dataset_type,acc,nmi,ari,time
agglo,77,weather.npz,tabular,1.000000,1.000000,1.000000,0.011267
agglo,78,blood_transfusion_service_center.npz,tabular,0.767380,0.020767,0.031084,0.013049
agglo,79,mfeat-karhunen.npz,tabular,0.626000,0.675496,0.553343,0.149594
agglo,80,mfeat-factors.npz,tabular,0.605500,0.710691,0.545861,0.403696
agglo,81,wall-robot-navigation.npz,tabular,0.425587,0.154752,0.073976,1.119775
agglo,82,Waveform.npz,tabular,0.600600,0.323984,0.311877,1.459399
agglo,83,gas-drift.npz,tabular,0.430800,0.329197,0.148008,7.516793
agglo,84,mfeat-morphological.npz,tabular,0.498000,0.648824,0.433741,0.062934
agglo,85,JapaneseVowels.npz,tabular,0.465716,0.424327,0.207665,3.486598
agglo,86,rmftsa_sleepdata.npz,tabular,0.414062,0.046499,0.062018,0.023777
agglo,87,first-order-theorem-proving.npz,tabular,0.420072,0.007715,0.001562,2.078480
agglo,88,gina_prior2.npz,tabular,0.514994,0.548226,0.399518,3.296160
agglo,89,fabert.npz,tabular,0.230302,0.014934,0.004741,23.649247
agglo,90,dilbert.npz,tabular,0.324700,0.157890,0.082774,81.334054
agglo,91,synthetic_control.npz,tabular,0.575000,0.800791,0.616043,0.011525
agglo,92,Drug Consumption.npz,tabular,0.435106,0.006397,0.002134,0.098216
agglo,93,shuttle.npz,tabular,0.924400,0.543230,0.675661,4.508667
agglo,94,tr45.wc.npz,tabular,0.334320,0.238230,0.057312,1.510577
agglo,95,steel-plates-fault.npz,tabular,0.653787,0.001680,0.000911,0.090662
agglo,96,fbis.wc.npz,tabular,0.323315,0.230724,0.017742,3.179305
agglo,97,mfeat-fourier.npz,tabular,0.432000,0.488266,0.346357,0.192043
agglo,98,vehicle.npz,tabular,0.406619,0.182032,0.110532,0.036824
agglo,99,micro-mass.npz,tabular,0.661111,0.744607,0.511424,0.053337
agglo,100,ISOLET.npz,tabular,0.407080,0.635886,0.363087,16.059429
agglo,101,poker-hand.npz,tabular,0.542700,0.000227,0.000037,1.213399
agglo,102,tamilnadu-electricity.npz,tabular,0.074500,0.006651,-0.000003,1.453284
agglo,103,mnist64.npz,image,0.653420,0.735513,0.602049,0.060203
agglo,104,MNIST_CLIP.npz,image,0.520508,0.511196,0.338556,21.395553
agglo,105,fashion_mnist.npz,image,0.417333,0.531218,0.331520,2.542645
agglo,106,FashionMNIST_CLIP.npz,image,0.498600,0.618483,0.429313,20.226193
agglo,107,cifar10.npz,image,0.194154,0.061337,0.030472,3.448591
agglo,108,CIFAR10_CLIP.npz,image,0.588600,0.612986,0.499354,21.329419
agglo,109,coil20.npz,image,0.477778,0.688043,0.388773,0.262584
agglo,110,COIL20_CLIP.npz,image,0.879861,0.965631,0.847116,0.311698
agglo,111,labeled_faces_in_the_wild.npz,image,0.520000,0.001706,0.001260,11.283677
agglo,112,flickr_material_database.npz,image,0.308927,0.244885,0.073588,0.416804
agglo,113,street_view_house_numbers.npz,image,0.198087,0.035862,0.000415,0.202868
agglo,114,har.npz,image,0.479200,0.502842,0.324662,25.349636
agglo,115,Indian_pines.npz,image,0.628923,0.565138,0.417102,8.015643
agglo,116,satellite_image.npz,image,0.553691,0.458202,0.387052,1.902719
agglo,117,olivetti_faces.npz,image,0.525000,0.768160,0.388125,0.200263
agglo,118,PCam.npz,image,0.609259,0.620128,0.469859,0.257709
agglo,119,cnae9.npz,text,0.550154,0.007293,0.009758,2.050504
