algorithm,dataset_idx,dataset_name,dataset_type,acc,nmi,ari,time
birch,75,turkish_music_emotion.npz,tabular,0.595000,0.359973,0.331154,0.048413
birch,76,parkinsons.npz,tabular,0.682051,0.242232,0.126657,0.020732
birch,77,weather.npz,tabular,0.989041,0.971125,0.971275,0.066313
birch,78,blood_transfusion_service_center.npz,tabular,0.767380,0.020767,0.031084,0.042151
birch,79,mfeat-karhunen.npz,tabular,0.717500,0.732234,0.631747,0.472414
birch,80,mfeat-factors.npz,tabular,0.774500,0.789131,0.684883,0.971700
birch,81,wall-robot-navigation.npz,tabular,0.456378,0.117555,0.065323,0.632287
birch,82,Waveform.npz,tabular,0.678400,0.391279,0.337015,2.019080
birch,83,gas-drift.npz,tabular,0.388000,0.291983,0.113678,2.069873
birch,84,mfeat-morphological.npz,tabular,0.488500,0.581951,0.398270,0.030142
birch,85,JapaneseVowels.npz,tabular,0.438209,0.534338,0.313480,2.278366
birch,86,rmftsa_sleepdata.npz,tabular,0.365234,0.046201,0.045777,0.017901
birch,87,first-order-theorem-proving.npz,tabular,0.382968,0.022439,0.016094,0.950525
birch,88,gina_prior2.npz,tabular,0.592272,0.566673,0.429306,4.376215
birch,89,fabert.npz,tabular,0.227267,0.015163,-0.002840,23.745741
birch,90,dilbert.npz,tabular,0.355600,0.144998,0.089519,72.643130
birch,91,synthetic_control.npz,tabular,0.575000,0.800791,0.616043,0.108840
birch,92,Drug Consumption.npz,tabular,0.361921,0.010295,0.022764,0.310203
birch,93,shuttle.npz,tabular,0.836600,0.000270,0.000662,0.344657
birch,94,tr45.wc.npz,tabular,0.214497,0.046956,-0.008916,3.202998
birch,95,steel-plates-fault.npz,tabular,0.652756,0.000675,-0.000483,0.359056
birch,96,fbis.wc.npz,tabular,0.259563,0.073404,0.001520,5.310737
birch,97,mfeat-fourier.npz,tabular,0.558500,0.550244,0.414860,0.366997
birch,98,vehicle.npz,tabular,0.430260,0.151530,0.122240,0.079361
birch,99,micro-mass.npz,tabular,0.555556,0.674579,0.399405,0.480214
birch,100,ISOLET.npz,tabular,0.588560,0.743876,0.501647,21.128340
birch,101,poker-hand.npz,tabular,0.530800,0.000911,0.002864,4.895104
birch,102,tamilnadu-electricity.npz,tabular,0.073000,0.002507,-0.000053,0.167144
birch,103,mnist64.npz,image,0.965804,0.933197,0.923537,0.179119
birch,104,MNIST_CLIP.npz,image,0.542717,0.574063,0.376305,24.393659
birch,105,fashion_mnist.npz,image,0.468333,0.518362,0.303006,3.671933
birch,106,FashionMNIST_CLIP.npz,image,0.622200,0.658721,0.496998,23.673435
birch,107,cifar10.npz,image,0.203692,0.068068,0.031965,4.132079
birch,108,CIFAR10_CLIP.npz,image,0.688500,0.646900,0.490643,21.788543
birch,109,coil20.npz,image,0.663889,0.804799,0.618837,0.566020
birch,110,COIL20_CLIP.npz,image,0.777083,0.933260,0.765985,0.717461
birch,111,labeled_faces_in_the_wild.npz,image,0.544091,0.005624,0.007325,10.712549
