dataset,variant,seed,n_samples,n_features,n_clusters,k_protocol,labels_used_during_fit,source_sha256,head_ari,kmeans_ari,nmi,silhouette,final_gate,final_target_gate,mean_gate,mean_target_gate,mean_graph_loss,final_graph_loss,mean_tda_prior,final_tda_prior,h0_merge_count,tda_scale,tda_nonzero_fraction,graph_edge_change_fraction,train_seconds,summary_path
balance_scale,V11_tda_fixed_filtration,42,625,4,3,benchmark_oracle_from_y,False,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,0.1820272556812506,0.17529281398504484,0.15853843251408453,0.2456541508436203,0.004090122102449338,0.003709715325385332,0.021749842689799456,0.0025449510489124806,0.022367097421859702,0.007659026266386111,0.25384037469824156,0.33361803491910297,624.0,0.3079631927539149,0.8400572929100024,0.0448,18.99191379547119,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/balance_scale__V11_tda_fixed_filtration__seed42/summary.json
balance_scale,V11_tda_fixed_filtration,123,625,4,3,benchmark_oracle_from_y,False,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,0.08738215057838083,0.0749646149284481,0.06672411315020856,0.24432995915412903,0.0036962355952709913,0.0033613694831728935,0.019463225997363526,0.0023845170270457555,0.020304598356597127,0.006643193773925304,0.2481219453116258,0.32517150044441223,624.0,0.3079631927539149,0.8243117125524965,0.04112,19.033356189727783,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/balance_scale__V11_tda_fixed_filtration__seed123/summary.json
balance_scale,V11_tda_random,7,625,4,3,benchmark_oracle_from_y,False,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,0.06690576174677411,0.07055412887859937,0.056806315097120585,0.2577221691608429,0.0035005541673551,0.0029716743156313896,0.015986486234275312,0.0022600907386125376,0.016101675781343753,0.006162148589889209,0.3740675130238136,0.5003681778907776,nan,nan,1.0,0.05328,18.95505166053772,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/balance_scale__V11_tda_random__seed7/summary.json
balance_scale,V11_tda_random,42,625,4,3,benchmark_oracle_from_y,False,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,0.1820272556812506,0.17529281398504484,0.15853843251408453,0.2457505315542221,0.004024026294549306,0.0035390139867862067,0.02265683736865564,0.0024760638004712138,0.02311219106001469,0.007502173849691947,0.376662078499794,0.5030006666978201,nan,nan,1.0,0.04352,19.08448886871338,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/balance_scale__V11_tda_random__seed42/summary.json
balance_scale,V11_tda_random,123,625,4,3,benchmark_oracle_from_y,False,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,0.08738215057838083,0.0749646149284481,0.06672411315020856,0.244476318359375,0.0035968649511535964,0.0030343395192176104,0.018209041051644212,0.0022901935730866778,0.01867970373520317,0.00602047083278497,0.3768835230420033,0.5011450151602427,nan,nan,1.0,0.04,18.9318904876709,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/balance_scale__V11_tda_random__seed123/summary.json
banknote,V11_full,7,1372,4,2,benchmark_oracle_from_y,False,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.004358119477608214,0.006167492635148218,0.0043426790290681085,0.3205508291721344,0.014447472834338745,0.013449796630690495,0.011794468760490418,0.009364316919042418,0.014833095799743509,0.019706015319873888,0.0,0.0,nan,nan,0.0,0.05138483965014577,39.79666781425476,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/banknote__V11_full__seed7/summary.json
banknote,V11_full,42,1372,4,2,benchmark_oracle_from_y,False,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.007989072472802878,0.01319023059991322,0.006350272589561095,0.31450673937797546,0.013106885366141796,0.013769206746170918,0.014585592650109901,0.009453041169520778,0.017036671340853595,0.01802571987112363,0.0,0.0,nan,nan,0.0,0.05728862973760933,42.34594774246216,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/banknote__V11_full__seed42/summary.json
banknote,V11_full,123,1372,4,2,benchmark_oracle_from_y,False,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.01188293619764573,0.0164847198432341,0.008920430718347177,0.3120454251766205,0.015149653734018406,0.0142550989985466,0.01441792186621266,0.010057935379639579,0.01654986701711702,0.021161347317198913,0.0,0.0,nan,nan,0.0,0.05080174927113703,40.06834149360657,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/banknote__V11_full__seed123/summary.json
banknote,V11_nomix,7,1372,4,2,benchmark_oracle_from_y,False,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.003946492963583719,0.0054482366712350315,0.004055665755535192,0.32525622844696045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,8.875569820404053,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/banknote__V11_nomix__seed7/summary.json
banknote,V11_nomix,42,1372,4,2,benchmark_oracle_from_y,False,ac0372ad09af9f5539448dbee76d0dd58731ec5866e8f3b8bbef6eddd5e3b6a6,0.008262878938460266,0.01921956266553077,0.006484120578438579,0.3188319504261017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,8.339080095291138,<local_project_root>/result/V11/tda_h0_pilot_2026-08-03/banknote__V11_nomix__seed42/summary.json
