scope,left,right,metric,n,mean_delta,median_delta,std_delta,wins,ties,losses,wilcoxon_p,paired_t_p
spect_heart,V11_tda_random,V11_full,nmi,3,0.0,0.0,0.0,0,3,0,1.0,nan
spect_heart,V11_tda_random,V11_full,silhouette,3,0.0002606113751729329,4.3272972106933594e-05,0.0003895476782291881,3,0,0,0.25,0.3662133083265326
spect_heart,V11_tda_random,V11_full,final_gate,3,0.0017580393080910046,0.0020848363637924194,0.001154685371704287,3,0,0,0.25,0.11872666433657791
spect_heart,V11_tda_random,V11_full,mean_gate,3,0.0056762983314304905,0.005201421532547101,0.0013858619667623283,3,0,0,0.25,0.01929631468095935
spect_heart,V11_tda_random,V11_full,mean_graph_loss,3,0.00831057172617875,0.00758914362522773,0.0016869882894184269,3,0,0,0.25,0.013458727433627679
banknote,V11_tda_random,V11_full,head_ari,3,9.146374325913881e-05,0.0,0.0001584198503752638,1,2,0,1.0,0.42264973081037416
banknote,V11_tda_random,V11_full,kmeans_ari,3,0.00023114983043685347,0.0,0.00040036325047756115,1,2,0,1.0,0.4226497308103743
banknote,V11_tda_random,V11_full,nmi,3,7.451795255599524e-05,0.0,0.00012906887990299083,1,2,0,1.0,0.4226497308103742
banknote,V11_tda_random,V11_full,silhouette,3,0.0001266002655029297,0.00020065903663635254,0.00015673024342925389,2,0,1,0.5,0.2967072290936451
banknote,V11_tda_random,V11_full,final_gate,3,1.3863305664724388e-05,-0.00014264027898510355,0.0002769457689369207,1,0,2,1.0,0.938806817990162
banknote,V11_tda_random,V11_full,mean_gate,3,0.000678227018539069,0.0007122801228736826,9.501033366260183e-05,3,0,0,0.25,0.006477900353907526
banknote,V11_tda_random,V11_full,mean_graph_loss,3,0.006007053813017492,0.005875907558947804,0.0003025649259231529,3,0,0,0.25,0.000844583118624905
flame,V11_tda_random,V11_full,head_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
flame,V11_tda_random,V11_full,kmeans_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
flame,V11_tda_random,V11_full,nmi,3,0.0,0.0,0.0,0,3,0,1.0,nan
flame,V11_tda_random,V11_full,silhouette,3,4.0431817372639976e-05,8.13603401184082e-05,8.380144561728009e-05,2,0,1,0.5,0.49127354395148487
flame,V11_tda_random,V11_full,final_gate,3,0.003569417322675387,0.0041506327688694,0.0022767383272910514,3,0,0,0.25,0.11307344936414804
flame,V11_tda_random,V11_full,mean_gate,3,-0.00023937296743193706,-0.0007734651211649124,0.002943330368214489,1,0,2,1.0,0.9008853204658362
flame,V11_tda_random,V11_full,mean_graph_loss,3,0.002109715264911452,0.0016494793817400932,0.0032330915165129795,2,0,1,0.5,0.37568959467691826
vehicle,V11_tda_random,V11_full,head_ari,3,0.0,0.0,0.0,0,3,0,1.0,nan
vehicle,V11_tda_random,V11_full,kmeans_ari,3,-0.0003225052015221515,-0.0006026887911883133,0.0004887204640124052,1,0,2,0.5,0.3714213470735501
