dataset,variant,n,n_clusters,k_protocol,source_sha256,head_ari_mean,head_ari_std,kmeans_ari_mean,kmeans_ari_std,nmi_mean,nmi_std,silhouette_mean,silhouette_std,final_gate_mean,final_gate_std,final_target_gate_mean,final_target_gate_std,mean_gate_mean,mean_gate_std,mean_target_gate_mean,mean_target_gate_std,mean_graph_loss_mean,mean_graph_loss_std,final_graph_loss_mean,final_graph_loss_std,mean_tda_prior_mean,mean_tda_prior_std,final_tda_prior_mean,final_tda_prior_std,h0_merge_count_mean,h0_merge_count_std,tda_scale_mean,tda_scale_std,tda_nonzero_fraction_mean,tda_nonzero_fraction_std,graph_edge_change_fraction_mean,graph_edge_change_fraction_std,train_seconds_mean,train_seconds_std
balance_scale,V11_full,3,3,benchmark_oracle_from_y,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,0.11210505600213519,0.06141381058744323,0.1082166823741871,0.06145344330660424,0.09402295358713789,0.05609167447523234,0.24937706192334494,0.007486199537875629,0.0034448269547687634,0.00023694779489114351,0.0031533208675682545,0.00031551255207676684,0.016094725578699984,0.0022802850738155096,0.0023319467737261826,0.00011289042653278321,0.015217035143480946,0.00234911230751996,0.004736181814223528,0.000624717012141941,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.04597333333333333,0.005946606875633644,19.10637887318929,0.15995499427481635
balance_scale,V11_nomix,3,3,benchmark_oracle_from_y,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,0.11457486633035975,0.06035616899346859,0.12111293391965505,0.05047743132157906,0.09662026901974324,0.05629069895544173,0.24817448357741037,0.00462771826588029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,3.9976722399393716,0.05454485375093728
balance_scale,V11_tda_h0_mst,3,3,benchmark_oracle_from_y,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,0.11210505600213519,0.06141381058744323,0.1060612907341789,0.06005944408444706,0.09402295358713789,0.05609167447523234,0.24927884340286255,0.007140297448170129,0.0037657511420547962,0.0003104609150664337,0.0033332236473345095,0.00027470788722153713,0.020086041513584656,0.003088480339621935,0.0023792103505305326,0.0001012301265756557,0.020747812453838478,0.003308605443652461,0.006851997226476669,0.0009694605552896018,0.11354509070515632,0.00132558908252516,0.1478861288891898,0.0030477035140118306,624.0,0.0,0.3079631927539149,0.0,0.25713212576646194,0.0052406590872242234,0.04512,0.008175671226266376,19.07499384880066,0.06369411854436466
balance_scale,V11_tda_fixed_filtration,3,3,benchmark_oracle_from_y,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,0.11210505600213519,0.06141381058744323,0.10693718593069744,0.05923877118768748,0.09402295358713789,0.05609167447523234,0.24917360643545786,0.0072728596960207155,0.003793688180545966,0.0002616903215235655,0.003421033551502559,0.000263956508802645,0.01933200014658117,0.002486054350271011,0.00242583991316173,0.0001047522204013587,0.019928842830833876,0.0026462171682603273,0.00701350418643819,0.0005610570466575246,0.2503506871147288,0.0030606530117407104,0.3258310688866509,0.0074790262377377155,624.0,0.0,0.3079631927539149,0.0,0.8237525464056015,0.01659139800112021,0.04688,0.007034543339833795,19.039381504058838,0.05074934123873151
balance_scale,V11_tda_random,3,3,benchmark_oracle_from_y,aebeaa2574dc6f01651d1f13c1b354d7d19373d7cff8975d0ed05b63a5cf883b,0.11210505600213519,0.06141381058744323,0.10693718593069744,0.05923877118768748,0.09402295358713789,0.05609167447523234,0.24931633969148,0.007307488051135485,0.003707148471019334,0.00027861731470385883,0.003181675940545069,0.00031104596349044745,0.01895078821819172,0.0033964743055546844,0.002342116037390143,0.00011697455957028159,0.019297856858853872,0.003545901307330619,0.006561597757455375,0.0008176372580061324,0.37587103818853695,0.0015658182161928714,0.5015046199162801,0.0013525849382661837,nan,0.0,nan,0.0,1.0,0.0,0.0456,0.00688,18.990477005640667,0.08223614035777475
spect_heart,V11_full,3,2,benchmark_oracle_from_y,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,0.13703693774583123,0.0420767365420753,0.19097270743018285,0.055647886780738516,0.13249334328671394,0.012933700686751473,0.3450577159722646,0.009819058806343805,0.011074387313177189,0.001979923142045841,0.005875208919557433,0.0015926685933396992,0.05314355520628548,0.011584869747123604,0.004883851692125063,0.00039445061014528523,0.05436578383475232,0.012557062103620894,0.015197550334657231,0.004310219705322155,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,0.0,0.0,0.11023720349563046,0.01742411836716488,9.049654642740885,0.056940065486046576
spect_heart,V11_nomix,3,2,benchmark_oracle_from_y,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,0.14762024501216456,0.06565130903364284,0.19076738058553408,0.08754612743213079,0.13854071068469198,0.01831437848229122,0.3393024504184723,0.013880656270147543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0,nan,0.0,nan,0.0,nan,0.0,2.006549835205078,0.0057432329952200115
spect_heart,V11_tda_h0_mst,3,2,benchmark_oracle_from_y,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,0.13703693774583123,0.0420767365420753,0.19097270743018285,0.055647886780738516,0.13249334328671394,0.012933700686751473,0.34545565644900006,0.009630758688064862,0.013094652133683363,0.0021365071246426523,0.0057343946925054,0.0019092104279186694,0.06000853637233376,0.008817947535751117,0.004936317686874266,0.0004260515762265456,0.0659886694396846,0.010031328949511396,0.021506767099102337,0.00622300757452184,0.08329931696256002,0.0011452511784792489,0.09537111098567645,0.013086535710319733,266.0,0.0,0.9486503704165047,0.0,0.19149174991483803,0.0007819703475983845,0.11947565543071162,0.004677901122395806,8.980998357137045,0.024226779776626805
spect_heart,V11_tda_fixed_filtration,3,2,benchmark_oracle_from_y,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,0.13703693774583123,0.0420767365420753,0.19097270743018285,0.055647886780738516,0.13249334328671394,0.012933700686751473,0.3452436625957489,0.00976611408367178,0.013286137798180183,0.002253492682027725,0.005823999798546235,0.0018392163954057787,0.057846957176419286,0.011074354867143211,0.004866159399993346,0.0003988842711478231,0.06096453351007464,0.012184289822450073,0.018853784849246342,0.004869105001446495,0.23321964259569844,0.0017441088767571641,0.3106913020213445,0.013258999890555262,266.0,0.0,0.9486503704165047,0.0,0.6403615360723764,0.0013170133233247323,0.11435705368289638,0.012547282306369275,9.004635254542032,0.022881064279228112
spect_heart,V11_tda_random,3,2,benchmark_oracle_from_y,07ce03b3056bcb87c7afcc29eeedc511a28738b817fa458c70502dd35b6858c6,0.13703693774583123,0.0420767365420753,0.19097270743018285,0.055647886780738516,0.13249334328671394,0.012933700686751473,0.34531832734743756,0.009864698935097067,0.012832426621268192,0.0027688669407357506,0.006163649222192665,0.0021294710945647076,0.05881985353771597,0.010502130890472628,0.004918980950056569,0.00039113379104957957,0.06267635556093107,0.011275287017692455,0.020319324762870867,0.005649287148403781,0.3678372588629524,0.012985429893599871,0.48492955168088275,0.021476705232066465,nan,0.0,nan,0.0,1.0,0.0,0.08776529338327091,0.006619084215636237,9.038598696390787,0.09954657692710568
